time,LA Lakers,pts.away,score,pts.home,Memphis
0:46.0,Offensive rebound by L. Nance,,81-95,,
0:46.0,L. Nance makes 2-pt shot at rim,2,83-95,,
0:46.0,,,83-95,,Memphis full timeout
0:46.0,,,83-95,,L. Stephenson enters the game for M. Conley
0:35.0,,,83-97,2,B. Wright makes 2-pt shot from 4 ft
0:35.0,,,83-97,,Shooting foul by T. Black (drawn by B. Wright)
0:35.0,,,83-97,,B. Wright misses free throw 1 of 1
0:34.0,Defensive rebound by J. Clarkson,,83-97,,
0:11.0,J. Clarkson misses 2-pt shot from 15 ft,,83-97,,
0:09.0,Offensive rebound by T. Black,,83-97,,
0:06.0,N. Young misses 2-pt shot from 20 ft,,83-97,,
0:05.0,Offensive rebound by L. Nance,,83-97,,
0:03.0,Jump ball: M. Chalmers vs. L. Nance,,,,Jump ball: M. Chalmers vs. L. Nance
0:03.0,,,83-97,,Loose ball foul by M. Chalmers
0:03.0,L. Nance misses free throw 1 of 2,,83-97,,
0:03.0,Offensive rebound by Team,,83-97,,
0:03.0,L. Nance makes free throw 2 of 2,1,84-97,,
0:00.0,,,84-97,,Z. Randolph misses 3-pt shot from 30 ft
0:00.0,,,84-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,84-97,,B. Wright misses 2-pt shot from 6 ft
11:43.0,Defensive rebound by J. Clarkson,,84-97,,
11:28.0,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson),3,87-97,,
11:03.0,,,87-100,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Chalmers)
10:54.0,L. Williams makes 3-pt shot from 25 ft,3,90-100,,
10:35.0,,,90-100,,Offensive foul by B. Wright
10:35.0,,,90-100,,Turnover by B. Wright (offensive foul)
10:35.0,B. Bass enters the game for T. Black,,90-100,,
10:29.0,L. Williams misses 3-pt shot from 24 ft,,90-100,,
10:28.0,,,90-100,,Defensive rebound by M. Barnes
10:18.0,,,90-102,2,B. Wright makes 2-pt shot at rim (assist by C. Andersen)
10:18.0,,,90-102,,Shooting foul by L. Nance (drawn by B. Wright)
10:18.0,,,90-102,,B. Wright misses free throw 1 of 1
10:18.0,Defensive rebound by L. Nance,,90-102,,
10:01.0,N. Young misses 3-pt shot from 25 ft,,90-102,,
10:00.0,,,90-102,,Defensive rebound by Team
9:44.0,,,90-102,,M. Chalmers misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by J. Clarkson,,90-102,,
9:32.0,J. Clarkson makes 2-pt shot from 5 ft,2,92-102,,
9:18.0,,,92-104,2,L. Stephenson makes 2-pt shot from 16 ft
9:00.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Nance),3,95-104,,
8:42.0,,,95-104,,B. Wright misses 2-pt shot from 5 ft
8:38.0,,,95-104,,Offensive rebound by B. Wright
8:38.0,,,95-104,,B. Wright misses 2-pt shot at rim
8:37.0,,,95-104,,Offensive rebound by B. Wright
8:37.0,,,95-106,2,B. Wright makes 2-pt shot at rim
8:30.0,Shooting foul by B. Wright (drawn by L. Williams),,95-106,,
8:30.0,LA Lakers full timeout,,95-106,,
8:30.0,J. Randle enters the game for L. Nance,,95-106,,
8:30.0,,,95-106,,V. Carter enters the game for M. Chalmers
8:30.0,L. Williams makes free throw 1 of 2,1,96-106,,
8:30.0,L. Williams makes free throw 2 of 2,1,97-106,,
8:16.0,,,97-108,2,L. Stephenson makes 2-pt shot from 2 ft
7:55.0,L. Williams misses 3-pt shot from 24 ft,,97-108,,
7:53.0,Offensive rebound by J. Randle,,97-108,,
7:53.0,,,97-108,,Loose ball foul by L. Stephenson
7:53.0,D. Russell enters the game for L. Williams,,97-108,,
7:33.0,B. Bass misses 2-pt shot from 3 ft,,97-108,,
7:33.0,,,97-108,,Defensive rebound by B. Wright
7:22.0,,,97-108,,L. Stephenson misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by B. Bass,,97-108,,
7:13.0,D. Russell misses 2-pt shot from 16 ft,,97-108,,
7:12.0,,,97-108,,Defensive rebound by V. Carter
6:56.0,,,97-110,2,B. Wright makes 2-pt shot from 7 ft (assist by V. Carter)
6:32.0,J. Randle makes 2-pt shot from 1 ft,2,99-110,,
6:21.0,Personal foul by N. Young,,99-110,,
6:21.0,,,99-110,,J. Green enters the game for C. Andersen
6:13.0,,,99-110,,Shooting foul by B. Bass (drawn by M. Barnes)
6:13.0,,,99-111,1,M. Barnes makes free throw 1 of 2
6:13.0,,,99-112,1,M. Barnes makes free throw 2 of 2
5:59.0,N. Young misses 3-pt shot from 23 ft,,99-112,,
5:57.0,,,99-112,,Defensive rebound by M. Barnes
5:57.0,,,99-112,,Shooting foul by J. Clarkson (drawn by V. Carter)
5:57.0,,,99-112,,Memphis full timeout
5:57.0,,,99-113,1,V. Carter makes free throw 1 of 2
5:57.0,,,99-114,1,V. Carter makes free throw 2 of 2
5:46.0,D. Russell misses 2-pt shot from 22 ft,,99-114,,
5:46.0,,,99-114,,Defensive rebound by L. Stephenson
5:29.0,,,99-114,,L. Stephenson misses 2-pt shot from 18 ft
5:28.0,,,99-114,,Offensive rebound by J. Green
5:26.0,,,99-116,2,J. Green makes 2-pt shot from 3 ft
5:05.0,Turnover by J. Clarkson (lost ball; steal by M. Barnes),,99-116,,
4:56.0,,,99-116,,Shooting foul by B. Bass (drawn by L. Stephenson)
4:56.0,,,99-117,1,L. Stephenson makes free throw 1 of 2
4:56.0,K. Bryant enters the game for N. Young,,99-117,,
4:56.0,,,99-118,1,L. Stephenson makes free throw 2 of 2
4:38.0,D. Russell misses 2-pt shot from 4 ft,,99-118,,
4:37.0,Offensive rebound by J. Randle,,99-118,,
4:35.0,J. Randle makes 2-pt shot from 2 ft,2,101-118,,
4:17.0,,,101-120,2,V. Carter makes 2-pt shot from 3 ft
4:03.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson),3,104-120,,
3:39.0,,,104-120,,M. Barnes misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by J. Clarkson,,104-120,,
