time,Boston,pts.away,score,pts.home,Cleveland
6:47.0,Defensive rebound by E. Turner,,81-81,,
6:28.0,E. Turner misses 2-pt shot from 20 ft,,81-81,,
6:27.0,,,81-81,,Defensive rebound by R. Jefferson
6:22.0,,,81-83,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
6:09.0,E. Turner makes 2-pt shot at rim,2,83-83,,
6:09.0,Shooting foul by T. Mozgov (drawn by E. Turner),,83-83,,
6:09.0,J. Sullinger enters the game for T. Zeller,,83-83,,
6:09.0,A. Bradley enters the game for M. Smart,,83-83,,
6:09.0,E. Turner makes free throw 1 of 1,1,84-83,,
5:49.0,,,84-83,,R. Jefferson misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by A. Bradley,,84-83,,
5:41.0,I. Thomas misses 2-pt shot from 6 ft (block by I. Shumpert),,84-83,,
5:40.0,Offensive rebound by I. Thomas,,84-83,,
