time,Cleveland,pts.away,score,pts.home,Phoenix
0:00.0,,,81-73,,T. Warren misses 2-pt shot from 8 ft (block by R. Jefferson)
0:00.0,,,81-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,81-73,,R. Price misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by T. Mozgov,,81-73,,
11:23.0,R. Jefferson misses 3-pt shot from 23 ft,,81-73,,
11:21.0,Offensive rebound by T. Mozgov,,81-73,,
11:21.0,,,81-73,,Personal block foul by D. Booker
11:10.0,K. Irving misses 2-pt shot from 21 ft,,81-73,,
11:08.0,Offensive rebound by I. Shumpert,,81-73,,
10:56.0,J. Jones misses 3-pt shot from 25 ft,,81-73,,
10:54.0,,,81-73,,Defensive rebound by T. Chandler
10:46.0,Personal take foul by J. Jones (drawn by T. Chandler),,81-73,,
10:46.0,,,81-73,,S. Weems enters the game for R. Price
10:46.0,M. Dellavedova enters the game for K. Irving,,81-73,,
10:33.0,,,81-75,2,T. Warren makes 2-pt shot from 8 ft
10:14.0,T. Mozgov makes 2-pt shot at rim (assist by J. Jones),2,83-75,,
10:02.0,,,83-75,,B. Knight misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by J. Jones,,83-75,,
9:51.0,T. Mozgov misses 2-pt shot from 4 ft,,83-75,,
9:48.0,,,83-75,,Defensive rebound by T. Chandler
9:36.0,,,83-78,3,T. Warren makes 3-pt shot from 22 ft (assist by T. Chandler)
9:22.0,I. Shumpert misses 3-pt shot from 24 ft,,83-78,,
9:20.0,,,83-78,,Defensive rebound by Team
9:04.0,,,83-78,,Turnover by B. Knight (bad pass; steal by T. Mozgov)
8:55.0,Turnover by I. Shumpert (bad pass),,83-78,,
8:55.0,Official timeout,,83-78,,
8:55.0,,,83-78,,P. Tucker enters the game for S. Weems
8:55.0,T. Thompson enters the game for T. Mozgov,,83-78,,
8:55.0,K. Love enters the game for J. Jones,,83-78,,
8:36.0,,,83-78,,D. Booker misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by T. Thompson,,83-78,,
8:22.0,R. Jefferson makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,86-78,,
7:55.0,,,86-78,,P. Tucker misses 2-pt shot from 9 ft
7:55.0,,,86-78,,Offensive rebound by Team
7:55.0,Loose ball foul by K. Love (drawn by T. Chandler),,86-78,,
7:55.0,,,86-78,,J. Leuer enters the game for D. Booker
7:49.0,,,86-80,2,T. Warren makes 2-pt shot from 13 ft
7:29.0,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,89-80,,
7:13.0,,,89-80,,Turnover by J. Leuer (bad pass; steal by R. Jefferson)
6:59.0,Turnover by I. Shumpert (lost ball; steal by P. Tucker),,89-80,,
6:59.0,Loose ball foul by I. Shumpert (drawn by P. Tucker),,89-80,,
6:59.0,L. James enters the game for K. Love,,89-80,,
6:59.0,,,89-80,,M. Teletovic enters the game for T. Chandler
6:50.0,,,89-80,,Shooting foul by R. Jefferson (drawn by J. Leuer)
6:50.0,,,89-81,1,J. Leuer makes free throw 1 of 2
6:50.0,,,89-82,1,J. Leuer makes free throw 2 of 2
6:36.0,Shooting foul by J. Leuer (drawn by L. James),,89-82,,
6:36.0,L. James makes free throw 1 of 2,1,90-82,,
6:36.0,L. James makes free throw 2 of 2,1,91-82,,
6:15.0,,,91-82,,B. Knight misses 2-pt shot from 21 ft
6:11.0,Defensive rebound by I. Shumpert,,91-82,,
5:55.0,Turnover by L. James (bad pass),,91-82,,
5:55.0,,,91-82,,Phoenix full timeout
5:35.0,,,91-82,,M. Teletovic misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by I. Shumpert,,91-82,,
5:17.0,L. James misses 2-pt shot from 15 ft,,91-82,,
5:16.0,,,91-82,,Defensive rebound by B. Knight
5:04.0,,,91-82,,Shooting foul by I. Shumpert (drawn by J. Leuer)
5:04.0,,,91-83,1,J. Leuer makes free throw 1 of 2
5:04.0,,,91-83,,T. Chandler enters the game for M. Teletovic
5:04.0,,,91-84,1,J. Leuer makes free throw 2 of 2
4:54.0,M. Dellavedova misses 2-pt shot from 8 ft,,91-84,,
4:52.0,Offensive rebound by T. Thompson,,91-84,,
4:36.0,Shooting foul by B. Knight (drawn by T. Thompson),,91-84,,
4:36.0,T. Thompson makes free throw 1 of 2,1,92-84,,
4:36.0,T. Thompson misses free throw 2 of 2,,92-84,,
4:34.0,,,92-84,,Defensive rebound by T. Chandler
4:12.0,,,92-87,3,T. Warren makes 3-pt shot from 25 ft
3:54.0,I. Shumpert makes 2-pt shot from 20 ft,2,94-87,,
3:38.0,,,94-89,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Chandler)
3:13.0,Turnover by M. Dellavedova (bad pass; steal by T. Warren),,94-89,,
3:02.0,,,94-89,,Shooting foul by I. Shumpert (drawn by T. Chandler)
3:02.0,,,94-90,1,T. Chandler makes free throw 1 of 2
3:02.0,K. Irving enters the game for M. Dellavedova,,94-90,,
3:02.0,J. Smith enters the game for R. Jefferson,,94-90,,
3:02.0,,,94-91,1,T. Chandler makes free throw 2 of 2
2:48.0,,,94-91,,Personal foul by P. Tucker (drawn by K. Irving)
2:48.0,Cleveland full timeout,,94-91,,
2:48.0,,,94-91,,D. Booker enters the game for J. Leuer
2:39.0,Turnover by K. Irving (bad pass),,94-91,,
2:33.0,Personal foul by J. Smith (drawn by T. Warren),,94-91,,
2:33.0,,,94-92,1,T. Warren makes free throw 1 of 2
2:33.0,,,94-92,,T. Warren misses free throw 2 of 2
2:31.0,,,94-92,,Offensive rebound by T. Warren
2:23.0,,,94-92,,T. Warren misses 2-pt shot from 21 ft
2:21.0,Defensive rebound by L. James,,94-92,,
1:59.0,L. James misses 3-pt shot from 25 ft,,94-92,,
1:57.0,Offensive rebound by J. Smith,,94-92,,
1:44.0,K. Irving makes 2-pt shot from 12 ft,2,96-92,,
1:44.0,,,96-92,,Phoenix full timeout
1:28.0,,,96-95,3,B. Knight makes 3-pt shot from 25 ft (assist by D. Booker)
1:16.0,K. Irving misses 3-pt shot from 25 ft,,96-95,,
1:14.0,Offensive rebound by T. Thompson,,96-95,,
0:54.0,L. James misses 3-pt shot from 25 ft,,96-95,,
0:52.0,,,96-95,,Defensive rebound by B. Knight
0:47.0,,,96-95,,Offensive foul by T. Chandler
0:47.0,,,96-95,,Turnover by T. Chandler (offensive foul)
0:47.0,Cleveland full timeout,,96-95,,
