time,Detroit,pts.away,score,pts.home,Oklahoma City
7:00.0,A. Drummond makes 2-pt shot from 6 ft,2,82-91,,
6:45.0,,,82-91,,Shooting foul by A. Tolliver (drawn by E. Kanter)
6:45.0,,,82-92,1,E. Kanter makes free throw 1 of 2
6:45.0,E. Ilyasova enters the game for A. Tolliver,,82-92,,
6:45.0,,,82-92,,K. Durant enters the game for A. Roberson
6:45.0,,,82-92,,R. Westbrook enters the game for D. Augustin
6:45.0,,,82-93,1,E. Kanter makes free throw 2 of 2
6:36.0,Turnover by K. Caldwell-Pope (step out of bounds),,82-93,,
6:20.0,,,82-96,3,K. Durant makes 3-pt shot from 24 ft (assist by E. Kanter)
6:19.0,Detroit full timeout,,82-96,,
6:05.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,82-96,,
6:05.0,,,82-96,,Defensive rebound by K. Durant
5:59.0,,,82-99,3,R. Westbrook makes 3-pt shot from 25 ft (assist by K. Durant)
5:41.0,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson),3,85-99,,
5:31.0,,,85-99,,Offensive foul by E. Kanter
5:31.0,,,85-99,,Turnover by E. Kanter (offensive foul)
5:22.0,R. Jackson misses 2-pt shot from 3 ft (block by E. Kanter),,85-99,,
