time,Golden State,pts.away,score,pts.home,New York
7:55.0,,,89-76,2,C. Anthony makes 2-pt shot from 19 ft
7:42.0,,,89-76,,Personal foul by J. Grant (drawn by H. Barnes)
7:42.0,K. Thompson enters the game for B. Rush,,89-76,,
7:42.0,D. Green enters the game for A. Iguodala,,89-76,,
7:42.0,,,89-76,,L. Galloway enters the game for J. Grant
7:29.0,S. Curry makes 3-pt shot from 27 ft,3,92-76,,
7:20.0,,,92-78,2,S. Vujacic makes 2-pt shot from 22 ft (assist by L. Galloway)
7:20.0,,,92-78,,Shooting foul by S. Curry (drawn by S. Vujacic)
7:20.0,,,92-79,1,S. Vujacic makes free throw 1 of 1
7:05.0,,,92-79,,Personal foul by C. Anthony (drawn by S. Curry)
6:56.0,,,92-79,,Personal foul by A. Afflalo (drawn by K. Thompson)
6:49.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,94-79,,
6:30.0,,,94-79,,C. Anthony misses 2-pt shot from 4 ft
6:29.0,Defensive rebound by D. Green,,94-79,,
6:25.0,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Curry),3,97-79,,
6:24.0,,,97-79,,New York full timeout
6:02.0,,,97-79,,D. Williams misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by S. Curry,,97-79,,
5:48.0,S. Curry misses 3-pt shot from 26 ft,,97-79,,
5:47.0,Offensive rebound by D. Green,,97-79,,
5:47.0,D. Green makes 2-pt shot from 2 ft,2,99-79,,
5:23.0,,,99-79,,D. Williams misses 2-pt shot from 12 ft
5:22.0,Defensive rebound by S. Curry,,99-79,,
5:12.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,102-79,,
4:59.0,,,102-82,3,A. Afflalo makes 3-pt shot from 25 ft (assist by S. Vujacic)
4:50.0,Shooting foul by S. Vujacic (drawn by L. Barbosa),,102-82,,
4:50.0,L. Barbosa misses free throw 1 of 2,,102-82,,
4:50.0,Offensive rebound by Team,,102-82,,
4:50.0,B. Rush enters the game for H. Barnes,,102-82,,
4:50.0,L. Barbosa makes free throw 2 of 2,1,103-82,,
4:35.0,,,103-82,,C. Anthony misses 2-pt shot from 11 ft
4:34.0,Defensive rebound by L. Barbosa,,103-82,,
4:20.0,K. Thompson misses 2-pt shot from 17 ft,,103-82,,
4:19.0,,,103-82,,Defensive rebound by S. Vujacic
4:04.0,,,103-84,2,S. Vujacic makes 2-pt shot from 1 ft
4:04.0,,,103-84,,Shooting foul by K. Thompson (drawn by S. Vujacic)
4:04.0,M. Speights enters the game for S. Curry,,103-84,,
4:04.0,I. Clark enters the game for D. Green,,103-84,,
4:04.0,,,103-84,,K. O'Quinn enters the game for C. Anthony
4:04.0,,,103-84,,T. Antetokounmpo enters the game for A. Afflalo
4:04.0,,,103-85,1,S. Vujacic makes free throw 1 of 1
3:41.0,B. Rush makes 3-pt shot from 24 ft (assist by M. Speights),3,106-85,,
3:23.0,,,106-85,,D. Williams misses 2-pt shot from 2 ft (block by B. Rush)
3:22.0,Defensive rebound by M. Speights,,106-85,,
3:17.0,I. Clark misses 3-pt shot from 23 ft,,106-85,,
3:16.0,,,106-85,,Defensive rebound by L. Galloway
3:11.0,,,106-85,,Shooting foul by M. Speights (drawn by L. Galloway)
3:11.0,,,106-86,1,L. Galloway makes free throw 1 of 2
3:11.0,J. Thompson enters the game for K. Thompson,,106-86,,
3:11.0,,,106-86,,L. Amundson enters the game for D. Williams
3:11.0,,,106-87,1,L. Galloway makes free throw 2 of 2
3:04.0,,,106-87,,Flagrant foul type 1 by K. O'Quinn (drawn by I. Clark)
