time,Golden State,pts.away,score,pts.home,Memphis
4:19.0,,,65-65,2,P. Hairston makes 2-pt shot from 16 ft (assist by M. Barnes)
4:08.0,S. Curry misses 3-pt shot from 27 ft,,65-65,,
4:07.0,,,65-65,,Defensive rebound by M. Barnes
3:52.0,,,65-67,2,L. Stephenson makes 2-pt shot from 3 ft
3:42.0,D. Green misses 2-pt shot at rim,,65-67,,
3:40.0,,,65-67,,Defensive rebound by M. Barnes
3:35.0,,,65-67,,X. Munford misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by D. Green,,65-67,,
3:21.0,S. Curry misses 3-pt shot from 29 ft,,65-67,,
3:21.0,,,65-67,,Defensive rebound by M. Barnes
2:57.0,,,65-67,,J. Green misses 2-pt shot from 4 ft (block by D. Green)
2:55.0,Defensive rebound by S. Curry,,65-67,,
2:53.0,Turnover by S. Curry (lost ball),,65-67,,
2:32.0,,,65-69,2,L. Stephenson makes 2-pt shot from 16 ft
2:23.0,S. Curry misses 2-pt shot from 3 ft (block by X. Munford),,65-69,,
2:23.0,,,65-69,,Defensive rebound by Team
2:06.0,,,65-69,,M. Barnes misses 2-pt shot from 3 ft
2:04.0,,,65-69,,Offensive rebound by J. Green
2:04.0,,,65-71,2,J. Green makes 2-pt shot at rim
1:56.0,B. Rush misses 3-pt shot from 24 ft,,65-71,,
1:53.0,,,65-71,,Defensive rebound by X. Munford
1:38.0,,,65-74,3,X. Munford makes 3-pt shot from 24 ft (assist by J. Green)
1:18.0,D. Green makes 2-pt shot at rim,2,67-74,,
0:56.0,,,67-74,,Turnover by J. Green (lost ball; steal by D. Green)
0:49.0,S. Curry misses 3-pt shot from 24 ft,,67-74,,
0:45.0,,,67-74,,Defensive rebound by J. Green
0:28.0,,,67-74,,Shooting foul by D. Green (drawn by J. Green)
0:28.0,,,67-75,1,J. Green makes free throw 1 of 2
0:28.0,S. Livingston enters the game for A. Iguodala,,67-75,,
0:28.0,,,67-75,,J. Farmar enters the game for M. Barnes
0:28.0,,,67-76,1,J. Green makes free throw 2 of 2
0:15.0,,,67-76,,Personal take foul by P. Hairston
0:15.0,,,67-76,,M. Barnes enters the game for J. Green
0:06.0,S. Curry makes 3-pt shot from 24 ft (assist by S. Livingston),3,70-76,,
0:00.0,,,70-78,2,X. Munford makes 2-pt shot from 3 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Speights misses 2-pt shot from 20 ft,,70-78,,
11:43.0,,,70-78,,Defensive rebound by Z. Randolph
11:27.0,,,70-80,2,M. Barnes makes 2-pt shot at rim
11:17.0,S. Livingston misses 2-pt shot from 14 ft,,70-80,,
11:17.0,Offensive rebound by Team,,70-80,,
11:17.0,,,70-80,,Loose ball foul by Z. Randolph
11:04.0,L. Barbosa misses 2-pt shot from 2 ft,,70-80,,
11:01.0,Offensive rebound by M. Speights,,70-80,,
11:01.0,M. Speights misses 2-pt shot from 1 ft (block by Z. Randolph),,70-80,,
10:59.0,Offensive rebound by M. Speights,,70-80,,
10:59.0,M. Speights makes 2-pt shot from 1 ft,2,72-80,,
10:46.0,,,72-80,,Shooting foul by L. Barbosa (drawn by X. Munford)
10:46.0,,,72-81,1,X. Munford makes free throw 1 of 2
10:46.0,,,72-81,,X. Munford misses free throw 2 of 2
10:45.0,Defensive rebound by K. Thompson,,72-81,,
10:32.0,M. Speights misses 2-pt shot from 20 ft,,72-81,,
10:32.0,,,72-81,,Defensive rebound by M. Barnes
10:26.0,,,72-81,,Z. Randolph misses 2-pt shot from 5 ft
10:22.0,Defensive rebound by K. Thompson,,72-81,,
10:18.0,Shooting foul by L. Stephenson (drawn by K. Thompson),,72-81,,
10:18.0,K. Thompson makes free throw 1 of 2,1,73-81,,
10:18.0,K. Thompson makes free throw 2 of 2,1,74-81,,
10:00.0,,,74-81,,Z. Randolph misses 2-pt shot from 3 ft (block by M. Speights)
10:00.0,,,74-81,,Offensive rebound by Team
9:56.0,,,74-81,,Z. Randolph misses 2-pt shot from 16 ft
9:54.0,Defensive rebound by H. Barnes,,74-81,,
9:40.0,M. Speights misses 2-pt shot from 8 ft,,74-81,,
9:38.0,,,74-81,,Defensive rebound by P. Hairston
9:31.0,,,74-83,2,Z. Randolph makes 2-pt shot from 2 ft (assist by P. Hairston)
9:21.0,S. Livingston misses 2-pt shot from 10 ft,,74-83,,
9:20.0,Offensive rebound by M. Speights,,74-83,,
9:20.0,,,74-83,,Personal foul by X. Munford
9:20.0,,,74-83,,J. Green enters the game for Z. Randolph
9:15.0,K. Thompson makes 2-pt shot from 2 ft,2,76-83,,
8:52.0,,,76-83,,J. Green misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by M. Speights,,76-83,,
8:45.0,Turnover by L. Barbosa (bad pass),,76-83,,
8:45.0,,,76-83,,Memphis full timeout
8:45.0,,,76-83,,J. Farmar enters the game for X. Munford
8:45.0,A. Iguodala enters the game for L. Barbosa,,76-83,,
8:29.0,,,76-83,,J. Martin enters the game for P. Hairston
8:24.0,,,76-86,3,J. Farmar makes 3-pt shot from 24 ft
8:04.0,S. Livingston makes 2-pt shot from 9 ft,2,78-86,,
7:43.0,,,78-86,,Turnover by J. Green (lost ball)
7:25.0,S. Livingston makes 2-pt shot from 9 ft,2,80-86,,
7:00.0,,,80-86,,J. Green misses 2-pt shot from 20 ft
6:57.0,,,80-86,,Offensive rebound by M. Barnes
6:57.0,,,80-88,2,M. Barnes makes 2-pt shot from 1 ft
6:37.0,A. Iguodala misses 3-pt shot from 22 ft,,80-88,,
6:36.0,,,80-88,,Defensive rebound by J. Green
6:20.0,,,80-90,2,M. Barnes makes 2-pt shot from 1 ft (assist by J. Green)
6:20.0,Golden State full timeout,,80-90,,
6:20.0,,,80-90,,V. Carter enters the game for L. Stephenson
6:20.0,D. Green enters the game for H. Barnes,,80-90,,
6:20.0,S. Curry enters the game for M. Speights,,80-90,,
6:08.0,Shooting foul by J. Green (drawn by S. Livingston),,80-90,,
6:08.0,S. Livingston makes free throw 1 of 2,1,81-90,,
6:08.0,S. Livingston makes free throw 2 of 2,1,82-90,,
5:53.0,,,82-90,,V. Carter misses 3-pt shot from 27 ft
5:50.0,,,82-90,,Offensive rebound by J. Green
5:50.0,,,82-90,,J. Green misses 2-pt shot at rim
5:47.0,Defensive rebound by K. Thompson,,82-90,,
5:41.0,K. Thompson misses 3-pt shot from 22 ft,,82-90,,
5:41.0,Offensive rebound by K. Thompson,,82-90,,
5:34.0,A. Iguodala makes 2-pt shot from 3 ft,2,84-90,,
5:09.0,,,84-90,,Shooting foul by S. Livingston (drawn by M. Barnes)
5:09.0,,,84-91,1,M. Barnes makes free throw 1 of 3
5:09.0,,,84-92,1,M. Barnes makes free throw 2 of 3
5:09.0,,,84-92,,X. Munford enters the game for J. Farmar
5:09.0,,,84-92,,Z. Randolph enters the game for J. Green
5:09.0,,,84-93,1,M. Barnes makes free throw 3 of 3
4:59.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,87-93,,
4:35.0,,,87-93,,M. Barnes misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by K. Thompson,,87-93,,
4:24.0,A. Iguodala makes 3-pt shot from 22 ft (assist by K. Thompson),3,90-93,,
4:23.0,,,90-93,,Memphis full timeout
4:23.0,,,90-93,,L. Stephenson enters the game for J. Martin
4:23.0,H. Barnes enters the game for S. Livingston,,90-93,,
4:05.0,,,90-93,,Z. Randolph misses 2-pt shot from 6 ft
4:02.0,Defensive rebound by A. Iguodala,,90-93,,
3:58.0,Turnover by S. Curry (lost ball; steal by X. Munford),,90-93,,
3:41.0,,,90-93,,X. Munford misses 2-pt shot from 8 ft
