time,Philadelphia,pts.away,score,pts.home,Orlando
3:57.0,,,74-97,,V. Oladipo misses 3-pt shot from 25 ft
3:54.0,,,74-97,,Offensive rebound by E. Payton
3:44.0,,,74-97,,Turnover by E. Payton (lost ball; steal by T. McConnell)
3:41.0,J. Grant makes 2-pt shot at rim (assist by I. Canaan),2,76-97,,
3:25.0,,,76-99,2,J. Smith makes 2-pt shot from 1 ft (assist by E. Payton)
3:11.0,R. Holmes makes 2-pt shot at rim (assist by I. Smith),2,78-99,,
3:11.0,,,78-99,,Orlando full timeout
3:11.0,,,78-99,,C. Watson enters the game for M. Hezonja
3:11.0,,,78-99,,B. Jennings enters the game for A. Gordon
3:11.0,,,78-99,,A. Gordon enters the game for E. Payton
3:03.0,Personal foul by I. Smith (drawn by C. Watson),,78-99,,
3:00.0,,,78-99,,Turnover by C. Watson (bad pass; steal by R. Holmes)
2:54.0,R. Holmes makes 2-pt shot at rim (assist by I. Smith),2,80-99,,
2:32.0,,,80-99,,V. Oladipo misses 2-pt shot from 20 ft
2:32.0,Defensive rebound by J. Grant,,80-99,,
2:16.0,I. Canaan misses 3-pt shot from 25 ft,,80-99,,
2:16.0,,,80-99,,Defensive rebound by B. Jennings
2:07.0,Personal foul by I. Canaan (drawn by C. Watson),,80-99,,
2:07.0,,,80-99,,Turnover by Team (5 sec inbounds)
1:56.0,I. Smith makes 2-pt shot at rim,2,82-99,,
1:34.0,,,82-99,,A. Gordon misses 2-pt shot from 17 ft
1:33.0,Defensive rebound by I. Smith,,82-99,,
1:19.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,84-99,,
0:59.0,,,84-102,3,V. Oladipo makes 3-pt shot from 22 ft (assist by C. Watson)
0:50.0,I. Smith makes 2-pt shot from 1 ft,2,86-102,,
0:50.0,Shooting foul by B. Jennings (drawn by I. Smith),,86-102,,
0:50.0,I. Smith makes free throw 1 of 1,1,87-102,,
0:35.0,,,87-102,,B. Jennings misses 2-pt shot from 6 ft
0:35.0,,,87-102,,Offensive rebound by Team
0:19.0,,,87-102,,J. Smith misses 2-pt shot from 12 ft (block by R. Holmes)
0:18.0,Defensive rebound by J. Grant,,87-102,,
0:00.0,I. Smith misses 3-pt shot from 23 ft,,87-102,,
0:00.0,Offensive rebound by Team,,87-102,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,87-104,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by N. Vucevic)
11:28.0,Shooting foul by E. Ilyasova (drawn by R. Holmes),,87-104,,
11:28.0,R. Holmes makes free throw 1 of 2,1,88-104,,
11:28.0,R. Holmes makes free throw 2 of 2,1,89-104,,
11:12.0,,,89-104,,Shooting foul by J. Grant (drawn by N. Vucevic)
11:12.0,,,89-104,,N. Vucevic misses free throw 1 of 2
11:12.0,,,89-104,,Offensive rebound by Team
11:12.0,Technical foul by Team,,89-104,,
11:12.0,,,89-105,1,V. Oladipo makes technical free throw
11:12.0,,,89-106,1,N. Vucevic makes free throw 2 of 2
10:55.0,I. Canaan makes 3-pt shot from 25 ft,3,92-106,,
10:29.0,,,92-108,2,N. Vucevic makes 2-pt shot from 12 ft
10:18.0,Turnover by R. Holmes (bad pass),,92-108,,
10:07.0,,,92-108,,Shooting foul by R. Holmes (drawn by N. Vucevic)
10:07.0,,,92-110,2,N. Vucevic makes 2-pt shot from 5 ft
10:07.0,,,92-111,1,N. Vucevic makes free throw 1 of 1
9:55.0,T. McConnell misses 2-pt shot from 15 ft,,92-111,,
9:55.0,,,92-111,,Defensive rebound by Team
