time,Minnesota,pts.away,score,pts.home,Portland
6:29.0,,,90-86,,Violation by M. Plumlee (def goaltending)
6:10.0,,,90-89,3,C. McCollum makes 3-pt shot from 26 ft (assist by M. Plumlee)
5:55.0,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio),2,92-89,,
5:43.0,,,92-89,,D. Lillard misses 2-pt shot from 2 ft (block by N. Bjelica)
5:42.0,Defensive rebound by Team,,92-89,,
5:42.0,Official timeout,,92-89,,
5:26.0,A. Wiggins makes 2-pt shot from 12 ft,2,94-89,,
5:09.0,,,94-89,,A. Aminu misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by N. Bjelica,,94-89,,
4:49.0,K. Towns makes 2-pt shot from 7 ft,2,96-89,,
4:40.0,,,96-89,,Turnover by D. Lillard (lost ball; steal by T. Prince)
4:23.0,A. Wiggins misses 2-pt shot from 19 ft,,96-89,,
4:22.0,Offensive rebound by K. Towns,,96-89,,
4:21.0,,,96-89,,A. Crabbe enters the game for M. Harkless
4:13.0,A. Wiggins misses 2-pt shot from 13 ft,,96-89,,
4:11.0,,,96-89,,Defensive rebound by M. Plumlee
4:04.0,,,96-91,2,D. Lillard makes 2-pt shot from 1 ft
3:50.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,98-91,,
3:38.0,,,98-91,,Shooting foul by A. Wiggins (drawn by D. Lillard)
3:38.0,,,98-92,1,D. Lillard makes free throw 1 of 2
3:38.0,Z. LaVine enters the game for N. Bjelica,,98-92,,
3:38.0,,,98-93,1,D. Lillard makes free throw 2 of 2
3:26.0,A. Wiggins misses 2-pt shot from 2 ft,,98-93,,
3:23.0,Offensive rebound by A. Wiggins,,98-93,,
3:18.0,Minnesota full timeout,,98-93,,
3:04.0,T. Prince makes 2-pt shot from 17 ft (assist by Z. LaVine),2,100-93,,
2:40.0,Personal foul by R. Rubio,,100-93,,
2:28.0,,,100-93,,D. Lillard misses 2-pt shot from 1 ft
2:27.0,Defensive rebound by K. Towns,,100-93,,
2:18.0,,,100-93,,Personal foul by D. Lillard
2:09.0,Shooting foul by C. McCollum (drawn by Z. LaVine),,100-93,,
2:09.0,Z. LaVine misses free throw 1 of 2,,100-93,,
2:09.0,Offensive rebound by Team,,100-93,,
2:09.0,Z. LaVine makes free throw 2 of 2,1,101-93,,
1:54.0,,,101-95,2,M. Plumlee makes 2-pt shot from 8 ft (assist by C. McCollum)
1:38.0,Turnover by T. Prince (lost ball; steal by M. Plumlee),,101-95,,
1:29.0,Personal foul by Z. LaVine,,101-95,,
1:29.0,,,101-96,1,C. McCollum makes free throw 1 of 2
1:29.0,,,101-97,1,C. McCollum makes free throw 2 of 2
1:13.0,Z. LaVine misses 2-pt shot from 19 ft,,101-97,,
1:11.0,,,101-97,,Defensive rebound by M. Plumlee
1:01.0,,,101-99,2,D. Lillard makes 2-pt shot from 5 ft
1:01.0,Minnesota full timeout,,101-99,,
0:42.0,Shooting foul by A. Crabbe (drawn by A. Wiggins),,101-99,,
0:42.0,A. Wiggins misses free throw 1 of 2,,101-99,,
0:42.0,Offensive rebound by Team,,101-99,,
0:42.0,G. Dieng enters the game for K. Towns,,101-99,,
