time,New York,pts.away,score,pts.home,Charlotte
11:45.0,Defensive rebound by J. Calderon,,43-45,,
11:22.0,C. Anthony misses 2-pt shot from 15 ft,,43-45,,
11:21.0,,,43-45,,Defensive rebound by S. Hawes
11:13.0,,,43-45,,K. Walker misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by K. Porzingis,,43-45,,
10:49.0,R. Lopez misses 2-pt shot from 10 ft,,43-45,,
10:49.0,Offensive rebound by Team,,43-45,,
10:49.0,Turnover by Team (shot clock),,43-45,,
10:28.0,,,43-45,,P. Hairston misses 2-pt shot from 7 ft
10:27.0,Defensive rebound by C. Anthony,,43-45,,
10:26.0,,,43-45,,Personal foul by P. Hairston (drawn by K. Porzingis)
10:15.0,A. Afflalo misses 2-pt shot from 5 ft (block by J. Lin),,43-45,,
10:15.0,,,43-45,,Defensive rebound by Team
10:04.0,,,43-45,,M. Williams misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by J. Calderon,,43-45,,
9:58.0,Offensive foul by A. Afflalo,,43-45,,
9:58.0,Turnover by A. Afflalo (offensive foul),,43-45,,
9:51.0,,,43-45,,Shooting foul by J. Calderon (drawn by K. Walker)
9:51.0,,,43-46,1,K. Walker makes free throw 1 of 2
9:51.0,,,43-47,1,K. Walker makes free throw 2 of 2
9:29.0,J. Calderon misses 3-pt shot from 25 ft,,43-47,,
9:28.0,,,43-47,,Defensive rebound by P. Hairston
9:19.0,,,43-47,,Turnover by K. Walker (lost ball; steal by J. Calderon)
9:13.0,C. Anthony misses 3-pt shot from 25 ft,,43-47,,
9:11.0,,,43-47,,Defensive rebound by P. Hairston
8:59.0,,,43-50,3,K. Walker makes 3-pt shot from 25 ft
8:59.0,New York full timeout,,43-50,,
8:59.0,D. Williams enters the game for R. Lopez,,43-50,,
8:59.0,L. Galloway enters the game for A. Afflalo,,43-50,,
8:44.0,K. Porzingis makes 2-pt shot at rim (assist by J. Calderon),2,45-50,,
8:31.0,,,45-50,,Shooting foul by L. Galloway (drawn by J. Lin)
8:31.0,,,45-51,1,J. Lin makes free throw 1 of 2
8:31.0,,,45-52,1,J. Lin makes free throw 2 of 2
8:11.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Calderon),3,48-52,,
7:57.0,,,48-52,,P. Hairston misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by C. Anthony,,48-52,,
7:51.0,L. Galloway makes 2-pt shot from 2 ft,2,50-52,,
7:38.0,Personal foul by C. Anthony (drawn by S. Hawes),,50-52,,
7:28.0,,,50-52,,J. Lin misses 2-pt shot from 19 ft
7:27.0,Defensive rebound by D. Williams,,50-52,,
7:13.0,K. Porzingis misses 2-pt shot from 18 ft,,50-52,,
7:12.0,,,50-52,,Defensive rebound by M. Williams
7:07.0,,,50-55,3,J. Lin makes 3-pt shot from 24 ft (assist by K. Walker)
6:45.0,C. Anthony misses 2-pt shot from 18 ft,,50-55,,
6:44.0,,,50-55,,Defensive rebound by P. Hairston
6:30.0,,,50-57,2,J. Lin makes 2-pt shot at rim
6:00.0,Offensive foul by K. Porzingis,,50-57,,
6:00.0,Turnover by K. Porzingis (offensive foul),,50-57,,
6:00.0,K. Seraphin enters the game for K. Porzingis,,50-57,,
5:37.0,,,50-59,2,P. Hairston makes 2-pt shot from 1 ft (assist by J. Lin)
5:22.0,J. Calderon makes 2-pt shot from 16 ft (assist by K. Seraphin),2,52-59,,
5:10.0,,,52-59,,Shooting foul by C. Anthony (drawn by P. Hairston)
5:10.0,,,52-60,1,P. Hairston makes free throw 1 of 2
5:10.0,,,52-61,1,P. Hairston makes free throw 2 of 2
5:02.0,,,52-61,,Personal foul by M. Williams (drawn by C. Anthony)
