time,Philadelphia,pts.away,score,pts.home,Portland
11:44.0,,,74-86,,Shooting foul by N. Stauskas (drawn by G. Henderson)
11:44.0,,,74-87,1,G. Henderson makes free throw 1 of 2
11:44.0,,,74-88,1,G. Henderson makes free throw 2 of 2
11:20.0,N. Stauskas makes 2-pt shot from 20 ft,2,76-88,,
10:58.0,,,76-90,2,A. Crabbe makes 2-pt shot from 23 ft (assist by E. Davis)
10:46.0,H. Thompson misses 3-pt shot from 25 ft,,76-90,,
10:45.0,,,76-90,,Defensive rebound by E. Davis
10:36.0,,,76-90,,Shooting foul by I. Smith (drawn by E. Davis)
10:36.0,,,76-91,1,E. Davis makes free throw 1 of 2
10:36.0,,,76-92,1,E. Davis makes free throw 2 of 2
10:27.0,Shooting foul by E. Davis (drawn by C. Landry),,76-92,,
10:27.0,C. Landry makes free throw 1 of 2,1,77-92,,
10:27.0,C. Landry makes free throw 2 of 2,1,78-92,,
10:18.0,,,78-92,,C. McCollum misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by N. Stauskas,,78-92,,
10:04.0,C. Landry makes 2-pt shot from 2 ft,2,80-92,,
9:50.0,,,80-92,,A. Crabbe misses 3-pt shot from 24 ft
9:49.0,,,80-92,,Offensive rebound by A. Aminu
9:47.0,,,80-92,,Shooting foul by C. Landry (drawn by A. Aminu)
9:47.0,,,80-93,1,A. Aminu makes free throw 1 of 2
9:47.0,,,80-94,1,A. Aminu makes free throw 2 of 2
9:34.0,I. Smith misses 2-pt shot from 1 ft,,80-94,,
9:33.0,,,80-94,,Defensive rebound by E. Davis
9:27.0,,,80-94,,C. McCollum misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by C. Landry,,80-94,,
9:19.0,Turnover by I. Smith (traveling),,80-94,,
9:01.0,,,80-94,,A. Crabbe misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by N. Stauskas,,80-94,,
8:49.0,Shooting foul by G. Henderson (drawn by N. Stauskas),,80-94,,
8:49.0,Official timeout,,80-94,,
8:49.0,,,80-94,,D. Lillard enters the game for C. McCollum
8:49.0,N. Stauskas makes free throw 1 of 2,1,81-94,,
8:49.0,N. Stauskas makes free throw 2 of 2,1,82-94,,
8:30.0,,,82-96,2,A. Aminu makes 2-pt shot at rim (assist by E. Davis)
8:16.0,Turnover by N. Stauskas (bad pass),,82-96,,
8:16.0,,,82-96,,M. Plumlee enters the game for E. Davis
8:16.0,R. Covington enters the game for I. Canaan,,82-96,,
8:05.0,Personal foul by H. Thompson,,82-96,,
8:05.0,J. Grant enters the game for C. Landry,,82-96,,
7:56.0,,,82-96,,A. Crabbe misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by I. Smith,,82-96,,
7:43.0,N. Stauskas misses 3-pt shot from 22 ft,,82-96,,
7:42.0,,,82-96,,Defensive rebound by M. Plumlee
7:30.0,,,82-96,,A. Aminu misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by I. Smith,,82-96,,
7:21.0,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant),3,85-96,,
7:05.0,,,85-96,,G. Henderson misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by R. Covington,,85-96,,
6:52.0,,,85-96,,Personal foul by M. Plumlee
6:43.0,H. Thompson misses 2-pt shot from 14 ft,,85-96,,
6:42.0,,,85-96,,Defensive rebound by M. Plumlee
6:29.0,,,85-96,,A. Crabbe misses 3-pt shot from 22 ft
6:29.0,Defensive rebound by R. Covington,,85-96,,
6:25.0,I. Smith makes 2-pt shot from 1 ft,2,87-96,,
6:25.0,Shooting foul by D. Lillard (drawn by I. Smith),,87-96,,
6:25.0,K. Marshall enters the game for N. Stauskas,,87-96,,
6:25.0,,,87-96,,C. McCollum enters the game for A. Crabbe
6:25.0,I. Smith misses free throw 1 of 1,,87-96,,
6:23.0,,,87-96,,Defensive rebound by G. Henderson
6:12.0,,,87-96,,Turnover by G. Henderson (lost ball; steal by I. Smith)
6:10.0,Turnover by I. Smith (lost ball; steal by C. McCollum),,87-96,,
6:04.0,,,87-96,,M. Plumlee misses 2-pt shot at rim (block by J. Grant)
6:04.0,,,87-96,,Offensive rebound by M. Plumlee
6:04.0,,,87-96,,Shooting foul by J. Grant (drawn by M. Plumlee)
6:04.0,,,87-96,,M. Plumlee misses free throw 1 of 2
6:04.0,,,87-96,,Offensive rebound by Team
6:04.0,,,87-97,1,M. Plumlee makes free throw 2 of 2
5:54.0,Shooting foul by M. Plumlee (drawn by J. Grant),,87-97,,
5:54.0,,,87-97,,Portland full timeout
5:54.0,J. Grant makes free throw 1 of 2,1,88-97,,
5:54.0,J. Grant misses free throw 2 of 2,,88-97,,
5:53.0,,,88-97,,Defensive rebound by C. McCollum
5:41.0,,,88-97,,D. Lillard misses 2-pt shot from 8 ft
5:39.0,,,88-97,,Offensive rebound by M. Plumlee
5:39.0,,,88-97,,M. Plumlee misses 2-pt shot from 1 ft
