time,Oklahoma City,pts.away,score,pts.home,New Orleans
5:42.0,Turnover by S. Ibaka (lost ball; steal by J. Holiday),,72-74,,
5:37.0,,,72-74,,N. Cole misses 2-pt shot from 19 ft (block by K. Durant)
5:36.0,,,72-74,,Offensive rebound by D. Cunningham
5:36.0,,,72-74,,New Orleans full timeout
5:36.0,K. Singler enters the game for K. Durant,,72-74,,
5:36.0,,,72-74,,L. Babbitt enters the game for D. Cunningham
5:23.0,,,72-74,,J. Holiday misses 2-pt shot from 16 ft
5:22.0,Defensive rebound by K. Singler,,72-74,,
5:00.0,S. Ibaka misses 2-pt shot from 19 ft,,72-74,,
4:59.0,Offensive rebound by R. Westbrook,,72-74,,
4:59.0,,,72-74,,Personal foul by N. Cole (drawn by R. Westbrook)
4:47.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Ajinca),,72-74,,
4:47.0,,,72-74,,Defensive rebound by A. Davis
4:31.0,,,72-76,2,A. Davis makes 2-pt shot from 11 ft
4:10.0,E. Kanter makes 2-pt shot at rim,2,74-76,,
3:58.0,,,74-78,2,N. Cole makes 2-pt shot from 11 ft
3:41.0,R. Westbrook makes 3-pt shot from 25 ft,3,77-78,,
3:30.0,,,77-78,,Shooting foul by S. Ibaka (drawn by A. Davis)
3:30.0,,,77-79,1,A. Davis makes free throw 1 of 2
3:30.0,,,77-79,,K. Perkins enters the game for A. Ajinca
3:30.0,D. Waiters enters the game for A. Roberson,,77-79,,
3:30.0,,,77-80,1,A. Davis makes free throw 2 of 2
3:19.0,Shooting foul by K. Perkins (drawn by R. Westbrook),,77-80,,
3:19.0,R. Westbrook makes free throw 1 of 2,1,78-80,,
3:19.0,R. Westbrook makes free throw 2 of 2,1,79-80,,
3:10.0,,,79-80,,Shooting foul by D. Waiters (drawn by J. Holiday)
3:10.0,,,79-81,1,J. Holiday makes free throw 1 of 2
3:10.0,,,79-82,1,J. Holiday makes free throw 2 of 2
2:59.0,,,79-82,,Personal foul by K. Perkins (drawn by R. Westbrook)
2:59.0,Oklahoma City full timeout,,79-82,,
2:52.0,R. Westbrook makes 2-pt shot from 19 ft,2,81-82,,
2:33.0,,,81-82,,Turnover by A. Davis (traveling)
2:33.0,K. Durant enters the game for R. Westbrook,,81-82,,
2:15.0,K. Durant misses 2-pt shot from 17 ft,,81-82,,
2:14.0,Offensive rebound by Team,,81-82,,
2:14.0,,,81-82,,R. Anderson enters the game for A. Davis
2:11.0,K. Durant misses 2-pt shot from 10 ft,,81-82,,
2:10.0,Offensive rebound by K. Singler,,81-82,,
2:05.0,Turnover by K. Singler (back court),,81-82,,
2:05.0,,,81-82,,D. Cunningham enters the game for L. Babbitt
1:55.0,,,81-82,,R. Anderson misses 2-pt shot from 4 ft (block by E. Kanter)
1:55.0,,,81-82,,Offensive rebound by Team
1:52.0,,,81-85,3,R. Anderson makes 3-pt shot from 24 ft (assist by D. Cunningham)
1:34.0,K. Durant misses 2-pt shot from 16 ft,,81-85,,
1:33.0,,,81-85,,Defensive rebound by N. Cole
1:19.0,,,81-85,,J. Holiday misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by K. Durant,,81-85,,
1:07.0,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters),2,83-85,,
0:58.0,,,83-85,,Turnover by J. Holiday (lost ball; steal by S. Ibaka)
0:55.0,Shooting foul by N. Cole (drawn by S. Ibaka),,83-85,,
0:55.0,S. Ibaka makes free throw 1 of 2,1,84-85,,
0:55.0,,,84-85,,T. Douglas enters the game for N. Cole
0:55.0,S. Ibaka makes free throw 2 of 2,1,85-85,,
0:45.0,,,85-87,2,R. Anderson makes 2-pt shot from 16 ft (assist by J. Holiday)
0:35.0,Offensive foul by S. Ibaka,,85-87,,
0:35.0,Turnover by S. Ibaka (offensive foul),,85-87,,
0:35.0,R. Foye enters the game for S. Ibaka,,85-87,,
0:21.0,,,85-89,2,R. Anderson makes 2-pt shot from 14 ft
0:03.0,K. Durant misses 3-pt shot from 25 ft,,85-89,,
0:02.0,Offensive rebound by R. Foye,,85-89,,
0:00.0,R. Foye makes 2-pt shot from 2 ft,2,87-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by K. Durant (bad pass; steal by T. Douglas),,87-89,,
11:36.0,,,87-92,3,T. Douglas makes 3-pt shot from 24 ft (assist by J. Holiday)
11:16.0,E. Kanter makes 2-pt shot at rim (assist by K. Durant),2,89-92,,
10:53.0,,,89-95,3,D. Cunningham makes 3-pt shot from 23 ft (assist by K. Perkins)
10:33.0,K. Singler misses 2-pt shot from 7 ft,,89-95,,
10:32.0,,,89-95,,Defensive rebound by K. Perkins
10:17.0,,,89-95,,J. Holiday misses 2-pt shot from 6 ft
10:16.0,Defensive rebound by K. Durant,,89-95,,
10:11.0,D. Waiters misses 2-pt shot from 17 ft,,89-95,,
10:09.0,,,89-95,,Defensive rebound by J. Holiday
9:56.0,,,89-97,2,R. Anderson makes 2-pt shot from 22 ft (assist by J. Holiday)
9:54.0,Oklahoma City full timeout,,89-97,,
