time,Oklahoma City,pts.away,score,pts.home,Charlotte
6:12.0,K. Durant makes free throw 1 of 3,1,76-66,,
6:12.0,K. Durant makes free throw 2 of 3,1,77-66,,
6:12.0,D. Waiters enters the game for A. Roberson,,77-66,,
6:12.0,K. Durant makes free throw 3 of 3,1,78-66,,
5:54.0,,,78-68,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
5:39.0,K. Durant misses 2-pt shot from 12 ft,,78-68,,
5:38.0,Offensive rebound by S. Adams,,78-68,,
5:30.0,Turnover by S. Ibaka (offensive foul),,78-68,,
5:30.0,Offensive foul by S. Ibaka,,78-68,,
5:30.0,,,78-68,,F. Kaminsky enters the game for C. Zeller
5:14.0,,,78-68,,Shooting foul by K. Durant (drawn by J. Lamb)
5:14.0,,,78-69,1,J. Lamb makes free throw 1 of 2
5:14.0,,,78-70,1,J. Lamb makes free throw 2 of 2
4:58.0,R. Westbrook misses 3-pt shot from 25 ft,,78-70,,
4:56.0,Offensive rebound by D. Waiters,,78-70,,
4:45.0,,,78-70,,Personal foul by J. Lin (drawn by D. Waiters)
4:45.0,D. Waiters misses free throw 1 of 2,,78-70,,
4:45.0,Offensive rebound by Team,,78-70,,
4:45.0,,,78-70,,T. Daniels enters the game for J. Lin
4:45.0,Violation by Team (double lane),,78-70,,
4:45.0,Jump ball: S. Adams vs. M. Williams (K. Walker gains possession),,,,Jump ball: S. Adams vs. M. Williams (K. Walker gains possession)
4:23.0,,,78-70,,K. Walker misses 2-pt shot from 11 ft
4:22.0,Defensive rebound by S. Adams,,78-70,,
4:21.0,Shooting foul by J. Lamb (drawn by K. Durant),,78-70,,
4:21.0,K. Durant makes free throw 1 of 2,1,79-70,,
4:21.0,K. Durant misses free throw 2 of 2,,79-70,,
4:18.0,,,79-70,,Defensive rebound by T. Daniels
4:07.0,,,79-72,2,M. Williams makes 2-pt shot at rim (assist by J. Lamb)
4:07.0,,,79-72,,Violation by Team (delay of game)
3:50.0,K. Durant misses 2-pt shot from 18 ft,,79-72,,
3:49.0,,,79-72,,Defensive rebound by M. Williams
3:41.0,,,79-74,2,K. Walker makes 2-pt shot at rim
3:23.0,K. Durant makes 2-pt shot from 16 ft (assist by S. Adams),2,81-74,,
3:01.0,,,81-74,,F. Kaminsky misses 2-pt shot at rim (block by S. Adams)
2:59.0,Defensive rebound by R. Westbrook,,81-74,,
2:43.0,S. Adams makes 2-pt shot from 1 ft (assist by D. Waiters),2,83-74,,
2:26.0,,,83-74,,T. Daniels misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by Team,,83-74,,
2:11.0,K. Durant makes 2-pt shot from 9 ft,2,85-74,,
2:11.0,,,85-74,,Charlotte full timeout
2:11.0,C. Payne enters the game for S. Adams,,85-74,,
2:11.0,E. Kanter enters the game for R. Westbrook,,85-74,,
1:55.0,,,85-74,,J. Lamb misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by S. Ibaka,,85-74,,
1:36.0,E. Kanter misses 2-pt shot at rim (block by M. Williams),,85-74,,
1:34.0,,,85-74,,Defensive rebound by T. Daniels
1:26.0,,,85-74,,Shooting foul by S. Ibaka (drawn by K. Walker)
1:26.0,,,85-75,1,K. Walker makes free throw 1 of 2
1:26.0,,,85-76,1,K. Walker makes free throw 2 of 2
1:02.0,D. Waiters makes 2-pt shot from 17 ft,2,87-76,,
0:46.0,,,87-76,,T. Daniels misses 2-pt shot from 21 ft
0:44.0,Defensive rebound by K. Durant,,87-76,,
0:27.0,Turnover by D. Waiters (lost ball; steal by T. Daniels),,87-76,,
0:03.0,,,87-76,,K. Walker misses 2-pt shot from 17 ft
0:02.0,,,87-76,,Offensive rebound by J. Lamb
0:01.0,,,87-76,,J. Lamb misses 2-pt shot at rim
0:00.0,Defensive rebound by C. Payne,,87-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,87-76,,Personal foul by J. Lin (drawn by C. Payne)
11:43.0,,,87-76,,Technical foul by J. Lin (drawn by C. Payne)
11:43.0,A. Morrow misses technical free throw,,87-76,,
11:43.0,Offensive rebound by Team,,87-76,,
11:43.0,C. Payne makes free throw 1 of 2,1,88-76,,
11:43.0,C. Payne misses free throw 2 of 2,,88-76,,
11:42.0,,,88-76,,Defensive rebound by F. Kaminsky
11:33.0,Violation by C. Payne (kicked ball),,88-76,,
11:24.0,,,88-76,,J. Lin misses 2-pt shot from 11 ft
11:22.0,Defensive rebound by A. Morrow,,88-76,,
11:13.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters),2,90-76,,
11:01.0,,,90-78,2,J. Lin makes 2-pt shot at rim
10:44.0,D. Waiters misses 2-pt shot from 17 ft,,90-78,,
10:44.0,Offensive rebound by Team,,90-78,,
10:44.0,,,90-78,,Loose ball foul by T. Daniels (drawn by E. Kanter)
10:34.0,D. Waiters misses 2-pt shot from 1 ft,,90-78,,
10:33.0,,,90-78,,Defensive rebound by J. Lamb
10:29.0,,,90-78,,Turnover by J. Lamb (lost ball; steal by C. Payne)
10:22.0,A. Morrow makes 3-pt shot from 24 ft (assist by C. Payne),3,93-78,,
10:17.0,Personal foul by C. Payne (drawn by J. Lin),,93-78,,
10:08.0,,,93-78,,Offensive foul by F. Kaminsky
10:08.0,,,93-78,,Turnover by F. Kaminsky (offensive foul)
9:55.0,A. Morrow misses 3-pt shot from 23 ft,,93-78,,
9:54.0,,,93-78,,Defensive rebound by J. Lamb
9:42.0,,,93-78,,J. Lin misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by D. Waiters,,93-78,,
9:33.0,A. Morrow misses 3-pt shot from 25 ft,,93-78,,
9:32.0,Offensive rebound by K. Singler,,93-78,,
9:19.0,C. Payne makes 2-pt shot from 18 ft,2,95-78,,
9:19.0,,,95-78,,Charlotte full timeout
