time,LA Clippers,pts.away,score,pts.home,Houston
2:15.0,J. Redick makes free throw 2 of 2,1,42-55,,
1:55.0,,,42-57,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
1:43.0,J. Redick misses 3-pt shot from 25 ft,,42-57,,
1:42.0,,,42-57,,Defensive rebound by T. Ariza
1:33.0,,,42-57,,J. Harden misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by B. Griffin,,42-57,,
1:26.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,45-57,,
1:02.0,,,45-57,,T. Jones misses 3-pt shot from 25 ft
1:02.0,,,45-57,,Offensive rebound by T. Ariza
1:01.0,,,45-57,,Turnover by Team (shot clock)
0:46.0,J. Redick misses 3-pt shot from 22 ft,,45-57,,
0:45.0,,,45-57,,Defensive rebound by M. Thornton
0:36.0,,,45-57,,Turnover by J. Harden (bad pass)
0:32.0,,,45-57,,Personal foul by P. Beverley (drawn by C. Paul)
0:32.0,C. Paul misses free throw 1 of 2,,45-57,,
0:32.0,Offensive rebound by Team,,45-57,,
0:32.0,C. Paul makes free throw 2 of 2,1,46-57,,
0:09.0,,,46-57,,T. Ariza misses 2-pt shot at rim
0:08.0,,,46-57,,Offensive rebound by Team
0:08.0,,,46-57,,Turnover by Team (shot clock)
0:01.0,C. Paul misses 2-pt shot from 2 ft,,46-57,,
0:00.0,,,46-57,,Defensive rebound by P. Beverley
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Crawford misses 2-pt shot from 2 ft (block by C. Capela),,46-57,,
11:39.0,,,46-57,,Defensive rebound by D. Howard
11:29.0,,,46-57,,Shooting foul by D. Jordan (drawn by D. Howard)
11:29.0,,,46-59,2,D. Howard makes 2-pt shot from 2 ft
11:29.0,,,46-59,,D. Howard misses free throw 1 of 1
11:28.0,Defensive rebound by Team,,46-59,,
11:22.0,,,46-59,,Personal foul by P. Beverley (drawn by C. Paul)
11:04.0,C. Paul misses 3-pt shot from 25 ft,,46-59,,
11:03.0,,,46-59,,Defensive rebound by Team
10:42.0,,,46-59,,J. Harden misses 2-pt shot from 10 ft
10:40.0,Defensive rebound by C. Paul,,46-59,,
10:27.0,B. Griffin misses 2-pt shot from 19 ft,,46-59,,
10:25.0,,,46-59,,Defensive rebound by P. Beverley
10:20.0,,,46-59,,Turnover by P. Beverley (bad pass; steal by B. Griffin)
10:14.0,C. Paul misses 2-pt shot from 17 ft (block by D. Howard),,46-59,,
10:13.0,,,46-59,,Defensive rebound by D. Howard
10:01.0,,,46-59,,Turnover by C. Capela (lost ball; steal by J. Redick)
9:49.0,D. Jordan makes 2-pt shot from 2 ft,2,48-59,,
9:27.0,,,48-59,,Offensive foul by J. Harden
9:27.0,,,48-59,,Turnover by J. Harden (offensive foul)
9:12.0,C. Paul misses 3-pt shot from 25 ft,,48-59,,
9:11.0,,,48-59,,Defensive rebound by T. Ariza
9:05.0,Personal take foul by B. Griffin (drawn by D. Howard),,48-59,,
8:52.0,,,48-59,,Turnover by P. Beverley (bad pass; steal by C. Paul)
8:44.0,,,48-59,,Personal foul by T. Ariza (drawn by J. Redick)
8:31.0,Shooting foul by D. Howard (drawn by D. Jordan),,48-59,,
8:31.0,D. Jordan misses free throw 1 of 2,,48-59,,
8:31.0,Offensive rebound by Team,,48-59,,
8:31.0,D. Jordan misses free throw 2 of 2,,48-59,,
8:31.0,,,48-59,,Defensive rebound by D. Howard
8:12.0,,,48-59,,D. Howard misses 2-pt shot from 3 ft
8:11.0,Defensive rebound by B. Griffin,,48-59,,
8:05.0,J. Crawford misses 3-pt shot from 22 ft,,48-59,,
8:04.0,,,48-59,,Defensive rebound by C. Capela
7:58.0,,,48-61,2,J. Harden makes 2-pt shot at rim
7:43.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,51-61,,
7:29.0,,,51-61,,J. Harden misses 3-pt shot from 25 ft
7:27.0,,,51-61,,Offensive rebound by C. Capela
7:27.0,,,51-61,,C. Capela misses 2-pt shot at rim
7:26.0,Defensive rebound by B. Griffin,,51-61,,
7:22.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,53-61,,
7:21.0,,,53-61,,Houston full timeout
7:21.0,,,53-61,,J. Terry enters the game for C. Capela
7:21.0,,,53-61,,D. Motiejunas enters the game for P. Beverley
