time,Houston,pts.away,score,pts.home,Oklahoma City
4:11.0,D. Howard enters the game for C. Capela,,72-73,,
3:59.0,,,72-73,,E. Kanter misses 2-pt shot from 13 ft
3:59.0,Defensive rebound by D. Howard,,72-73,,
3:44.0,J. Terry misses 3-pt shot from 22 ft,,72-73,,
3:44.0,,,72-73,,Defensive rebound by Team
3:32.0,,,72-73,,R. Westbrook misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by M. Beasley,,72-73,,
3:17.0,M. Beasley misses 2-pt shot from 4 ft,,72-73,,
3:17.0,,,72-73,,Defensive rebound by E. Kanter
3:07.0,,,72-75,2,D. Waiters makes 2-pt shot from 1 ft
2:52.0,M. Beasley misses 2-pt shot from 15 ft,,72-75,,
2:52.0,,,72-75,,Defensive rebound by E. Kanter
2:37.0,,,72-75,,D. Waiters misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by M. Beasley,,72-75,,
2:30.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,74-75,,
2:05.0,,,74-77,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
1:51.0,J. Harden misses 2-pt shot from 1 ft,,74-77,,
1:51.0,,,74-77,,Defensive rebound by Team
1:51.0,,,74-77,,C. Payne enters the game for R. Westbrook
1:51.0,,,74-77,,K. Durant enters the game for S. Ibaka
1:51.0,T. Ariza enters the game for J. Harden,,74-77,,
1:30.0,,,74-77,,K. Durant misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by T. Ariza,,74-77,,
1:19.0,T. Ariza makes 3-pt shot from 25 ft (assist by M. Beasley),3,77-77,,
0:57.0,,,77-77,,D. Waiters misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by T. Ariza,,77-77,,
0:45.0,M. Beasley misses 2-pt shot from 2 ft (block by D. Waiters),,77-77,,
0:43.0,,,77-77,,Defensive rebound by E. Kanter
0:43.0,Personal take foul by M. Beasley,,77-77,,
0:43.0,,,77-78,1,E. Kanter makes free throw 1 of 2
0:43.0,J. Harden enters the game for C. Brewer,,77-78,,
0:43.0,,,77-78,,E. Kanter misses free throw 2 of 2
0:43.0,,,77-78,,Offensive rebound by D. Waiters
0:31.0,,,77-78,,C. Payne misses 3-pt shot from 25 ft
