time,Detroit,pts.away,score,pts.home,Orlando
11:32.0,Turnover by M. Morris (lost ball; steal by N. Vucevic),,44-51,,
11:19.0,,,44-51,,N. Vucevic misses 2-pt shot from 13 ft
11:17.0,Defensive rebound by K. Caldwell-Pope,,44-51,,
11:01.0,T. Harris makes 2-pt shot from 5 ft,2,46-51,,
10:35.0,,,46-51,,E. Fournier misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by A. Drummond,,46-51,,
10:15.0,M. Morris misses 3-pt shot from 25 ft,,46-51,,
10:15.0,,,46-51,,Defensive rebound by N. Vucevic
10:06.0,,,46-51,,V. Oladipo misses 2-pt shot from 20 ft
10:06.0,Defensive rebound by R. Jackson,,46-51,,
10:02.0,Shooting foul by V. Oladipo (drawn by R. Jackson),,46-51,,
10:02.0,R. Jackson makes free throw 1 of 2,1,47-51,,
10:02.0,R. Jackson makes free throw 2 of 2,1,48-51,,
9:44.0,,,48-51,,Turnover by N. Vucevic (lost ball; steal by M. Morris)
9:33.0,A. Drummond misses 2-pt shot from 9 ft,,48-51,,
9:32.0,,,48-51,,Defensive rebound by N. Vucevic
9:22.0,,,48-53,2,E. Payton makes 2-pt shot from 18 ft
9:02.0,K. Caldwell-Pope makes 2-pt shot from 11 ft,2,50-53,,
9:02.0,Shooting foul by V. Oladipo (drawn by K. Caldwell-Pope),,50-53,,
9:02.0,K. Caldwell-Pope makes free throw 1 of 1,1,51-53,,
8:51.0,,,51-53,,E. Payton misses 2-pt shot from 7 ft (block by R. Jackson)
8:50.0,Defensive rebound by T. Harris,,51-53,,
8:46.0,Turnover by R. Jackson (bad pass),,51-53,,
8:31.0,,,51-55,2,E. Fournier makes 2-pt shot at rim (assist by N. Vucevic)
8:15.0,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by R. Jackson),2,53-55,,
8:01.0,Personal foul by T. Harris,,53-55,,
7:52.0,,,53-55,,Turnover by E. Payton (lost ball; steal by K. Caldwell-Pope)
7:48.0,Shooting foul by N. Vucevic (drawn by T. Harris),,53-55,,
7:48.0,T. Harris misses free throw 1 of 2,,53-55,,
7:48.0,Offensive rebound by Team,,53-55,,
7:48.0,T. Harris makes free throw 2 of 2,1,54-55,,
7:34.0,,,54-55,,V. Oladipo misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by T. Harris,,54-55,,
7:22.0,T. Harris makes 2-pt shot from 6 ft,2,56-55,,
7:13.0,,,56-57,2,E. Payton makes 2-pt shot at rim
7:02.0,R. Jackson makes 2-pt shot from 9 ft,2,58-57,,
7:02.0,Shooting foul by E. Payton (drawn by R. Jackson),,58-57,,
7:02.0,R. Jackson misses free throw 1 of 1,,58-57,,
7:00.0,,,58-57,,Defensive rebound by N. Vucevic
6:46.0,,,58-57,,Turnover by A. Gordon (lost ball; steal by K. Caldwell-Pope)
6:37.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,60-57,,
6:35.0,,,60-57,,Orlando full timeout
6:20.0,,,60-57,,N. Vucevic misses 2-pt shot from 6 ft
6:19.0,Defensive rebound by R. Jackson,,60-57,,
6:09.0,T. Harris misses 2-pt shot from 12 ft,,60-57,,
6:08.0,,,60-57,,Defensive rebound by N. Vucevic
5:58.0,,,60-59,2,N. Vucevic makes 2-pt shot from 19 ft (assist by A. Gordon)
5:40.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,62-59,,
5:24.0,,,62-61,2,V. Oladipo makes 2-pt shot from 10 ft
5:00.0,T. Harris misses 2-pt shot from 1 ft (block by V. Oladipo),,62-61,,
4:59.0,,,62-61,,Defensive rebound by E. Fournier
4:55.0,,,62-63,2,E. Fournier makes 2-pt shot at rim
4:43.0,M. Morris misses 3-pt shot from 24 ft,,62-63,,
4:42.0,,,62-63,,Defensive rebound by N. Vucevic
4:33.0,,,62-63,,N. Vucevic misses 2-pt shot from 1 ft (block by A. Drummond)
4:33.0,Defensive rebound by Team,,62-63,,
4:33.0,R. Bullock enters the game for M. Morris,,62-63,,
4:12.0,Shooting foul by N. Vucevic (drawn by A. Drummond),,62-63,,
4:12.0,A. Drummond makes free throw 1 of 2,1,63-63,,
4:12.0,A. Drummond makes free throw 2 of 2,1,64-63,,
3:57.0,,,64-65,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
3:36.0,R. Jackson makes 2-pt shot from 1 ft,2,66-65,,
3:22.0,,,66-67,2,E. Payton makes 2-pt shot at rim
3:01.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,66-67,,
3:00.0,Offensive rebound by T. Harris,,66-67,,
2:59.0,Offensive charge foul by T. Harris,,66-67,,
2:59.0,Turnover by T. Harris (offensive foul),,66-67,,
2:59.0,Detroit full timeout,,66-67,,
2:59.0,S. Blake enters the game for T. Harris,,66-67,,
2:59.0,A. Tolliver enters the game for R. Jackson,,66-67,,
2:49.0,,,66-69,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
2:30.0,S. Blake makes 3-pt shot from 24 ft,3,69-69,,
2:08.0,,,69-69,,A. Gordon misses 2-pt shot from 16 ft
2:07.0,Defensive rebound by R. Bullock,,69-69,,
1:58.0,S. Blake misses 3-pt shot from 25 ft,,69-69,,
1:56.0,,,69-69,,Defensive rebound by E. Fournier
1:50.0,,,69-69,,V. Oladipo misses 2-pt shot from 1 ft
1:50.0,,,69-69,,Offensive rebound by Team
1:50.0,,,69-69,,B. Jennings enters the game for E. Payton
1:50.0,,,69-69,,J. Smith enters the game for N. Vucevic
1:42.0,,,69-71,2,E. Fournier makes 2-pt shot from 2 ft (assist by V. Oladipo)
1:24.0,A. Drummond misses 2-pt shot from 7 ft,,69-71,,
1:24.0,,,69-71,,Defensive rebound by A. Gordon
1:19.0,,,69-71,,Shooting foul by A. Tolliver (drawn by E. Fournier)
1:19.0,,,69-72,1,E. Fournier makes free throw 1 of 2
1:19.0,A. Baynes enters the game for A. Drummond,,69-72,,
1:19.0,,,69-72,,M. Hezonja enters the game for V. Oladipo
1:19.0,,,69-73,1,E. Fournier makes free throw 2 of 2
1:04.0,R. Bullock makes 2-pt shot from 18 ft,2,71-73,,
0:53.0,Personal foul by K. Caldwell-Pope,,71-73,,
0:53.0,,,71-74,1,E. Fournier makes free throw 1 of 2
0:53.0,,,71-74,,A. Nicholson enters the game for A. Gordon
0:53.0,,,71-75,1,E. Fournier makes free throw 2 of 2
0:38.0,Shooting foul by B. Jennings (drawn by A. Baynes),,71-75,,
0:38.0,A. Baynes makes free throw 1 of 2,1,72-75,,
0:38.0,A. Baynes misses free throw 2 of 2,,72-75,,
0:37.0,,,72-75,,Defensive rebound by A. Nicholson
