time,Cleveland,pts.away,score,pts.home,Milwaukee
6:01.0,,,73-82,,G. Antetokounmpo misses 2-pt shot from 15 ft
6:00.0,Defensive rebound by J. Smith,,73-82,,
5:55.0,,,73-82,,Personal foul by J. Henson (drawn by K. Love)
5:55.0,Official timeout,,73-82,,
5:55.0,M. Williams enters the game for M. Dellavedova,,73-82,,
5:44.0,L. James makes 2-pt shot at rim (assist by K. Love),2,75-82,,
5:17.0,,,75-82,,G. Vasquez misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by R. Jefferson,,75-82,,
5:14.0,,,75-82,,Personal foul by G. Vasquez (drawn by K. Love)
5:14.0,,,75-82,,M. Carter-Williams enters the game for G. Antetokounmpo
5:14.0,,,75-82,,K. Middleton enters the game for J. Henson
5:14.0,,,75-82,,G. Monroe enters the game for G. Vasquez
4:58.0,,,75-82,,Personal foul by K. Middleton (drawn by L. James)
4:58.0,L. James makes free throw 1 of 2,1,76-82,,
4:58.0,L. James misses free throw 2 of 2,,76-82,,
4:56.0,,,76-82,,Defensive rebound by G. Monroe
4:45.0,Personal foul by M. Williams (drawn by J. Bayless),,76-82,,
4:38.0,,,76-82,,G. Monroe misses 2-pt shot from 3 ft
4:37.0,Jump ball: L. James vs. G. Monroe (M. Williams gains possession),,,,Jump ball: L. James vs. G. Monroe (M. Williams gains possession)
4:37.0,Defensive rebound by Team,,76-82,,
4:36.0,,,76-82,,Technical foul by K. Middleton
4:36.0,Technical foul by R. Jefferson,,76-82,,
4:22.0,K. Love misses 3-pt shot from 26 ft,,76-82,,
4:21.0,Offensive rebound by J. Smith,,76-82,,
4:19.0,L. James makes 2-pt shot at rim (assist by K. Love),2,78-82,,
3:58.0,,,78-84,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
3:28.0,R. Jefferson misses 3-pt shot from 26 ft,,78-84,,
3:26.0,Offensive rebound by K. Love,,78-84,,
3:15.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,81-84,,
3:01.0,Personal block foul by J. Smith (drawn by M. Carter-Williams),,81-84,,
3:01.0,,,81-84,,G. Antetokounmpo enters the game for J. Parker
