time,Orlando,pts.away,score,pts.home,Philadelphia
1:38.0,Offensive rebound by C. Watson,,77-69,,
1:27.0,V. Oladipo makes 2-pt shot from 7 ft (assist by C. Watson),2,79-69,,
1:09.0,,,79-69,,N. Stauskas misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by A. Gordon,,79-69,,
0:56.0,J. Smith misses 2-pt shot from 4 ft (block by J. Okafor),,79-69,,
0:54.0,,,79-69,,Defensive rebound by T. McConnell
0:48.0,,,79-72,3,H. Thompson makes 3-pt shot from 22 ft (assist by T. McConnell)
0:35.0,J. Smith misses 2-pt shot from 14 ft,,79-72,,
0:33.0,,,79-72,,Defensive rebound by I. Canaan
0:27.0,,,79-72,,T. McConnell misses 2-pt shot from 2 ft
0:23.0,Defensive rebound by A. Gordon,,79-72,,
0:21.0,A. Gordon makes 2-pt shot from 2 ft,2,81-72,,
0:05.0,,,81-72,,Turnover by T. McConnell (step out of bounds)
0:05.0,M. Hezonja enters the game for A. Gordon,,81-72,,
0:05.0,,,81-72,,J. Grant enters the game for I. Canaan
0:02.0,V. Oladipo misses 3-pt shot from 25 ft,,81-72,,
0:00.0,,,81-72,,Defensive rebound by Team
0:00.0,Loose ball foul by M. Hezonja (drawn by J. Grant),,81-72,,
0:00.0,,,81-72,,J. Grant misses free throw 1 of 2
0:00.0,Defensive rebound by Team,,81-72,,
0:00.0,,,81-73,1,J. Grant makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,81-73,,Turnover by H. Thompson (bad pass; steal by C. Watson)
11:43.0,,,81-73,,Personal foul by T. McConnell (drawn by C. Watson)
11:33.0,J. Smith misses 2-pt shot from 16 ft,,81-73,,
11:32.0,,,81-73,,Defensive rebound by Team
11:32.0,Loose ball foul by A. Gordon (drawn by J. Grant),,81-73,,
11:32.0,E. Payton enters the game for C. Watson,,81-73,,
11:07.0,,,81-76,3,J. Grant makes 3-pt shot from 28 ft (assist by N. Stauskas)
10:55.0,Turnover by E. Fournier (illegal screen),,81-76,,
10:38.0,,,81-78,2,J. Grant makes 2-pt shot from 2 ft (assist by H. Thompson)
10:18.0,Offensive charge foul by E. Fournier,,81-78,,
10:18.0,Turnover by E. Fournier (offensive foul),,81-78,,
10:18.0,D. Dedmon enters the game for J. Smith,,81-78,,
10:06.0,,,81-78,,T. McConnell misses 2-pt shot from 4 ft (block by E. Payton)
10:06.0,,,81-78,,Offensive rebound by Team
9:57.0,,,81-78,,Shooting foul by D. Dedmon (drawn by J. Okafor)
9:57.0,,,81-78,,J. Okafor misses free throw 1 of 2
9:57.0,,,81-78,,Offensive rebound by Team
9:57.0,T. Harris enters the game for A. Gordon,,81-78,,
9:57.0,,,81-78,,J. Okafor misses free throw 2 of 2
9:56.0,Defensive rebound by V. Oladipo,,81-78,,
9:49.0,V. Oladipo misses 2-pt shot from 3 ft,,81-78,,
9:46.0,,,81-78,,Defensive rebound by N. Stauskas
9:41.0,,,81-78,,N. Stauskas misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by V. Oladipo,,81-78,,
9:21.0,Shooting foul by H. Thompson (drawn by T. Harris),,81-78,,
9:21.0,T. Harris makes free throw 1 of 2,1,82-78,,
9:21.0,T. Harris makes free throw 2 of 2,1,83-78,,
9:21.0,,,83-78,,Philadelphia full timeout
9:02.0,,,83-78,,T. McConnell misses 2-pt shot from 8 ft
9:01.0,Defensive rebound by V. Oladipo,,83-78,,
8:42.0,D. Dedmon misses 2-pt shot from 7 ft,,83-78,,
8:40.0,,,83-78,,Defensive rebound by J. Grant
8:27.0,,,83-78,,T. McConnell misses 2-pt shot from 13 ft
