time,Golden State,pts.away,score,pts.home,San Antonio
10:55.0,,,63-63,,Turnover by M. Ginobili (kicked ball)
10:39.0,H. Barnes makes 2-pt shot from 21 ft,2,65-63,,
10:18.0,,,65-65,2,K. Martin makes 2-pt shot from 9 ft
10:00.0,I. Clark misses 3-pt shot from 25 ft,,65-65,,
9:58.0,,,65-65,,Defensive rebound by K. Martin
9:46.0,,,65-65,,K. Anderson misses 2-pt shot from 8 ft
9:45.0,Defensive rebound by S. Livingston,,65-65,,
9:39.0,H. Barnes makes 3-pt shot from 25 ft (assist by S. Livingston),3,68-65,,
9:38.0,,,68-65,,San Antonio full timeout
9:38.0,,,68-65,,K. Leonard enters the game for M. Ginobili
9:15.0,,,68-65,,P. Mills misses 2-pt shot from 2 ft (block by M. Speights)
9:13.0,,,68-65,,Offensive rebound by B. Marjanovic
9:13.0,,,68-65,,B. Marjanovic misses 2-pt shot at rim (block by M. Speights)
9:13.0,,,68-65,,Offensive rebound by K. Leonard
9:13.0,Violation by M. Speights (def goaltending),,68-65,,
9:13.0,,,68-67,2,K. Leonard makes 2-pt shot at rim
8:57.0,M. Speights makes 2-pt shot from 17 ft (assist by A. Iguodala),2,70-67,,
8:41.0,,,70-69,2,B. Marjanovic makes 2-pt shot at rim (assist by P. Mills)
8:23.0,M. Speights misses 3-pt shot from 25 ft,,70-69,,
8:22.0,,,70-69,,Defensive rebound by K. Anderson
8:13.0,,,70-69,,K. Leonard misses 2-pt shot from 22 ft
8:11.0,Defensive rebound by M. Speights,,70-69,,
8:01.0,H. Barnes misses 2-pt shot from 15 ft,,70-69,,
8:00.0,,,70-69,,Defensive rebound by P. Mills
7:54.0,,,70-69,,Turnover by K. Martin (lost ball; steal by I. Clark)
7:51.0,Shooting foul by P. Mills (drawn by H. Barnes),,70-69,,
7:51.0,H. Barnes makes free throw 1 of 2,1,71-69,,
7:51.0,,,71-69,,T. Parker enters the game for P. Mills
7:51.0,K. Thompson enters the game for A. Iguodala,,71-69,,
7:51.0,H. Barnes misses free throw 2 of 2,,71-69,,
7:51.0,,,71-69,,Defensive rebound by K. Anderson
7:30.0,,,71-69,,B. Marjanovic misses 2-pt shot from 4 ft
7:29.0,Defensive rebound by M. Speights,,71-69,,
7:22.0,,,71-69,,Shooting block foul by T. Parker (drawn by M. Speights)
7:22.0,M. Speights makes free throw 1 of 2,1,72-69,,
7:22.0,,,72-69,,L. Aldridge enters the game for K. Anderson
7:22.0,D. Green enters the game for I. Clark,,72-69,,
7:22.0,M. Speights makes free throw 2 of 2,1,73-69,,
7:10.0,,,73-69,,T. Parker misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by M. Speights,,73-69,,
6:56.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston),3,76-69,,
6:40.0,,,76-71,2,K. Martin makes 2-pt shot from 17 ft (assist by K. Leonard)
6:16.0,S. Livingston makes 2-pt shot from 17 ft,2,78-71,,
5:54.0,,,78-73,2,L. Aldridge makes 2-pt shot from 6 ft (assist by T. Parker)
5:47.0,Golden State full timeout,,78-73,,
5:47.0,,,78-73,,D. West enters the game for B. Marjanovic
5:47.0,S. Curry enters the game for S. Livingston,,78-73,,
5:47.0,A. Bogut enters the game for M. Speights,,78-73,,
5:47.0,A. Iguodala enters the game for H. Barnes,,78-73,,
5:37.0,A. Iguodala misses 2-pt shot at rim (block by K. Leonard),,78-73,,
5:37.0,Offensive rebound by Team,,78-73,,
5:30.0,S. Curry makes 2-pt shot from 17 ft (assist by D. Green),2,80-73,,
5:14.0,,,80-73,,Turnover by K. Martin (lost ball; steal by S. Curry)
5:08.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,82-73,,
4:42.0,,,82-73,,T. Parker misses 2-pt shot from 19 ft
4:41.0,,,82-73,,Offensive rebound by L. Aldridge
4:39.0,,,82-73,,Turnover by L. Aldridge (lost ball; steal by S. Curry)
4:25.0,Shooting foul by K. Leonard (drawn by S. Curry),,82-73,,
4:25.0,S. Curry makes free throw 1 of 2,1,83-73,,
4:25.0,S. Curry makes free throw 2 of 2,1,84-73,,
4:09.0,,,84-75,2,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker)
3:53.0,A. Iguodala misses 2-pt shot from 2 ft (block by K. Leonard),,84-75,,
3:52.0,,,84-75,,Defensive rebound by D. West
3:50.0,,,84-75,,Turnover by D. West (bad pass)
3:30.0,S. Curry misses 3-pt shot from 27 ft,,84-75,,
3:30.0,,,84-75,,Defensive rebound by K. Leonard
3:30.0,Loose ball foul by A. Bogut,,84-75,,
3:17.0,,,84-77,2,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard)
3:11.0,Golden State full timeout,,84-77,,
3:11.0,H. Barnes enters the game for A. Bogut,,84-77,,
3:01.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,86-77,,
2:39.0,,,86-77,,K. Leonard misses 2-pt shot at rim
2:38.0,,,86-77,,Offensive rebound by K. Leonard
2:35.0,,,86-77,,K. Leonard misses 2-pt shot from 9 ft
2:34.0,Defensive rebound by Team,,86-77,,
