time,Minnesota,pts.away,score,pts.home,Boston
5:32.0,Shooting foul by T. Zeller (drawn by K. Towns),,81-100,,
5:32.0,,,81-100,,Boston full timeout
5:32.0,,,81-100,,K. Olynyk enters the game for T. Zeller
5:32.0,K. Towns makes free throw 1 of 1,1,82-100,,
5:15.0,,,82-100,,R. Hunter misses 2-pt shot at rim
5:14.0,Defensive rebound by K. Towns,,82-100,,
5:02.0,A. Wiggins makes 2-pt shot from 1 ft,2,84-100,,
4:47.0,,,84-100,,I. Thomas misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by R. Rubio,,84-100,,
4:42.0,Turnover by R. Rubio (bad pass; steal by I. Thomas),,84-100,,
4:38.0,,,84-102,2,I. Thomas makes 2-pt shot at rim
4:16.0,A. Wiggins makes 2-pt shot at rim,2,86-102,,
3:59.0,,,86-105,3,J. Jerebko makes 3-pt shot from 24 ft (assist by I. Thomas)
3:47.0,Offensive foul by K. Towns,,86-105,,
