time,Dallas,pts.away,score,pts.home,New Orleans
0:58.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Harris),2,47-47,,
0:46.0,,,47-47,,Turnover by E. Gordon (bad pass; steal by D. Harris)
0:43.0,C. Parsons misses 2-pt shot from 1 ft,,47-47,,
0:42.0,,,47-47,,Defensive rebound by D. Cunningham
0:30.0,,,47-50,3,D. Cunningham makes 3-pt shot from 25 ft (assist by T. Evans)
0:13.0,,,47-50,,Personal foul by D. Cunningham (drawn by C. Parsons)
0:13.0,C. Parsons makes free throw 1 of 2,1,48-50,,
0:13.0,R. Felton enters the game for J. Barea,,48-50,,
0:13.0,C. Parsons makes free throw 2 of 2,1,49-50,,
0:02.0,,,49-50,,A. Davis misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by D. Powell,,49-50,,
0:00.0,D. Harris misses 3-pt shot from 52 ft,,49-50,,
0:00.0,Offensive rebound by Team,,49-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. McGee makes 2-pt shot at rim (assist by C. Parsons),2,51-50,,
11:39.0,,,51-50,,New Orleans full timeout
11:22.0,,,51-50,,E. Gordon misses 2-pt shot from 5 ft
11:20.0,,,51-50,,Offensive rebound by E. Gordon
11:10.0,,,51-52,2,T. Evans makes 2-pt shot from 2 ft (assist by E. Gordon)
10:53.0,Turnover by C. Parsons (lost ball; steal by T. Evans),,51-52,,
10:46.0,,,51-54,2,T. Evans makes 2-pt shot from 1 ft
10:29.0,C. Parsons misses 3-pt shot from 25 ft,,51-54,,
10:28.0,,,51-54,,Defensive rebound by T. Evans
10:18.0,,,51-54,,T. Evans misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by C. Villanueva,,51-54,,
10:03.0,R. Felton misses 2-pt shot from 21 ft,,51-54,,
10:02.0,,,51-54,,Defensive rebound by A. Gee
9:43.0,,,51-54,,A. Gee misses 2-pt shot from 10 ft
9:42.0,,,51-54,,Offensive rebound by O. Asik
9:41.0,,,51-56,2,O. Asik makes 2-pt shot at rim
9:27.0,C. Parsons misses 2-pt shot from 4 ft (block by O. Asik),,51-56,,
9:26.0,Offensive rebound by J. McGee,,51-56,,
9:26.0,,,51-56,,Personal foul by T. Evans (drawn by J. McGee)
9:14.0,C. Villanueva misses 3-pt shot from 25 ft,,51-56,,
9:14.0,,,51-56,,Defensive rebound by T. Evans
9:00.0,,,51-58,2,E. Gordon makes 2-pt shot from 9 ft
8:49.0,,,51-58,,Personal foul by A. Gee
8:41.0,J. McGee makes 2-pt shot at rim (assist by C. Parsons),2,53-58,,
8:28.0,,,53-61,3,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis)
8:13.0,Turnover by J. Barea (traveling),,53-61,,
8:13.0,Violation by Team (delay of game),,53-61,,
7:58.0,,,53-61,,A. Davis misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by C. Villanueva,,53-61,,
