time,Chicago,pts.away,score,pts.home,Indiana
5:30.0,N. Mirotic misses 3-pt shot from 26 ft,,71-76,,
5:29.0,Offensive rebound by Team,,71-76,,
5:29.0,,,71-76,,Loose ball foul by I. Mahinmi
5:16.0,D. Rose misses 2-pt shot from 17 ft,,71-76,,
5:15.0,,,71-76,,Defensive rebound by I. Mahinmi
5:00.0,,,71-76,,I. Mahinmi misses 2-pt shot from 10 ft
4:59.0,,,71-76,,Offensive rebound by M. Ellis
4:52.0,,,71-78,2,M. Ellis makes 2-pt shot from 21 ft
4:37.0,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose),3,74-78,,
4:16.0,,,74-78,,Turnover by M. Ellis (lost ball)
4:07.0,D. Rose misses 2-pt shot from 16 ft,,74-78,,
4:07.0,,,74-78,,Defensive rebound by P. George
4:00.0,,,74-78,,Indiana full timeout
4:00.0,A. Brooks enters the game for D. Rose,,74-78,,
3:55.0,Violation by P. Gasol (kicked ball),,74-78,,
3:52.0,,,74-78,,Turnover by P. George (lost ball; steal by J. Butler)
3:52.0,,,74-78,,Personal foul by P. George
3:41.0,A. Brooks misses 3-pt shot from 27 ft,,74-78,,
3:40.0,,,74-78,,Defensive rebound by M. Ellis
3:33.0,,,74-78,,M. Ellis misses 2-pt shot at rim
3:32.0,Defensive rebound by E. Moore,,74-78,,
3:16.0,E. Moore misses 2-pt shot from 15 ft,,74-78,,
3:15.0,Offensive rebound by E. Moore,,74-78,,
3:12.0,E. Moore makes 2-pt shot from 6 ft,2,76-78,,
2:57.0,,,76-78,,Turnover by L. Allen (lost ball; steal by E. Moore)
2:46.0,Turnover by P. Gasol (lost ball; steal by M. Ellis),,76-78,,
2:41.0,,,76-80,2,M. Ellis makes 2-pt shot at rim (assist by P. George)
2:15.0,P. Gasol misses 2-pt shot from 9 ft,,76-80,,
2:13.0,Offensive rebound by P. Gasol,,76-80,,
2:13.0,P. Gasol misses 2-pt shot at rim,,76-80,,
2:13.0,,,76-80,,Defensive rebound by I. Mahinmi
2:06.0,,,76-82,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
1:47.0,J. Butler makes 2-pt shot at rim,2,78-82,,
1:32.0,,,78-82,,M. Ellis misses 2-pt shot from 18 ft
1:31.0,Defensive rebound by P. Gasol,,78-82,,
1:20.0,Turnover by J. Butler (lost ball; steal by M. Ellis),,78-82,,
1:14.0,,,78-84,2,P. George makes 2-pt shot at rim (assist by G. Hill)
1:00.0,P. Gasol makes 2-pt shot from 17 ft (assist by A. Brooks),2,80-84,,
0:47.0,,,80-84,,L. Allen misses 2-pt shot from 18 ft
0:47.0,,,80-84,,Offensive rebound by I. Mahinmi
0:45.0,,,80-84,,Offensive charge foul by L. Allen
0:45.0,,,80-84,,Turnover by L. Allen (offensive foul)
0:45.0,C. Felicio enters the game for P. Gasol,,80-84,,
0:45.0,D. McDermott enters the game for J. Butler,,80-84,,
0:45.0,,,80-84,,T. Lawson enters the game for I. Mahinmi
0:45.0,,,80-84,,R. Stuckey enters the game for M. Ellis
0:45.0,,,80-84,,S. Hill enters the game for G. Hill
0:36.0,Shooting foul by R. Stuckey (drawn by C. Felicio),,80-84,,
0:36.0,C. Felicio makes free throw 1 of 2,1,81-84,,
0:36.0,C. Felicio makes free throw 2 of 2,1,82-84,,
0:19.0,,,82-84,,P. George misses 2-pt shot from 1 ft (block by C. Felicio)
0:16.0,Defensive rebound by N. Mirotic,,82-84,,
0:10.0,N. Mirotic makes 2-pt shot at rim,2,84-84,,
0:00.0,,,84-84,,T. Lawson misses 2-pt shot from 16 ft
0:00.0,,,84-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,N. Mirotic misses 2-pt shot from 1 ft (block by C. Miles),,84-84,,
11:43.0,Offensive rebound by N. Mirotic,,84-84,,
11:43.0,N. Mirotic misses 2-pt shot from 1 ft,,84-84,,
11:43.0,Offensive rebound by C. Felicio,,84-84,,
11:42.0,C. Felicio makes 2-pt shot from 1 ft,2,86-84,,
11:25.0,,,86-84,,Turnover by R. Stuckey (lost ball; steal by N. Mirotic)
11:19.0,Turnover by N. Mirotic (lost ball),,86-84,,
11:07.0,,,86-84,,T. Lawson misses 2-pt shot at rim
11:06.0,Defensive rebound by C. Felicio,,86-84,,
10:52.0,D. McDermott misses 2-pt shot from 19 ft,,86-84,,
10:51.0,Offensive rebound by N. Mirotic,,86-84,,
10:35.0,N. Mirotic makes 3-pt shot from 26 ft (assist by A. Brooks),3,89-84,,
10:15.0,,,89-84,,C. Miles misses 2-pt shot from 19 ft
10:14.0,,,89-84,,Offensive rebound by M. Turner
10:09.0,,,89-84,,T. Lawson misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by N. Mirotic,,89-84,,
9:54.0,D. McDermott misses 2-pt shot at rim,,89-84,,
9:53.0,,,89-84,,Defensive rebound by M. Turner
9:48.0,,,89-86,2,R. Stuckey makes 2-pt shot at rim (assist by T. Lawson)
9:31.0,E. Moore misses 2-pt shot from 10 ft,,89-86,,
9:30.0,Offensive rebound by C. Felicio,,89-86,,
9:30.0,C. Felicio makes 2-pt shot at rim,2,91-86,,
9:17.0,,,91-86,,R. Stuckey misses 2-pt shot at rim (block by E. Moore)
9:17.0,Defensive rebound by Team,,91-86,,
9:01.0,N. Mirotic misses 2-pt shot from 1 ft,,91-86,,
8:59.0,Offensive rebound by C. Felicio,,91-86,,
8:59.0,C. Felicio makes 2-pt shot from 1 ft,2,93-86,,
8:40.0,,,93-88,2,M. Turner makes 2-pt shot from 12 ft (assist by C. Miles)
8:27.0,Offensive foul by N. Mirotic,,93-88,,
8:27.0,Turnover by N. Mirotic (offensive foul),,93-88,,
8:27.0,Official timeout,,93-88,,
8:15.0,,,93-88,,C. Miles misses 3-pt shot from 25 ft
8:13.0,,,93-88,,Offensive rebound by C. Miles
8:12.0,Shooting block foul by C. Felicio (drawn by C. Miles),,93-88,,
8:12.0,,,93-89,1,C. Miles makes free throw 1 of 2
8:12.0,,,93-90,1,C. Miles makes free throw 2 of 2
8:01.0,A. Brooks misses 2-pt shot from 1 ft,,93-90,,
8:00.0,,,93-90,,Defensive rebound by M. Turner
7:54.0,,,93-90,,S. Hill misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by Team,,93-90,,
7:54.0,,,93-90,,Loose ball foul by M. Turner
7:34.0,Turnover by N. Mirotic (3 sec),,93-90,,
7:20.0,,,93-90,,Turnover by S. Hill (lost ball)
7:04.0,A. Brooks misses 2-pt shot from 2 ft (block by M. Turner),,93-90,,
7:04.0,Offensive rebound by Team,,93-90,,
7:04.0,,,93-90,,P. George enters the game for C. Miles
7:04.0,J. Butler enters the game for E. Moore,,93-90,,
7:01.0,N. Mirotic misses 3-pt shot from 26 ft,,93-90,,
7:00.0,Offensive rebound by C. Felicio,,93-90,,
6:51.0,J. Butler misses 3-pt shot from 23 ft,,93-90,,
6:51.0,,,93-90,,Defensive rebound by Team
6:42.0,Personal foul by A. Brooks,,93-90,,
6:42.0,,,93-90,,Indiana full timeout
6:42.0,D. Rose enters the game for A. Brooks,,93-90,,
6:33.0,,,93-92,2,M. Turner makes 2-pt shot from 20 ft (assist by T. Lawson)
6:06.0,Turnover by Team (shot clock),,93-92,,
6:06.0,,,93-92,,G. Hill enters the game for T. Lawson
6:06.0,,,93-92,,M. Ellis enters the game for R. Stuckey
6:06.0,P. Gasol enters the game for C. Felicio,,93-92,,
5:46.0,,,93-94,2,M. Turner makes 2-pt shot from 10 ft
5:18.0,P. Gasol misses 2-pt shot from 16 ft,,93-94,,
5:17.0,,,93-94,,Defensive rebound by M. Ellis
5:10.0,,,93-94,,P. George misses 3-pt shot from 27 ft
5:09.0,Defensive rebound by N. Mirotic,,93-94,,
4:58.0,D. McDermott misses 3-pt shot from 23 ft (block by M. Ellis),,93-94,,
4:56.0,,,93-94,,Defensive rebound by G. Hill
4:45.0,,,93-94,,M. Turner misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by Team,,93-94,,
4:28.0,D. Rose misses 3-pt shot from 26 ft,,93-94,,
4:26.0,,,93-94,,Defensive rebound by P. George
4:15.0,,,93-94,,M. Turner misses 2-pt shot from 3 ft (block by P. Gasol)
4:14.0,Defensive rebound by P. Gasol,,93-94,,
4:00.0,Turnover by P. Gasol (offensive foul),,93-94,,
4:00.0,Offensive charge foul by P. Gasol,,93-94,,
4:00.0,,,93-94,,I. Mahinmi enters the game for M. Turner
4:00.0,E. Moore enters the game for D. McDermott,,93-94,,
3:47.0,,,93-94,,M. Ellis misses 2-pt shot from 16 ft
3:45.0,Defensive rebound by J. Butler,,93-94,,
3:31.0,Turnover by E. Moore (lost ball; steal by M. Ellis),,93-94,,
3:22.0,,,93-94,,S. Hill misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by N. Mirotic,,93-94,,
3:16.0,Chicago full timeout,,93-94,,
3:08.0,Turnover by P. Gasol (lost ball; steal by P. George),,93-94,,
3:03.0,,,93-96,2,G. Hill makes 2-pt shot at rim (assist by M. Ellis)
2:44.0,E. Moore misses 3-pt shot from 23 ft,,93-96,,
2:43.0,,,93-96,,Defensive rebound by P. George
2:31.0,,,93-96,,M. Ellis misses 2-pt shot from 17 ft
2:30.0,Defensive rebound by N. Mirotic,,93-96,,
2:19.0,N. Mirotic makes 3-pt shot from 24 ft (assist by D. Rose),3,96-96,,
1:58.0,,,96-96,,G. Hill misses 2-pt shot from 9 ft
1:57.0,,,96-96,,Offensive rebound by S. Hill
1:55.0,,,96-96,,S. Hill misses 2-pt shot at rim
1:53.0,,,96-96,,Offensive rebound by I. Mahinmi
1:41.0,,,96-96,,P. George misses 2-pt shot from 19 ft
