time,Oklahoma City,pts.away,score,pts.home,Detroit
6:43.0,,,51-56,2,T. Harris makes 2-pt shot from 4 ft (assist by R. Jackson)
6:30.0,Offensive foul by D. Waiters,,51-56,,
6:30.0,Turnover by D. Waiters (offensive foul),,51-56,,
6:30.0,A. Morrow enters the game for D. Waiters,,51-56,,
6:19.0,,,51-58,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:56.0,A. Morrow misses 3-pt shot from 26 ft,,51-58,,
5:55.0,,,51-58,,Defensive rebound by R. Jackson
5:48.0,,,51-58,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by K. Singler,,51-58,,
5:42.0,Shooting foul by A. Drummond (drawn by R. Westbrook),,51-58,,
5:42.0,R. Westbrook makes free throw 1 of 2,1,52-58,,
5:42.0,E. Kanter enters the game for S. Adams,,52-58,,
5:42.0,J. Huestis enters the game for K. Singler,,52-58,,
5:42.0,R. Westbrook makes free throw 2 of 2,1,53-58,,
5:24.0,,,53-60,2,A. Drummond makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
5:17.0,,,53-60,,Personal foul by R. Jackson
5:17.0,,,53-60,,S. Blake enters the game for R. Jackson
5:11.0,Turnover by E. Kanter (traveling),,53-60,,
4:50.0,,,53-62,2,M. Morris makes 2-pt shot from 12 ft
4:40.0,Turnover by A. Roberson (bad pass),,53-62,,
4:22.0,,,53-64,2,M. Morris makes 2-pt shot from 10 ft
4:22.0,Oklahoma City full timeout,,53-64,,
4:22.0,R. Foye enters the game for A. Roberson,,53-64,,
4:15.0,Turnover by R. Westbrook (bad pass),,53-64,,
3:59.0,,,53-64,,S. Blake misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by E. Kanter,,53-64,,
3:53.0,J. Huestis misses 2-pt shot from 3 ft,,53-64,,
3:53.0,Offensive rebound by Team,,53-64,,
3:47.0,Turnover by E. Kanter (traveling),,53-64,,
3:28.0,,,53-66,2,M. Morris makes 2-pt shot from 14 ft
3:05.0,A. Morrow misses 2-pt shot from 8 ft,,53-66,,
3:05.0,Offensive rebound by A. Morrow,,53-66,,
2:56.0,R. Foye misses 3-pt shot from 27 ft,,53-66,,
2:56.0,,,53-66,,Defensive rebound by M. Morris
2:46.0,,,53-66,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by E. Kanter,,53-66,,
2:34.0,Turnover by R. Westbrook (lost ball; steal by S. Blake),,53-66,,
2:23.0,,,53-66,,Shooting foul by E. Kanter (drawn by K. Caldwell-Pope)
2:23.0,,,53-67,1,K. Caldwell-Pope makes free throw 1 of 2
2:23.0,C. Payne enters the game for R. Westbrook,,53-67,,
2:23.0,,,53-67,,S. Johnson enters the game for T. Harris
2:23.0,,,53-68,1,K. Caldwell-Pope makes free throw 2 of 2
2:06.0,A. Morrow makes 2-pt shot from 14 ft,2,55-68,,
1:41.0,,,55-68,,Turnover by M. Morris (lost ball; steal by C. Payne)
1:35.0,C. Payne makes 2-pt shot from 1 ft,2,57-68,,
1:08.0,,,57-71,3,S. Johnson makes 3-pt shot from 26 ft (assist by S. Blake)
0:57.0,,,57-71,,Personal foul by S. Johnson
0:57.0,,,57-71,,D. Hilliard enters the game for K. Caldwell-Pope
0:47.0,A. Morrow misses 2-pt shot from 10 ft,,57-71,,
0:46.0,,,57-71,,Defensive rebound by D. Hilliard
0:33.0,,,57-71,,S. Johnson misses 3-pt shot from 24 ft
0:32.0,,,57-71,,Offensive rebound by A. Drummond
0:28.0,,,57-71,,A. Drummond misses 2-pt shot from 6 ft
0:27.0,Defensive rebound by C. Payne,,57-71,,
0:22.0,C. Payne misses 3-pt shot from 26 ft,,57-71,,
0:21.0,Offensive rebound by J. Huestis,,57-71,,
0:03.0,R. Foye misses 2-pt shot from 17 ft,,57-71,,
0:00.0,Offensive rebound by Team,,57-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,57-71,,T. Harris misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by E. Kanter,,57-71,,
11:16.0,C. Payne misses 3-pt shot from 23 ft,,57-71,,
11:15.0,,,57-71,,Defensive rebound by S. Johnson
11:11.0,,,57-71,,D. Hilliard misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by Team,,57-71,,
