time,Miami,pts.away,score,pts.home,LA Lakers
11:20.0,H. Whiteside misses free throw 1 of 2,,67-69,,
11:20.0,Offensive rebound by Team,,67-69,,
11:20.0,H. Whiteside makes free throw 2 of 2,1,68-69,,
10:59.0,,,68-69,,R. Kelly misses 2-pt shot from 18 ft
10:57.0,Defensive rebound by L. Deng,,68-69,,
10:50.0,J. Richardson misses 2-pt shot from 13 ft,,68-69,,
10:49.0,,,68-69,,Defensive rebound by R. Hibbert
10:45.0,Shooting block foul by G. Dragic (drawn by L. Williams),,68-69,,
10:45.0,,,68-70,1,L. Williams makes free throw 1 of 2
10:45.0,,,68-70,,L. Williams misses free throw 2 of 2
10:44.0,Defensive rebound by H. Whiteside,,68-70,,
10:40.0,Turnover by G. Dragic (lost ball; steal by M. Huertas),,68-70,,
10:30.0,,,68-70,,Shooting foul by J. Winslow (drawn by B. Bass)
10:30.0,,,68-71,1,B. Bass makes free throw 1 of 2
10:30.0,,,68-72,1,B. Bass makes free throw 2 of 2
10:20.0,J. Richardson misses 2-pt shot from 10 ft,,68-72,,
10:19.0,,,68-72,,Defensive rebound by R. Hibbert
10:12.0,,,68-74,2,M. Huertas makes 2-pt shot from 6 ft (assist by R. Kelly)
10:12.0,Miami full timeout,,68-74,,
9:55.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Richardson),2,70-74,,
9:37.0,,,70-76,2,R. Hibbert makes 2-pt shot from 6 ft
9:16.0,L. Deng misses 2-pt shot from 14 ft,,70-76,,
9:14.0,Offensive rebound by L. Deng,,70-76,,
9:14.0,Shooting foul by M. Huertas (drawn by L. Deng),,70-76,,
9:14.0,L. Deng misses free throw 1 of 2,,70-76,,
9:14.0,Offensive rebound by Team,,70-76,,
9:14.0,L. Deng misses free throw 2 of 2,,70-76,,
9:13.0,,,70-76,,Defensive rebound by R. Kelly
8:55.0,,,70-78,2,M. Huertas makes 2-pt shot from 3 ft
8:42.0,H. Whiteside makes 2-pt shot from 14 ft (assist by G. Dragic),2,72-78,,
8:27.0,,,72-78,,M. Huertas misses 2-pt shot from 3 ft
8:27.0,Defensive rebound by Team,,72-78,,
8:27.0,,,72-78,,Loose ball foul by B. Bass
8:27.0,D. Wade enters the game for G. Dragic,,72-78,,
8:27.0,,,72-78,,J. Clarkson enters the game for L. Williams
8:27.0,,,72-78,,D. Russell enters the game for M. Huertas
8:09.0,Shooting foul by R. Kelly (drawn by H. Whiteside),,72-78,,
8:09.0,H. Whiteside makes free throw 1 of 2,1,73-78,,
8:09.0,H. Whiteside makes free throw 2 of 2,1,74-78,,
7:45.0,,,74-78,,R. Hibbert misses 2-pt shot from 12 ft
7:44.0,Defensive rebound by L. Deng,,74-78,,
7:30.0,Turnover by D. Wade (lost ball; steal by R. Hibbert),,74-78,,
7:21.0,,,74-78,,D. Russell misses 2-pt shot from 13 ft
7:20.0,,,74-78,,Offensive rebound by R. Hibbert
7:02.0,,,74-78,,J. Clarkson misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by J. Winslow,,74-78,,
6:56.0,J. Winslow makes 2-pt shot at rim,2,76-78,,
6:56.0,,,76-78,,LA Lakers full timeout
6:56.0,,,76-78,,L. Nance enters the game for B. Bass
6:56.0,,,76-78,,J. Randle enters the game for R. Kelly
6:43.0,,,76-78,,Shooting foul by J. Winslow (drawn by J. Clarkson)
6:43.0,,,76-78,,J. Clarkson misses free throw 1 of 2
6:43.0,,,76-78,,Offensive rebound by Team
6:43.0,,,76-78,,J. Clarkson misses free throw 2 of 2
6:42.0,,,76-78,,Offensive rebound by L. Nance
6:40.0,,,76-78,,L. Nance misses 2-pt shot at rim (block by L. Deng)
6:39.0,,,76-78,,Offensive rebound by L. Nance
6:39.0,,,76-78,,L. Nance misses 2-pt shot at rim (block by H. Whiteside)
6:39.0,,,76-78,,Offensive rebound by Team
6:28.0,,,76-78,,D. Russell misses 2-pt shot at rim (block by H. Whiteside)
6:26.0,Defensive rebound by D. Wade,,76-78,,
6:21.0,Turnover by D. Wade (lost ball; steal by D. Russell),,76-78,,
6:17.0,Personal foul by J. Winslow,,76-78,,
6:17.0,J. Johnson enters the game for L. Deng,,76-78,,
6:06.0,,,76-80,2,J. Clarkson makes 2-pt shot from 15 ft
5:50.0,,,76-80,,Personal foul by D. Russell
