time,Chicago,pts.away,score,pts.home,Charlotte
7:42.0,A. Brooks makes 3-pt shot from 29 ft,3,84-113,,
7:17.0,,,84-113,,F. Kaminsky misses 2-pt shot from 8 ft
7:16.0,Defensive rebound by D. McDermott,,84-113,,
7:08.0,T. Gibson makes 2-pt shot from 5 ft,2,86-113,,
7:08.0,Shooting foul by S. Hawes (drawn by T. Gibson),,86-113,,
7:08.0,,,86-113,,T. Hansbrough enters the game for S. Hawes
7:08.0,T. Snell enters the game for A. Brooks,,86-113,,
7:08.0,T. Gibson misses free throw 1 of 1,,86-113,,
7:06.0,,,86-113,,Defensive rebound by M. Williams
6:53.0,,,86-115,2,J. Lamb makes 2-pt shot from 1 ft
6:44.0,B. Portis misses 2-pt shot from 18 ft,,86-115,,
6:43.0,,,86-115,,Defensive rebound by J. Lin
6:30.0,,,86-117,2,T. Hansbrough makes 2-pt shot from 2 ft (assist by J. Lamb)
6:20.0,E. Moore misses 3-pt shot from 25 ft,,86-117,,
6:18.0,,,86-117,,Defensive rebound by F. Kaminsky
6:11.0,,,86-119,2,J. Lamb makes 2-pt shot from 17 ft
5:58.0,D. McDermott makes 3-pt shot from 24 ft (assist by E. Moore),3,89-119,,
5:44.0,,,89-119,,T. Hansbrough misses 2-pt shot from 2 ft
5:43.0,,,89-119,,Offensive rebound by J. Lin
5:41.0,,,89-119,,Offensive charge foul by T. Hansbrough
5:41.0,,,89-119,,Turnover by T. Hansbrough (offensive foul)
5:41.0,Official timeout,,89-119,,
5:41.0,C. Bairstow enters the game for T. Gibson,,89-119,,
5:41.0,,,89-119,,B. Roberts enters the game for M. Williams
5:41.0,,,89-119,,T. Daniels enters the game for J. Lin
5:27.0,E. Moore makes 2-pt shot from 16 ft,2,91-119,,
5:09.0,,,91-122,3,T. Daniels makes 3-pt shot from 25 ft (assist by F. Kaminsky)
4:57.0,Turnover by B. Portis (traveling),,91-122,,
4:34.0,,,91-124,2,J. Lamb makes 2-pt shot from 1 ft
4:19.0,T. Snell misses 2-pt shot from 6 ft,,91-124,,
4:19.0,Offensive rebound by Team,,91-124,,
4:15.0,B. Portis misses 2-pt shot from 22 ft,,91-124,,
4:15.0,,,91-124,,Defensive rebound by Team
3:58.0,,,91-124,,F. Kaminsky misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by D. McDermott,,91-124,,
3:49.0,E. Moore misses 2-pt shot from 3 ft,,91-124,,
3:46.0,,,91-124,,Defensive rebound by J. Lamb
3:39.0,,,91-124,,T. Daniels misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by C. Bairstow,,91-124,,
3:32.0,D. McDermott misses 2-pt shot from 6 ft,,91-124,,
3:31.0,,,91-124,,Defensive rebound by T. Daniels
3:22.0,,,91-124,,T. Daniels misses 2-pt shot from 19 ft
3:21.0,,,91-124,,Offensive rebound by T. Hansbrough
3:21.0,,,91-124,,Shooting foul by C. Bairstow (drawn by T. Hansbrough)
3:21.0,,,91-125,1,T. Hansbrough makes free throw 1 of 2
3:21.0,,,91-126,1,T. Hansbrough makes free throw 2 of 2
3:03.0,E. Moore makes 2-pt shot from 1 ft,2,93-126,,
2:51.0,,,93-128,2,B. Roberts makes 2-pt shot from 17 ft
2:29.0,C. Bairstow misses 3-pt shot from 22 ft,,93-128,,
2:28.0,Offensive rebound by B. Portis,,93-128,,
2:24.0,B. Portis makes 2-pt shot from 12 ft,2,95-128,,
2:08.0,,,95-128,,Turnover by T. Daniels (step out of bounds)
2:08.0,,,95-128,,Charlotte full timeout
1:57.0,C. Bairstow makes 2-pt shot from 6 ft,2,97-128,,
1:32.0,,,97-128,,T. Hansbrough misses 2-pt shot from 4 ft
1:32.0,,,97-128,,Offensive rebound by T. Hansbrough
1:32.0,,,97-128,,Turnover by Team (shot clock)
1:23.0,T. Snell misses 2-pt shot from 2 ft,,97-128,,
1:21.0,,,97-128,,Defensive rebound by J. Lamb
1:16.0,,,97-128,,Turnover by J. Lamb (bad pass; steal by D. McDermott)
1:12.0,B. Portis makes 2-pt shot at rim (assist by T. Snell),2,99-128,,
0:59.0,,,99-128,,Shooting foul by B. Portis (drawn by T. Hansbrough)
0:59.0,,,99-129,1,T. Hansbrough makes free throw 1 of 2
0:59.0,,,99-130,1,T. Hansbrough makes free throw 2 of 2
0:50.0,E. Moore makes 2-pt shot from 7 ft,2,101-130,,
0:41.0,,,101-130,,B. Roberts misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by Team,,101-130,,
0:35.0,B. Portis makes 2-pt shot from 2 ft (assist by D. McDermott),2,103-130,,
0:19.0,,,103-130,,F. Kaminsky misses 2-pt shot from 2 ft
