time,Houston,pts.away,score,pts.home,Phoenix
11:19.0,,,58-45,,Shooting foul by D. Howard (drawn by A. Goodwin)
11:19.0,,,58-46,1,A. Goodwin makes free throw 1 of 2
11:19.0,,,58-47,1,A. Goodwin makes free throw 2 of 2
11:04.0,J. Smith misses 3-pt shot from 23 ft,,58-47,,
11:03.0,Offensive rebound by P. Beverley,,58-47,,
10:59.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley),3,61-47,,
10:35.0,,,61-47,,J. Leuer misses 2-pt shot from 14 ft
10:33.0,,,61-47,,Offensive rebound by J. Leuer
10:31.0,,,61-47,,Turnover by J. Leuer (lost ball; steal by J. Harden)
10:21.0,J. Harden misses 2-pt shot from 16 ft,,61-47,,
10:17.0,,,61-47,,Defensive rebound by P. Tucker
10:13.0,,,61-47,,A. Goodwin misses 2-pt shot from 20 ft
10:11.0,Defensive rebound by T. Ariza,,61-47,,
10:01.0,J. Harden misses 3-pt shot from 29 ft,,61-47,,
9:59.0,,,61-47,,Defensive rebound by P. Tucker
9:53.0,,,61-47,,Turnover by A. Goodwin (lost ball; steal by T. Ariza)
9:49.0,Shooting foul by A. Goodwin (drawn by T. Ariza),,61-47,,
9:49.0,T. Ariza misses free throw 1 of 2,,61-47,,
9:49.0,Offensive rebound by Team,,61-47,,
9:49.0,,,61-47,,R. Price enters the game for A. Goodwin
9:49.0,T. Ariza makes free throw 2 of 2,1,62-47,,
9:44.0,Personal foul by J. Harden,,62-47,,
9:40.0,,,62-47,,Turnover by J. Leuer (lost ball; steal by D. Howard)
9:37.0,Shooting foul by R. Price (drawn by T. Ariza),,62-47,,
9:37.0,T. Ariza makes free throw 1 of 2,1,63-47,,
9:37.0,,,63-47,,A. Goodwin enters the game for J. Leuer
9:37.0,T. Ariza makes free throw 2 of 2,1,64-47,,
9:25.0,,,64-47,,M. Teletovic misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by J. Harden,,64-47,,
9:06.0,J. Harden misses 2-pt shot from 17 ft,,64-47,,
9:03.0,,,64-47,,Defensive rebound by P. Tucker
9:03.0,Personal take foul by P. Beverley,,64-47,,
8:53.0,,,64-49,2,M. Teletovic makes 2-pt shot from 6 ft
8:44.0,,,64-49,,Personal foul by R. Price
8:44.0,P. Beverley makes free throw 1 of 2,1,65-49,,
8:44.0,P. Beverley misses free throw 2 of 2,,65-49,,
8:41.0,,,65-49,,Defensive rebound by M. Teletovic
8:32.0,,,65-49,,R. Price misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by T. Ariza,,65-49,,
8:26.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,67-49,,
8:15.0,,,67-49,,D. Booker misses 3-pt shot from 23 ft (block by P. Beverley)
8:12.0,Defensive rebound by J. Harden,,67-49,,
8:11.0,,,67-49,,Technical foul by D. Booker
8:11.0,J. Harden makes technical free throw,1,68-49,,
8:11.0,C. Brewer enters the game for J. Smith,,68-49,,
8:01.0,P. Beverley makes 3-pt shot from 22 ft (assist by C. Brewer),3,71-49,,
8:00.0,,,71-49,,Phoenix full timeout
8:00.0,,,71-49,,S. Weems enters the game for D. Booker
7:48.0,,,71-49,,M. Teletovic misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by T. Ariza,,71-49,,
7:38.0,Shooting foul by A. Goodwin (drawn by J. Harden),,71-49,,
7:38.0,J. Harden makes free throw 1 of 2,1,72-49,,
7:38.0,J. Harden makes free throw 2 of 2,1,73-49,,
7:26.0,,,73-49,,Turnover by M. Teletovic (lost ball; steal by T. Ariza)
7:24.0,,,73-49,,Personal take foul by S. Weems
7:24.0,J. Harden misses free throw 1 of 2,,73-49,,
7:24.0,Offensive rebound by Team,,73-49,,
