time,Chicago,pts.away,score,pts.home,Utah
0:39.0,E. Moore makes 2-pt shot from 9 ft,2,51-44,,
0:34.0,,,51-44,,Shooting foul by P. Gasol (drawn by R. Gobert)
0:34.0,,,51-44,,R. Gobert misses free throw 1 of 2
0:34.0,,,51-44,,Offensive rebound by Team
0:34.0,B. Portis enters the game for P. Gasol,,51-44,,
0:34.0,,,51-45,1,R. Gobert makes free throw 2 of 2
0:13.0,E. Moore misses 2-pt shot from 14 ft,,51-45,,
0:12.0,,,51-45,,Defensive rebound by R. Gobert
0:02.0,,,51-47,2,T. Burke makes 2-pt shot from 3 ft
0:00.0,E. Moore misses 2-pt shot from 18 ft,,51-47,,
0:00.0,Offensive rebound by Team,,51-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-47,,Turnover by R. Hood (lost ball; steal by P. Gasol)
11:30.0,E. Moore misses 3-pt shot from 24 ft,,51-47,,
11:29.0,,,51-47,,Defensive rebound by G. Hayward
11:20.0,,,51-47,,G. Hayward misses 2-pt shot from 19 ft
11:18.0,,,51-47,,Offensive rebound by G. Hayward
11:18.0,,,51-49,2,G. Hayward makes 2-pt shot from 1 ft
11:06.0,,,51-49,,Personal foul by G. Hayward (drawn by D. Rose)
10:54.0,P. Gasol makes 2-pt shot from 19 ft (assist by J. Butler),2,53-49,,
10:30.0,,,53-49,,D. Favors misses 2-pt shot from 9 ft
10:29.0,Defensive rebound by E. Moore,,53-49,,
10:17.0,D. Rose makes 2-pt shot from 15 ft,2,55-49,,
9:57.0,,,55-51,2,R. Hood makes 2-pt shot from 8 ft
9:43.0,J. Butler misses 2-pt shot from 20 ft,,55-51,,
9:42.0,,,55-51,,Defensive rebound by R. Neto
9:32.0,,,55-53,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
9:14.0,P. Gasol misses 2-pt shot from 21 ft,,55-53,,
9:14.0,,,55-53,,Defensive rebound by R. Gobert
9:06.0,,,55-53,,D. Favors misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by P. Gasol,,55-53,,
9:03.0,Chicago full timeout,,55-53,,
8:59.0,Turnover by P. Gasol (bad pass),,55-53,,
8:51.0,,,55-53,,Turnover by G. Hayward (lost ball)
8:36.0,D. Rose misses 2-pt shot from 4 ft,,55-53,,
8:35.0,Offensive rebound by T. Gibson,,55-53,,
8:33.0,T. Gibson makes 2-pt shot at rim,2,57-53,,
8:18.0,,,57-53,,R. Hood misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by P. Gasol,,57-53,,
7:57.0,Shooting foul by R. Neto (drawn by T. Gibson),,57-53,,
7:57.0,T. Gibson makes free throw 1 of 2,1,58-53,,
7:57.0,T. Gibson misses free throw 2 of 2,,58-53,,
7:56.0,,,58-53,,Defensive rebound by R. Gobert
7:39.0,Personal foul by D. Rose (drawn by D. Favors),,58-53,,
7:30.0,,,58-53,,D. Favors misses 2-pt shot from 1 ft (block by P. Gasol)
7:29.0,Defensive rebound by J. Butler,,58-53,,
7:24.0,E. Moore misses 2-pt shot from 1 ft,,58-53,,
7:21.0,,,58-53,,Defensive rebound by R. Neto
7:16.0,,,58-55,2,R. Hood makes 2-pt shot from 7 ft
7:00.0,E. Moore misses 2-pt shot from 1 ft,,58-55,,
6:59.0,,,58-55,,Defensive rebound by D. Favors
6:47.0,,,58-55,,Offensive charge foul by R. Hood
6:47.0,,,58-55,,Turnover by R. Hood (offensive foul)
6:47.0,,,58-55,,C. Johnson enters the game for R. Hood
6:47.0,,,58-55,,Violation by Team (jump ball)
6:35.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,60-55,,
6:28.0,,,60-57,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
6:12.0,D. Rose misses 2-pt shot from 2 ft (block by D. Favors),,60-57,,
6:12.0,Offensive rebound by Team,,60-57,,
6:09.0,J. Butler makes 2-pt shot from 20 ft (assist by D. Rose),2,62-57,,
5:55.0,,,62-59,2,G. Hayward makes 2-pt shot from 14 ft (assist by R. Gobert)
5:41.0,E. Moore misses 3-pt shot from 24 ft,,62-59,,
5:39.0,,,62-59,,Defensive rebound by D. Favors
5:37.0,,,62-59,,Turnover by R. Neto (bad pass; steal by D. Rose)
5:30.0,D. Rose misses 2-pt shot from 1 ft (block by D. Favors),,62-59,,
5:29.0,Offensive rebound by D. Rose,,62-59,,
5:27.0,D. Rose misses 2-pt shot from 2 ft (block by D. Favors),,62-59,,
5:25.0,,,62-59,,Defensive rebound by G. Hayward
5:22.0,,,62-59,,Shooting foul by T. Gibson (drawn by C. Johnson)
5:22.0,,,62-60,1,C. Johnson makes free throw 1 of 2
5:22.0,K. Hinrich enters the game for E. Moore,,62-60,,
5:22.0,D. McDermott enters the game for D. Rose,,62-60,,
5:22.0,,,62-61,1,C. Johnson makes free throw 2 of 2
5:00.0,K. Hinrich misses 3-pt shot from 24 ft,,62-61,,
5:00.0,,,62-61,,Defensive rebound by Team
5:00.0,,,62-61,,T. Burke enters the game for R. Neto
4:48.0,,,62-61,,G. Hayward misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by P. Gasol,,62-61,,
4:34.0,,,62-61,,Personal foul by D. Favors (drawn by J. Butler)
4:20.0,D. McDermott misses 3-pt shot from 24 ft,,62-61,,
4:20.0,,,62-61,,Defensive rebound by G. Hayward
4:10.0,,,62-61,,T. Burke misses 2-pt shot from 19 ft
4:10.0,Defensive rebound by T. Gibson,,62-61,,
3:57.0,P. Gasol misses 2-pt shot from 8 ft,,62-61,,
3:56.0,,,62-61,,Defensive rebound by G. Hayward
3:44.0,,,62-61,,D. Favors misses 2-pt shot from 16 ft
3:44.0,Defensive rebound by Team,,62-61,,
3:44.0,,,62-61,,Personal foul by R. Gobert (drawn by P. Gasol)
3:44.0,,,62-61,,T. Booker enters the game for D. Favors
3:44.0,,,62-61,,J. Ingles enters the game for G. Hayward
3:27.0,P. Gasol misses 2-pt shot from 5 ft,,62-61,,
3:27.0,,,62-61,,Defensive rebound by R. Gobert
3:13.0,,,62-61,,C. Johnson misses 2-pt shot from 2 ft
3:13.0,,,62-61,,Offensive rebound by Team
