time,Orlando,pts.away,score,pts.home,Sacramento
2:13.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by M. Hezonja),2,76-70,,
1:52.0,,,76-70,,R. Rondo misses 2-pt shot from 3 ft (block by J. Smith)
1:51.0,Defensive rebound by M. Hezonja,,76-70,,
1:34.0,C. Watson makes 2-pt shot from 13 ft (assist by E. Fournier),2,78-70,,
1:13.0,,,78-70,,O. Casspi misses 2-pt shot from 3 ft
1:12.0,Defensive rebound by J. Smith,,78-70,,
1:05.0,C. Watson misses 2-pt shot from 3 ft,,78-70,,
1:03.0,Offensive rebound by E. Ilyasova,,78-70,,
1:00.0,E. Ilyasova misses 3-pt shot from 23 ft,,78-70,,
1:00.0,,,78-70,,Defensive rebound by W. Cauley-Stein
0:55.0,,,78-73,3,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo)
0:32.0,C. Watson misses 3-pt shot from 24 ft,,78-73,,
0:32.0,Offensive rebound by E. Ilyasova,,78-73,,
0:31.0,E. Ilyasova makes 2-pt shot from 2 ft,2,80-73,,
0:20.0,,,80-73,,Shooting foul by E. Ilyasova (drawn by W. Cauley-Stein)
0:20.0,,,80-74,1,W. Cauley-Stein makes free throw 1 of 2
0:20.0,,,80-74,,D. Collison enters the game for R. Rondo
0:20.0,,,80-75,1,W. Cauley-Stein makes free throw 2 of 2
0:00.0,E. Fournier misses 3-pt shot from 27 ft,,80-75,,
0:00.0,Offensive rebound by Team,,80-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,80-77,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
11:28.0,V. Oladipo misses 2-pt shot from 19 ft,,80-77,,
11:27.0,Offensive rebound by E. Ilyasova,,80-77,,
11:24.0,E. Ilyasova makes 2-pt shot from 2 ft,2,82-77,,
11:14.0,,,82-77,,M. Belinelli misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by J. Smith,,82-77,,
10:56.0,J. Smith makes 2-pt shot from 21 ft (assist by V. Oladipo),2,84-77,,
10:43.0,,,84-77,,O. Casspi misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by B. Jennings,,84-77,,
10:32.0,J. Smith misses 2-pt shot from 16 ft,,84-77,,
10:31.0,,,84-77,,Defensive rebound by M. Belinelli
10:25.0,,,84-79,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by M. Belinelli)
10:08.0,M. Hezonja makes 2-pt shot from 3 ft (assist by B. Jennings),2,86-79,,
9:57.0,,,86-79,,D. Collison misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by E. Ilyasova,,86-79,,
9:46.0,V. Oladipo misses 2-pt shot from 17 ft,,86-79,,
9:45.0,,,86-79,,Defensive rebound by O. Casspi
9:39.0,,,86-79,,D. Collison misses 2-pt shot from 7 ft (block by B. Jennings)
9:39.0,Defensive rebound by Team,,86-79,,
9:39.0,,,86-79,,R. Gay enters the game for O. Casspi
9:39.0,,,86-79,,R. Rondo enters the game for S. Curry
9:28.0,M. Hezonja misses 3-pt shot from 25 ft,,86-79,,
9:28.0,,,86-79,,Defensive rebound by W. Cauley-Stein
9:13.0,,,86-79,,Turnover by M. Belinelli (lost ball; steal by J. Smith)
9:08.0,Shooting foul by D. Collison (drawn by J. Smith),,86-79,,
9:08.0,,,86-79,,Sacramento full timeout
9:08.0,,,86-79,,K. Koufos enters the game for W. Cauley-Stein
9:08.0,J. Smith misses free throw 1 of 2,,86-79,,
9:08.0,Offensive rebound by Team,,86-79,,
9:08.0,J. Smith makes free throw 2 of 2,1,87-79,,
8:42.0,,,87-79,,D. Collison misses 3-pt shot from 27 ft
8:42.0,Defensive rebound by V. Oladipo,,87-79,,
8:23.0,B. Jennings makes 2-pt shot from 6 ft,2,89-79,,
8:21.0,Violation by Team (delay of game),,89-79,,
8:08.0,,,89-79,,R. Rondo misses 2-pt shot from 13 ft
8:06.0,Defensive rebound by M. Hezonja,,89-79,,
8:03.0,Turnover by B. Jennings (lost ball; steal by K. Koufos),,89-79,,
7:52.0,,,89-81,2,D. Collison makes 2-pt shot from 18 ft (assist by R. Rondo)
7:33.0,V. Oladipo makes 2-pt shot from 21 ft,2,91-81,,
7:19.0,,,91-81,,Turnover by M. Belinelli (lost ball; steal by J. Smith)
7:13.0,V. Oladipo makes 2-pt shot at rim (assist by J. Smith),2,93-81,,
7:13.0,,,93-81,,Sacramento full timeout
6:57.0,,,93-81,,Turnover by M. Belinelli (lost ball; steal by B. Jennings)
