time,Dallas,pts.away,score,pts.home,Atlanta
7:41.0,Defensive rebound by C. Parsons,,83-95,,
7:27.0,C. Parsons misses 2-pt shot from 12 ft,,83-95,,
7:26.0,,,83-95,,Defensive rebound by P. Millsap
7:16.0,,,83-97,2,P. Millsap makes 2-pt shot at rim (assist by T. Hardaway)
7:04.0,Shooting foul by M. Muscala (drawn by Z. Pachulia),,83-97,,
7:04.0,,,83-97,,K. Korver enters the game for M. Muscala
7:04.0,J. Jenkins enters the game for J. Barea,,83-97,,
7:04.0,Z. Pachulia misses free throw 1 of 2,,83-97,,
7:04.0,Offensive rebound by Team,,83-97,,
7:04.0,Z. Pachulia misses free throw 2 of 2,,83-97,,
7:02.0,,,83-97,,Defensive rebound by P. Millsap
6:51.0,,,83-97,,J. Teague misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by C. Parsons,,83-97,,
6:38.0,Turnover by W. Matthews (lost ball; steal by J. Teague),,83-97,,
6:26.0,,,83-97,,Turnover by J. Teague (dbl dribble)
6:16.0,R. Felton misses 2-pt shot from 11 ft,,83-97,,
6:13.0,,,83-97,,Defensive rebound by K. Bazemore
6:07.0,,,83-99,2,J. Teague makes 2-pt shot from 1 ft (assist by K. Korver)
6:07.0,Dallas full timeout,,83-99,,
6:07.0,,,83-99,,A. Horford enters the game for T. Hardaway
6:07.0,J. Anderson enters the game for C. Parsons,,83-99,,
6:07.0,C. Villanueva enters the game for Z. Pachulia,,83-99,,
6:07.0,D. Powell enters the game for W. Matthews,,83-99,,
5:51.0,Shooting foul by A. Horford (drawn by D. Powell),,83-99,,
