time,Minnesota,pts.away,score,pts.home,Utah
4:30.0,,,79-92,1,R. Hood makes free throw 2 of 2
4:10.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,81-92,,
3:51.0,,,81-92,,T. Lyles misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by K. Towns,,81-92,,
3:42.0,K. Towns misses 2-pt shot from 1 ft (block by R. Gobert),,81-92,,
3:41.0,,,81-92,,Defensive rebound by R. Gobert
3:38.0,Personal foul by R. Rubio,,81-92,,
3:38.0,,,81-93,1,S. Mack makes free throw 1 of 2
3:38.0,,,81-94,1,S. Mack makes free throw 2 of 2
3:29.0,Shooting foul by G. Hayward (drawn by A. Wiggins),,81-94,,
3:29.0,A. Wiggins misses free throw 1 of 2,,81-94,,
3:29.0,Offensive rebound by Team,,81-94,,
3:29.0,A. Wiggins misses free throw 2 of 2,,81-94,,
3:27.0,,,81-94,,Defensive rebound by R. Gobert
3:07.0,,,81-94,,G. Hayward misses 2-pt shot from 9 ft
3:06.0,,,81-94,,Offensive rebound by R. Gobert
2:48.0,,,81-94,,T. Lyles misses 2-pt shot from 2 ft
2:48.0,,,81-94,,Offensive rebound by T. Lyles
2:28.0,,,81-96,2,S. Mack makes 2-pt shot from 17 ft
2:04.0,N. Bjelica misses 2-pt shot from 20 ft,,81-96,,
2:03.0,,,81-96,,Defensive rebound by R. Hood
1:41.0,,,81-96,,T. Lyles misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by K. Towns,,81-96,,
1:32.0,R. Rubio misses 3-pt shot from 24 ft,,81-96,,
1:32.0,Offensive rebound by N. Bjelica,,81-96,,
1:27.0,R. Rubio misses 3-pt shot from 22 ft,,81-96,,
1:27.0,Offensive rebound by Team,,81-96,,
1:27.0,Minnesota full timeout,,81-96,,
1:27.0,T. Jones enters the game for A. Wiggins,,81-96,,
1:27.0,D. Rudez enters the game for K. Towns,,81-96,,
1:27.0,G. Smith enters the game for Z. LaVine,,81-96,,
1:27.0,A. Payne enters the game for R. Rubio,,81-96,,
1:26.0,N. Bjelica makes 2-pt shot from 1 ft (assist by D. Rudez),2,83-96,,
1:12.0,,,83-98,2,R. Hood makes 2-pt shot from 15 ft
1:10.0,,,83-98,,Personal foul by G. Hayward
1:10.0,,,83-98,,J. Ingles enters the game for G. Hayward
1:10.0,,,83-98,,R. Neto enters the game for R. Gobert
1:10.0,,,83-98,,J. Withey enters the game for R. Hood
1:10.0,,,83-98,,C. Johnson enters the game for S. Mack
0:53.0,G. Smith makes 2-pt shot at rim (assist by N. Bjelica),2,85-98,,
0:31.0,,,85-98,,Turnover by R. Neto (lost ball; steal by T. Jones)
0:18.0,Turnover by T. Jones (lost ball; steal by J. Ingles),,85-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
