time,Chicago,pts.away,score,pts.home,Toronto
10:27.0,Defensive rebound by B. Portis,,83-89,,
10:17.0,B. Portis makes 2-pt shot from 2 ft (assist by J. Butler),2,85-89,,
9:51.0,,,85-89,,C. Joseph misses 2-pt shot from 1 ft (block by T. Gibson)
9:51.0,,,85-89,,Offensive rebound by Team
9:48.0,,,85-91,2,L. Scola makes 2-pt shot from 16 ft (assist by C. Joseph)
9:29.0,Turnover by B. Portis (3 sec),,85-91,,
9:17.0,,,85-93,2,K. Lowry makes 2-pt shot from 2 ft
9:17.0,,,85-93,,Shooting foul by B. Portis (drawn by K. Lowry)
9:17.0,,,85-94,1,K. Lowry makes free throw 1 of 1
9:02.0,E. Moore enters the game for T. Snell,,85-94,,
9:02.0,Jump ball: J. Butler vs. T. Ross (P. Patterson gains possession),,,,Jump ball: J. Butler vs. T. Ross (P. Patterson gains possession)
9:02.0,Turnover by J. Butler (lost ball; steal by T. Ross),,85-94,,
8:45.0,,,85-94,,K. Lowry misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by T. Gibson,,85-94,,
8:35.0,Turnover by E. Moore (bad pass; steal by L. Scola),,85-94,,
8:29.0,,,85-96,2,K. Lowry makes 2-pt shot from 2 ft (assist by L. Scola)
8:28.0,Chicago full timeout,,85-96,,
8:28.0,N. Mirotic enters the game for B. Portis,,85-96,,
8:22.0,,,85-96,,Personal foul by T. Ross (drawn by J. Butler)
8:12.0,T. Gibson misses 2-pt shot from 2 ft (block by L. Scola),,85-96,,
8:11.0,Offensive rebound by A. Brooks,,85-96,,
8:03.0,J. Butler makes 2-pt shot from 9 ft,2,87-96,,
7:44.0,,,87-98,2,C. Joseph makes 2-pt shot from 3 ft
7:24.0,J. Butler makes 2-pt shot from 1 ft,2,89-98,,
6:57.0,,,89-98,,Turnover by C. Joseph (bad pass; steal by N. Mirotic)
6:52.0,,,89-98,,Personal foul by C. Joseph (drawn by N. Mirotic)
6:52.0,D. McDermott enters the game for A. Brooks,,89-98,,
6:47.0,D. McDermott misses 2-pt shot from 2 ft (block by K. Lowry),,89-98,,
6:45.0,,,89-98,,Defensive rebound by P. Patterson
6:37.0,,,89-100,2,K. Lowry makes 2-pt shot from 2 ft
6:24.0,Shooting foul by T. Ross (drawn by J. Butler),,89-100,,
6:24.0,J. Butler makes free throw 1 of 2,1,90-100,,
6:24.0,J. Butler makes free throw 2 of 2,1,91-100,,
6:12.0,Personal foul by E. Moore (drawn by K. Lowry),,91-100,,
6:00.0,,,91-103,3,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry)
5:45.0,J. Butler misses 3-pt shot from 25 ft,,91-103,,
5:45.0,Offensive rebound by Team,,91-103,,
5:45.0,,,91-103,,Loose ball foul by L. Scola (drawn by N. Mirotic)
5:45.0,Official timeout,,91-103,,
5:45.0,,,91-103,,D. DeRozan enters the game for T. Ross
