time,Chicago,pts.away,score,pts.home,Washington
3:31.0,Defensive rebound by T. Gibson,,45-51,,
3:26.0,Turnover by M. Dunleavy (lost ball; steal by G. Temple),,45-51,,
3:21.0,,,45-51,,Turnover by J. Wall (lost ball; steal by T. Gibson)
3:13.0,M. Dunleavy misses 3-pt shot from 23 ft,,45-51,,
3:12.0,,,45-51,,Defensive rebound by G. Temple
3:06.0,,,45-53,2,J. Wall makes 2-pt shot at rim (assist by G. Temple)
2:55.0,T. Gibson misses 2-pt shot from 1 ft (block by O. Porter),,45-53,,
2:54.0,Offensive rebound by T. Gibson,,45-53,,
2:54.0,T. Gibson makes 2-pt shot from 1 ft,2,47-53,,
2:54.0,Shooting foul by G. Temple (drawn by T. Gibson),,47-53,,
2:54.0,N. Mirotic enters the game for M. Dunleavy,,47-53,,
2:54.0,T. Gibson makes free throw 1 of 1,1,48-53,,
2:39.0,,,48-55,2,J. Wall makes 2-pt shot from 18 ft
2:14.0,J. Butler misses 2-pt shot from 19 ft,,48-55,,
2:13.0,,,48-55,,Defensive rebound by J. Wall
2:10.0,Personal foul by E. Moore,,48-55,,
2:10.0,,,48-56,1,J. Wall makes free throw 1 of 2
2:10.0,B. Portis enters the game for T. Gibson,,48-56,,
2:10.0,D. Rose enters the game for E. Moore,,48-56,,
2:10.0,,,48-57,1,J. Wall makes free throw 2 of 2
2:00.0,J. Holiday misses 3-pt shot from 25 ft,,48-57,,
2:00.0,,,48-57,,Defensive rebound by N. Hilario
1:49.0,,,48-57,,J. Wall misses 2-pt shot at rim
1:48.0,Defensive rebound by J. Butler,,48-57,,
1:38.0,D. Rose misses 2-pt shot from 19 ft,,48-57,,
1:37.0,,,48-57,,Defensive rebound by G. Temple
1:27.0,,,48-60,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall)
1:27.0,Chicago full timeout,,48-60,,
1:08.0,J. Holiday misses 2-pt shot from 2 ft (block by N. Hilario),,48-60,,
1:06.0,Offensive rebound by B. Portis,,48-60,,
1:05.0,B. Portis makes 2-pt shot from 1 ft,2,50-60,,
0:45.0,,,50-60,,O. Porter misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by J. Butler,,50-60,,
0:39.0,Offensive charge foul by J. Holiday,,50-60,,
0:39.0,Turnover by J. Holiday (offensive foul),,50-60,,
0:34.0,,,50-63,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall)
0:26.0,D. Rose makes 2-pt shot at rim,2,52-63,,
0:19.0,,,52-63,,Washington full timeout
0:19.0,E. Moore enters the game for D. Rose,,52-63,,
0:04.0,,,52-63,,J. Wall misses 2-pt shot at rim
0:03.0,Defensive rebound by B. Portis,,52-63,,
0:01.0,B. Portis misses 3-pt shot from 37 ft,,52-63,,
0:00.0,Offensive rebound by Team,,52-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,N. Mirotic misses 3-pt shot from 26 ft,,52-63,,
11:37.0,,,52-63,,Defensive rebound by J. Wall
11:24.0,,,52-65,2,J. Wall makes 2-pt shot at rim (assist by M. Morris)
11:06.0,Shooting foul by M. Gortat (drawn by B. Portis),,52-65,,
11:06.0,B. Portis makes free throw 1 of 2,1,53-65,,
11:06.0,B. Portis makes free throw 2 of 2,1,54-65,,
10:44.0,,,54-65,,B. Beal misses 3-pt shot from 27 ft
10:43.0,,,54-65,,Offensive rebound by M. Morris
10:32.0,,,54-67,2,B. Beal makes 2-pt shot from 1 ft
10:32.0,,,54-67,,Shooting foul by M. Dunleavy (drawn by B. Beal)
10:32.0,,,54-68,1,B. Beal makes free throw 1 of 1
10:21.0,B. Portis misses 2-pt shot from 19 ft,,54-68,,
10:21.0,,,54-68,,Defensive rebound by M. Morris
10:14.0,,,54-68,,M. Gortat misses 2-pt shot from 1 ft (block by B. Portis)
10:11.0,Defensive rebound by N. Mirotic,,54-68,,
10:03.0,B. Portis misses 2-pt shot from 1 ft (block by M. Gortat),,54-68,,
10:02.0,,,54-68,,Defensive rebound by J. Wall
9:56.0,,,54-71,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
9:55.0,Chicago full timeout,,54-71,,
9:40.0,J. Butler misses 2-pt shot from 2 ft,,54-71,,
9:39.0,Offensive rebound by J. Butler,,54-71,,
9:38.0,J. Butler makes 2-pt shot from 1 ft,2,56-71,,
9:19.0,,,56-71,,M. Morris misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by D. Rose,,56-71,,
9:11.0,J. Butler misses 3-pt shot from 25 ft,,56-71,,
9:10.0,,,56-71,,Defensive rebound by M. Gortat
8:59.0,,,56-71,,Turnover by J. Wall (bad pass)
8:41.0,D. Rose misses 2-pt shot from 17 ft,,56-71,,
8:40.0,,,56-71,,Defensive rebound by B. Beal
