time,Memphis,pts.away,score,pts.home,Cleveland
11:44.0,L. Stephenson makes 2-pt shot from 2 ft,2,84-74,,
11:27.0,,,84-74,,Shooting foul by V. Carter (drawn by K. Irving)
11:27.0,,,84-75,1,K. Irving makes free throw 1 of 2
11:27.0,,,84-76,1,K. Irving makes free throw 2 of 2
11:07.0,P. Hairston misses 2-pt shot from 5 ft (block by T. Thompson),,84-76,,
11:06.0,,,84-76,,Defensive rebound by R. Jefferson
11:02.0,,,84-78,2,R. Jefferson makes 2-pt shot from 1 ft (assist by K. Irving)
10:42.0,P. Hairston misses 3-pt shot from 25 ft,,84-78,,
10:41.0,Offensive rebound by V. Carter,,84-78,,
10:30.0,Turnover by V. Carter (bad pass; steal by R. Jefferson),,84-78,,
10:23.0,,,84-80,2,M. Dellavedova makes 2-pt shot from 7 ft (assist by R. Jefferson)
10:23.0,Memphis full timeout,,84-80,,
10:23.0,T. Allen enters the game for P. Hairston,,84-80,,
10:09.0,L. Stephenson misses 2-pt shot from 17 ft,,84-80,,
10:09.0,,,84-80,,Defensive rebound by T. Thompson
10:03.0,,,84-80,,Turnover by K. Irving (lost ball; steal by L. Stephenson)
10:00.0,L. Stephenson makes 2-pt shot at rim,2,86-80,,
10:00.0,Shooting foul by R. Jefferson (drawn by L. Stephenson),,86-80,,
10:00.0,L. Stephenson misses free throw 1 of 1,,86-80,,
10:00.0,,,86-80,,Defensive rebound by I. Shumpert
9:38.0,,,86-80,,R. Jefferson misses 2-pt shot from 9 ft
9:36.0,Defensive rebound by L. Stephenson,,86-80,,
9:25.0,J. Green makes 2-pt shot from 14 ft (assist by L. Stephenson),2,88-80,,
9:10.0,,,88-80,,M. Dellavedova misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by V. Carter,,88-80,,
8:52.0,T. Allen makes 2-pt shot at rim (assist by J. Green),2,90-80,,
8:52.0,,,90-80,,Cleveland full timeout
8:52.0,P. Hairston enters the game for M. Chalmers,,90-80,,
8:52.0,R. Hollins enters the game for V. Carter,,90-80,,
8:52.0,,,90-80,,J. Smith enters the game for M. Dellavedova
8:52.0,,,90-80,,K. Love enters the game for I. Shumpert
8:52.0,,,90-80,,L. James enters the game for R. Jefferson
8:33.0,,,90-80,,Turnover by L. James (lost ball)
8:19.0,Turnover by J. Green (bad pass),,90-80,,
7:59.0,,,90-83,3,K. Irving makes 3-pt shot from 25 ft (assist by J. Smith)
7:25.0,T. Allen makes 3-pt shot from 24 ft (assist by L. Stephenson),3,93-83,,
7:10.0,,,93-83,,K. Irving misses 2-pt shot from 4 ft
7:10.0,Defensive rebound by L. Stephenson,,93-83,,
7:00.0,L. Stephenson misses 2-pt shot from 18 ft,,93-83,,
6:59.0,,,93-83,,Defensive rebound by J. Smith
6:57.0,Personal foul by L. Stephenson (drawn by L. James),,93-83,,
6:46.0,,,93-85,2,T. Thompson makes 2-pt shot from 4 ft (assist by L. James)
6:19.0,L. Stephenson makes 2-pt shot at rim,2,95-85,,
6:10.0,,,95-88,3,K. Irving makes 3-pt shot from 25 ft (assist by K. Love)
5:52.0,Turnover by T. Allen (lost ball; steal by K. Irving),,95-88,,
5:47.0,,,95-90,2,K. Irving makes 2-pt shot from 1 ft
5:16.0,Turnover by L. Stephenson (offensive foul),,95-90,,
