time,Washington,pts.away,score,pts.home,Brooklyn
11:23.0,,,55-50,,J. Jack misses 2-pt shot from 3 ft
11:22.0,,,55-50,,Offensive rebound by B. Lopez
11:21.0,,,55-50,,Shooting foul by J. Dudley (drawn by B. Lopez)
11:21.0,,,55-51,1,B. Lopez makes free throw 1 of 2
11:21.0,,,55-51,,B. Lopez misses free throw 2 of 2
11:20.0,Defensive rebound by M. Gortat,,55-51,,
11:06.0,M. Gortat makes 2-pt shot from 1 ft (assist by G. Temple),2,57-51,,
10:55.0,,,57-53,2,J. Jack makes 2-pt shot from 20 ft
10:51.0,Shooting foul by B. Lopez (drawn by M. Gortat),,57-53,,
10:51.0,M. Gortat misses free throw 1 of 2,,57-53,,
10:51.0,Offensive rebound by Team,,57-53,,
10:51.0,M. Gortat makes free throw 2 of 2,1,58-53,,
10:32.0,,,58-55,2,J. Jack makes 2-pt shot from 17 ft
10:20.0,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),3,61-55,,
10:20.0,,,61-55,,Brooklyn full timeout
10:10.0,,,61-57,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by J. Jack)
9:56.0,Shooting foul by B. Bogdanovic (drawn by M. Gortat),,61-57,,
9:56.0,M. Gortat makes free throw 1 of 2,1,62-57,,
9:56.0,M. Gortat makes free throw 2 of 2,1,63-57,,
9:43.0,,,63-57,,J. Jack misses 2-pt shot from 8 ft (block by J. Wall)
9:42.0,,,63-57,,Offensive rebound by B. Lopez
9:42.0,Personal foul by M. Gortat (drawn by B. Lopez),,63-57,,
9:31.0,,,63-60,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
9:07.0,Turnover by Team (shot clock),,63-60,,
8:54.0,,,63-62,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
8:44.0,J. Wall misses 2-pt shot from 2 ft (block by B. Lopez),,63-62,,
8:42.0,,,63-62,,Defensive rebound by J. Jack
8:39.0,,,63-62,,Turnover by J. Johnson (lost ball)
8:19.0,K. Oubre misses 3-pt shot from 23 ft,,63-62,,
8:18.0,,,63-62,,Defensive rebound by J. Johnson
8:09.0,,,63-62,,T. Young misses 2-pt shot from 1 ft
8:08.0,,,63-62,,Offensive rebound by B. Lopez
8:06.0,,,63-62,,B. Lopez misses 2-pt shot from 1 ft
8:05.0,,,63-62,,Offensive rebound by B. Lopez
8:04.0,,,63-62,,B. Lopez misses 2-pt shot at rim
8:03.0,Defensive rebound by J. Wall,,63-62,,
7:50.0,K. Oubre makes 2-pt shot from 1 ft (assist by M. Gortat),2,65-62,,
7:32.0,,,65-64,2,J. Johnson makes 2-pt shot from 18 ft
7:20.0,G. Temple misses 3-pt shot from 24 ft,,65-64,,
7:19.0,,,65-64,,Defensive rebound by B. Bogdanovic
7:08.0,,,65-66,2,J. Jack makes 2-pt shot from 17 ft (assist by B. Lopez)
6:53.0,J. Wall misses 2-pt shot from 15 ft,,65-66,,
6:52.0,,,65-66,,Defensive rebound by B. Bogdanovic
6:43.0,,,65-66,,B. Bogdanovic misses 2-pt shot from 11 ft (block by K. Oubre)
6:42.0,Defensive rebound by K. Oubre,,65-66,,
6:32.0,M. Gortat makes 2-pt shot from 2 ft (assist by K. Oubre),2,67-66,,
6:13.0,,,67-68,2,T. Young makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
5:54.0,Offensive foul by M. Gortat,,67-68,,
5:54.0,Turnover by M. Gortat (offensive foul),,67-68,,
5:54.0,,,67-68,,W. Reed enters the game for B. Lopez
5:54.0,K. Humphries enters the game for M. Gortat,,67-68,,
5:32.0,,,67-68,,J. Johnson misses 2-pt shot from 9 ft
5:31.0,Defensive rebound by K. Oubre,,67-68,,
5:21.0,K. Humphries misses 3-pt shot from 23 ft,,67-68,,
5:20.0,,,67-68,,Defensive rebound by W. Reed
5:15.0,,,67-70,2,J. Jack makes 2-pt shot from 18 ft
5:15.0,Washington full timeout,,67-70,,
5:15.0,,,67-70,,A. Bargnani enters the game for W. Reed
4:54.0,Turnover by J. Wall (lost ball; steal by J. Jack),,67-70,,
4:47.0,,,67-70,,J. Johnson misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by Team,,67-70,,
4:32.0,Turnover by J. Wall (lost ball; steal by T. Young),,67-70,,
4:22.0,,,67-73,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack)
4:02.0,J. Dudley misses 2-pt shot from 8 ft,,67-73,,
4:01.0,,,67-73,,Defensive rebound by B. Bogdanovic
3:50.0,,,67-73,,J. Jack misses 2-pt shot from 11 ft
3:49.0,Defensive rebound by K. Humphries,,67-73,,
3:35.0,J. Wall makes 2-pt shot from 13 ft,2,69-73,,
3:13.0,,,69-75,2,T. Young makes 2-pt shot from 2 ft
3:03.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,71-75,,
2:43.0,,,71-75,,A. Bargnani misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by K. Oubre,,71-75,,
2:23.0,K. Oubre makes 2-pt shot from 11 ft (assist by K. Humphries),2,73-75,,
2:08.0,,,73-75,,Offensive foul by B. Bogdanovic
2:08.0,,,73-75,,Turnover by B. Bogdanovic (offensive foul)
2:08.0,O. Porter enters the game for J. Dudley,,73-75,,
2:08.0,R. Sessions enters the game for J. Wall,,73-75,,
2:08.0,,,73-75,,S. Larkin enters the game for J. Jack
2:08.0,,,73-75,,W. Ellington enters the game for J. Johnson
1:53.0,K. Humphries makes 3-pt shot from 26 ft (assist by R. Sessions),3,76-75,,
1:38.0,,,76-75,,B. Bogdanovic misses 3-pt shot from 27 ft
1:37.0,Defensive rebound by K. Humphries,,76-75,,
1:33.0,Turnover by R. Sessions (lost ball; steal by T. Young),,76-75,,
1:33.0,Jump ball: R. Sessions vs. T. Young (B. Bogdanovic gains possession),,,,Jump ball: R. Sessions vs. T. Young (B. Bogdanovic gains possession)
1:19.0,,,76-75,,A. Bargnani misses 2-pt shot from 3 ft
1:18.0,Defensive rebound by Team,,76-75,,
1:08.0,K. Humphries misses 2-pt shot from 17 ft,,76-75,,
1:07.0,,,76-75,,Defensive rebound by B. Bogdanovic
0:58.0,,,76-77,2,T. Young makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
0:42.0,O. Porter makes 2-pt shot from 15 ft (assist by G. Temple),2,78-77,,
0:24.0,,,78-77,,Turnover by B. Bogdanovic (lost ball; steal by K. Oubre)
0:20.0,,,78-77,,Personal foul by T. Young (drawn by K. Humphries)
0:20.0,K. Humphries makes free throw 1 of 2,1,79-77,,
0:20.0,J. Eddie enters the game for K. Oubre,,79-77,,
0:20.0,K. Humphries misses free throw 2 of 2,,79-77,,
0:19.0,,,79-77,,Defensive rebound by T. Young
0:09.0,Personal foul by R. Sessions (drawn by S. Larkin),,79-77,,
0:03.0,,,79-77,,B. Bogdanovic misses 3-pt shot from 22 ft
