time,New Orleans,pts.away,score,pts.home,Minnesota
7:16.0,J. Holiday misses 2-pt shot from 1 ft,,106-82,,
7:15.0,,,106-82,,Defensive rebound by A. Payne
7:04.0,,,106-84,2,A. Payne makes 2-pt shot from 15 ft
6:51.0,,,106-84,,Personal foul by A. Payne (drawn by A. Ajinca)
6:51.0,N. Cole enters the game for J. Holiday,,106-84,,
6:39.0,R. Anderson makes 2-pt shot from 17 ft,2,108-84,,
6:30.0,,,108-84,,T. Jones misses 2-pt shot at rim
6:28.0,Defensive rebound by A. Ajinca,,108-84,,
6:19.0,R. Anderson makes 3-pt shot from 25 ft (assist by T. Douglas),3,111-84,,
6:19.0,,,111-84,,Minnesota full timeout
6:08.0,,,111-86,2,N. Bjelica makes 2-pt shot at rim (assist by T. Jones)
5:52.0,A. Ajinca misses 2-pt shot from 5 ft,,111-86,,
5:50.0,,,111-86,,Defensive rebound by N. Bjelica
5:46.0,,,111-86,,S. Muhammad misses 2-pt shot at rim
5:45.0,Defensive rebound by A. Ajinca,,111-86,,
5:33.0,R. Anderson misses 2-pt shot from 20 ft,,111-86,,
