time,Detroit,pts.away,score,pts.home,Atlanta
3:54.0,,,40-47,,K. Bazemore enters the game for D. Schroder
3:54.0,,,40-48,1,P. Millsap makes free throw 2 of 2
3:41.0,R. Jackson makes 2-pt shot from 4 ft,2,42-48,,
3:22.0,,,42-48,,J. Teague misses 2-pt shot from 3 ft
3:21.0,,,42-48,,Offensive rebound by J. Teague
3:18.0,,,42-50,2,T. Splitter makes 2-pt shot from 1 ft (assist by J. Teague)
3:05.0,Turnover by R. Jackson (bad pass; steal by K. Bazemore),,42-50,,
2:52.0,,,42-52,2,T. Splitter makes 2-pt shot from 3 ft (assist by P. Millsap)
2:33.0,,,42-52,,Atlanta full timeout
2:33.0,Technical foul by Team,,42-52,,
2:33.0,A. Tolliver enters the game for E. Ilyasova,,42-52,,
2:33.0,,,42-53,1,J. Teague makes technical free throw
2:26.0,M. Morris misses 2-pt shot from 14 ft,,42-53,,
2:23.0,,,42-53,,Defensive rebound by P. Millsap
2:07.0,,,42-53,,T. Sefolosha misses 2-pt shot from 14 ft
2:05.0,Defensive rebound by R. Jackson,,42-53,,
1:56.0,R. Jackson misses 2-pt shot from 11 ft,,42-53,,
1:52.0,,,42-53,,Defensive rebound by T. Sefolosha
1:43.0,,,42-53,,Shooting foul by R. Jackson (drawn by J. Teague)
1:43.0,,,42-55,2,J. Teague makes 2-pt shot from 6 ft (assist by T. Sefolosha)
1:43.0,S. Blake enters the game for R. Jackson,,42-55,,
1:43.0,,,42-55,,J. Teague misses free throw 1 of 1
1:41.0,Defensive rebound by M. Morris,,42-55,,
1:22.0,A. Baynes misses 2-pt shot from 6 ft,,42-55,,
1:21.0,,,42-55,,Defensive rebound by K. Bazemore
1:09.0,,,42-55,,K. Bazemore misses 2-pt shot from 1 ft
1:07.0,,,42-55,,Offensive rebound by T. Splitter
1:07.0,,,42-57,2,T. Splitter makes 2-pt shot at rim
0:54.0,Turnover by A. Tolliver (lost ball; steal by J. Teague),,42-57,,
0:51.0,,,42-59,2,J. Teague makes 2-pt shot at rim
0:36.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by A. Tolliver),3,45-59,,
0:27.0,,,45-59,,J. Teague misses 2-pt shot from 1 ft (block by A. Baynes)
0:27.0,,,45-59,,Offensive rebound by Team
0:27.0,,,45-59,,Atlanta full timeout
0:27.0,,,45-59,,K. Korver enters the game for T. Splitter
0:13.0,,,45-61,2,J. Teague makes 2-pt shot from 15 ft (assist by P. Millsap)
0:01.0,M. Morris misses 2-pt shot from 13 ft,,45-61,,
0:00.0,,,45-61,,Defensive rebound by K. Bazemore
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,45-61,,
11:44.0,,,45-61,,Defensive rebound by P. Millsap
11:29.0,,,45-63,2,J. Teague makes 2-pt shot from 5 ft
11:10.0,E. Ilyasova misses 2-pt shot from 15 ft,,45-63,,
11:09.0,,,45-63,,Defensive rebound by K. Korver
10:58.0,,,45-63,,K. Korver misses 2-pt shot from 18 ft (block by K. Caldwell-Pope)
10:55.0,Defensive rebound by M. Morris,,45-63,,
10:54.0,Turnover by M. Morris (bad pass; steal by J. Teague),,45-63,,
10:51.0,,,45-65,2,J. Teague makes 2-pt shot at rim
10:39.0,R. Jackson makes 2-pt shot from 11 ft,2,47-65,,
10:34.0,Personal foul by R. Jackson (drawn by J. Teague),,47-65,,
10:25.0,,,47-67,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
10:25.0,Detroit full timeout,,47-67,,
10:06.0,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson),3,50-67,,
9:40.0,,,50-69,2,A. Horford makes 2-pt shot from 13 ft
9:30.0,R. Jackson makes 2-pt shot from 9 ft,2,52-69,,
9:30.0,Shooting foul by J. Teague (drawn by R. Jackson),,52-69,,
9:30.0,R. Jackson makes free throw 1 of 1,1,53-69,,
9:12.0,,,53-69,,Turnover by P. Millsap (lost ball; steal by E. Ilyasova)
9:10.0,K. Caldwell-Pope misses 2-pt shot at rim (block by K. Korver),,53-69,,
9:09.0,,,53-69,,Defensive rebound by Team
9:02.0,Personal foul by K. Caldwell-Pope (drawn by J. Teague),,53-69,,
8:55.0,,,53-69,,P. Millsap misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by A. Drummond,,53-69,,
8:47.0,R. Jackson misses 2-pt shot from 1 ft,,53-69,,
8:47.0,Offensive rebound by Team,,53-69,,
8:47.0,,,53-69,,Loose ball foul by K. Bazemore (drawn by R. Jackson)
8:39.0,Turnover by R. Jackson (bad pass; steal by P. Millsap),,53-69,,
8:16.0,,,53-69,,Turnover by Team (shot clock)
8:04.0,E. Ilyasova misses 3-pt shot from 24 ft,,53-69,,
8:00.0,,,53-69,,Defensive rebound by Team
7:50.0,,,53-72,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
7:42.0,,,53-72,,Personal foul by J. Teague (drawn by R. Jackson)
7:35.0,Turnover by R. Jackson (bad pass; steal by A. Horford),,53-72,,
7:29.0,,,53-74,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
7:05.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,53-74,,
7:04.0,,,53-74,,Defensive rebound by K. Bazemore
6:42.0,,,53-74,,J. Teague misses 2-pt shot from 3 ft
6:41.0,,,53-74,,Offensive rebound by P. Millsap
6:41.0,,,53-74,,Turnover by Team (shot clock)
6:26.0,M. Morris makes 2-pt shot from 8 ft,2,55-74,,
6:02.0,,,55-76,2,P. Millsap makes 2-pt shot at rim
5:44.0,Shooting foul by A. Horford (drawn by M. Morris),,55-76,,
5:44.0,M. Morris misses free throw 1 of 2,,55-76,,
5:44.0,Offensive rebound by Team,,55-76,,
5:44.0,,,55-76,,T. Splitter enters the game for A. Horford
5:44.0,,,55-76,,T. Sefolosha enters the game for K. Korver
5:44.0,M. Morris makes free throw 2 of 2,1,56-76,,
5:24.0,,,56-76,,T. Splitter misses 2-pt shot at rim
5:23.0,Defensive rebound by K. Caldwell-Pope,,56-76,,
5:21.0,Turnover by K. Caldwell-Pope (traveling),,56-76,,
5:11.0,,,56-76,,Shooting foul by E. Ilyasova (drawn by J. Teague)
5:11.0,,,56-77,1,J. Teague makes free throw 1 of 2
5:11.0,,,56-77,,D. Schroder enters the game for K. Bazemore
5:11.0,,,56-78,1,J. Teague makes free throw 2 of 2
4:53.0,M. Morris makes 2-pt shot from 14 ft,2,58-78,,
4:26.0,,,58-78,,T. Sefolosha misses 3-pt shot from 26 ft
4:24.0,,,58-78,,Offensive rebound by J. Teague
4:11.0,,,58-78,,D. Schroder misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by M. Morris,,58-78,,
4:04.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,60-78,,
3:55.0,,,60-78,,Atlanta full timeout
3:55.0,,,60-78,,K. Bazemore enters the game for J. Teague
3:47.0,,,60-78,,Turnover by D. Schroder (bad pass; steal by K. Caldwell-Pope)
3:43.0,K. Caldwell-Pope makes 2-pt shot at rim,2,62-78,,
3:11.0,,,62-78,,D. Schroder misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by E. Ilyasova,,62-78,,
3:03.0,M. Morris makes 2-pt shot from 9 ft (assist by R. Jackson),2,64-78,,
2:49.0,,,64-80,2,K. Bazemore makes 2-pt shot at rim (assist by T. Splitter)
2:39.0,,,64-80,,Personal take foul by T. Splitter (drawn by A. Drummond)
2:39.0,A. Drummond misses free throw 1 of 2,,64-80,,
2:39.0,Offensive rebound by Team,,64-80,,
2:39.0,S. Blake enters the game for K. Caldwell-Pope,,64-80,,
2:39.0,S. Johnson enters the game for R. Jackson,,64-80,,
2:39.0,A. Drummond misses free throw 2 of 2,,64-80,,
2:39.0,,,64-80,,Defensive rebound by Team
2:25.0,,,64-80,,P. Millsap misses 2-pt shot from 6 ft
2:24.0,,,64-80,,Offensive rebound by T. Splitter
2:24.0,,,64-80,,Shooting foul by A. Drummond (drawn by T. Splitter)
2:24.0,,,64-81,1,T. Splitter makes free throw 1 of 2
2:24.0,A. Baynes enters the game for A. Drummond,,64-81,,
2:24.0,,,64-81,,A. Horford enters the game for P. Millsap
2:24.0,,,64-82,1,T. Splitter makes free throw 2 of 2
2:05.0,A. Baynes misses 2-pt shot from 18 ft,,64-82,,
2:03.0,,,64-82,,Defensive rebound by D. Schroder
1:52.0,,,64-82,,T. Splitter misses 2-pt shot from 2 ft
1:51.0,Defensive rebound by E. Ilyasova,,64-82,,
1:43.0,S. Johnson misses 2-pt shot from 3 ft,,64-82,,
1:41.0,,,64-82,,Defensive rebound by K. Bazemore
1:37.0,,,64-82,,K. Bazemore misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by S. Johnson,,64-82,,
1:21.0,M. Morris makes 2-pt shot from 1 ft,2,66-82,,
1:07.0,,,66-82,,D. Schroder misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by A. Baynes,,66-82,,
0:53.0,Offensive foul by A. Baynes,,66-82,,
0:53.0,Turnover by A. Baynes (offensive foul),,66-82,,
0:53.0,,,66-82,,K. Korver enters the game for K. Bazemore
0:39.0,,,66-82,,A. Horford misses 2-pt shot from 2 ft (block by A. Baynes)
0:37.0,Defensive rebound by S. Blake,,66-82,,
0:22.0,S. Blake misses 3-pt shot from 24 ft,,66-82,,
0:22.0,Offensive rebound by Team,,66-82,,
0:22.0,,,66-82,,M. Scott enters the game for T. Splitter
0:03.0,Shooting foul by A. Horford (drawn by A. Baynes),,66-82,,
0:03.0,A. Baynes misses free throw 1 of 2,,66-82,,
0:03.0,Offensive rebound by Team,,66-82,,
0:03.0,A. Baynes makes free throw 2 of 2,1,67-82,,
0:00.0,,,67-82,,A. Horford misses 3-pt shot from 25 ft
0:00.0,,,67-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,67-82,,Turnover by A. Horford (bad pass)
11:35.0,S. Johnson misses 2-pt shot from 2 ft (block by A. Horford),,67-82,,
11:33.0,,,67-82,,Defensive rebound by L. Patterson
11:28.0,,,67-82,,D. Schroder misses 2-pt shot from 1 ft (block by A. Drummond)
11:25.0,,,67-82,,Offensive rebound by M. Scott
11:16.0,Personal foul by A. Drummond (drawn by D. Schroder),,67-82,,
