time,Toronto,pts.away,score,pts.home,Memphis
11:15.0,,,45-53,,Turnover by M. Barnes (lost ball; steal by J. Valanciunas)
11:06.0,Turnover by D. DeRozan (lost ball; steal by J. Farmar),,45-53,,
10:59.0,,,45-53,,M. Barnes misses 2-pt shot from 1 ft
10:57.0,Defensive rebound by K. Lowry,,45-53,,
10:49.0,Shooting foul by J. Farmar (drawn by K. Lowry),,45-53,,
10:49.0,K. Lowry makes free throw 1 of 2,1,46-53,,
10:49.0,K. Lowry makes free throw 2 of 2,1,47-53,,
10:25.0,,,47-56,3,J. Farmar makes 3-pt shot from 22 ft (assist by Z. Randolph)
10:02.0,K. Lowry makes 2-pt shot from 16 ft,2,49-56,,
9:49.0,,,49-56,,T. Allen misses 2-pt shot from 4 ft (block by J. Valanciunas)
9:48.0,,,49-56,,Offensive rebound by C. Andersen
9:37.0,,,49-56,,Z. Randolph misses 2-pt shot from 4 ft
9:35.0,Defensive rebound by J. Valanciunas,,49-56,,
9:22.0,K. Lowry misses 2-pt shot from 6 ft,,49-56,,
9:22.0,,,49-56,,Defensive rebound by Team
9:22.0,Loose ball foul by J. Valanciunas,,49-56,,
9:11.0,,,49-58,2,T. Allen makes 2-pt shot from 1 ft
8:58.0,D. DeRozan makes 2-pt shot from 7 ft,2,51-58,,
8:58.0,Shooting foul by J. Farmar (drawn by D. DeRozan),,51-58,,
8:58.0,D. DeRozan makes free throw 1 of 1,1,52-58,,
8:45.0,Violation by K. Lowry (kicked ball),,52-58,,
8:38.0,,,52-58,,Z. Randolph misses 2-pt shot from 1 ft (block by J. Valanciunas)
8:36.0,,,52-58,,Offensive rebound by Z. Randolph
8:36.0,,,52-58,,Z. Randolph misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by K. Lowry,,52-58,,
8:20.0,Turnover by N. Powell (lost ball; steal by T. Allen),,52-58,,
8:14.0,,,52-60,2,M. Barnes makes 2-pt shot from 1 ft (assist by T. Allen)
7:58.0,K. Lowry makes 3-pt shot from 23 ft (assist by N. Powell),3,55-60,,
7:41.0,,,55-60,,Z. Randolph misses 2-pt shot from 13 ft
7:40.0,,,55-60,,Offensive rebound by T. Allen
7:37.0,,,55-60,,Turnover by T. Allen (lost ball; steal by J. Valanciunas)
7:36.0,,,55-60,,Personal foul by T. Allen
7:22.0,K. Lowry misses 3-pt shot from 25 ft,,55-60,,
7:20.0,,,55-60,,Defensive rebound by T. Allen
7:02.0,,,55-60,,Z. Randolph misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by J. Thompson,,55-60,,
7:00.0,,,55-60,,Personal foul by M. Barnes
6:45.0,,,55-60,,Personal foul by M. Barnes
6:45.0,D. DeRozan makes free throw 1 of 2,1,56-60,,
6:45.0,D. DeRozan makes free throw 2 of 2,1,57-60,,
6:33.0,,,57-60,,T. Allen misses 2-pt shot from 3 ft
6:32.0,Defensive rebound by J. Thompson,,57-60,,
6:19.0,K. Lowry misses 3-pt shot from 26 ft,,57-60,,
6:17.0,,,57-60,,Defensive rebound by C. Andersen
