time,Houston,pts.away,score,pts.home,Charlotte
5:50.0,K. McDaniels misses 3-pt shot from 25 ft,,71-73,,
5:47.0,Offensive rebound by D. Howard,,71-73,,
5:45.0,T. Ariza misses 3-pt shot from 23 ft,,71-73,,
5:43.0,,,71-73,,Defensive rebound by C. Lee
5:21.0,,,71-75,2,C. Lee makes 2-pt shot from 1 ft
5:00.0,K. McDaniels misses 2-pt shot from 1 ft,,71-75,,
4:58.0,,,71-75,,Defensive rebound by N. Batum
4:54.0,Personal foul by T. Ariza,,71-75,,
4:54.0,,,71-75,,Charlotte full timeout
4:54.0,C. Capela enters the game for D. Howard,,71-75,,
4:54.0,,,71-75,,J. Lin enters the game for C. Lee
4:46.0,,,71-78,3,N. Batum makes 3-pt shot from 24 ft (assist by A. Jefferson)
4:21.0,J. Harden makes 2-pt shot from 2 ft (assist by J. Terry),2,73-78,,
4:05.0,,,73-81,3,M. Williams makes 3-pt shot from 22 ft (assist by N. Batum)
3:41.0,J. Terry misses 2-pt shot from 6 ft,,73-81,,
3:41.0,,,73-81,,Defensive rebound by Team
3:41.0,,,73-81,,T. Daniels enters the game for K. Walker
3:27.0,,,73-81,,A. Jefferson misses 2-pt shot from 2 ft
3:26.0,Defensive rebound by T. Ariza,,73-81,,
3:26.0,,,73-81,,Personal foul by M. Williams
3:14.0,C. Capela misses 2-pt shot from 2 ft,,73-81,,
3:13.0,Offensive rebound by C. Capela,,73-81,,
3:13.0,C. Capela makes 2-pt shot from 2 ft,2,75-81,,
2:57.0,,,75-81,,Shooting foul by K. McDaniels (drawn by M. Williams)
2:57.0,Houston full timeout,,75-81,,
2:57.0,,,75-82,1,M. Williams makes free throw 1 of 2
2:57.0,,,75-83,1,M. Williams makes free throw 2 of 2
2:49.0,,,75-83,,Personal foul by J. Lin
2:49.0,,,75-83,,F. Kaminsky enters the game for M. Williams
2:38.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,77-83,,
2:24.0,,,77-83,,J. Lin misses 2-pt shot from 7 ft
