time,Atlanta,pts.away,score,pts.home,Sacramento
5:25.0,D. Schroder misses 3-pt shot from 25 ft,,50-63,,
5:24.0,,,50-63,,Defensive rebound by R. Rondo
5:16.0,,,50-63,,Turnover by B. McLemore (lost ball; steal by D. Schroder)
5:13.0,D. Schroder misses 2-pt shot from 2 ft (block by D. Cousins),,50-63,,
5:13.0,Offensive rebound by Team,,50-63,,
5:13.0,,,50-63,,M. Belinelli enters the game for O. Casspi
5:06.0,K. Korver misses 2-pt shot from 16 ft,,50-63,,
5:06.0,,,50-63,,Defensive rebound by D. Cousins
4:47.0,,,50-65,2,R. Rondo makes 2-pt shot from 16 ft
4:36.0,Turnover by D. Schroder (bad pass; steal by B. McLemore),,50-65,,
4:31.0,,,50-67,2,B. McLemore makes 2-pt shot at rim (assist by R. Rondo)
4:29.0,Atlanta full timeout,,50-67,,
4:29.0,T. Hardaway enters the game for K. Korver,,50-67,,
4:16.0,P. Millsap makes 2-pt shot from 5 ft,2,52-67,,
4:01.0,,,52-67,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:59.0,Defensive rebound by P. Millsap,,52-67,,
3:52.0,D. Schroder misses 3-pt shot from 25 ft,,52-67,,
3:51.0,Offensive rebound by P. Millsap,,52-67,,
3:44.0,T. Splitter makes 2-pt shot from 1 ft (assist by D. Schroder),2,54-67,,
3:30.0,,,54-67,,Q. Acy enters the game for W. Cauley-Stein
3:20.0,,,54-67,,B. McLemore misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by T. Splitter,,54-67,,
3:10.0,D. Schroder misses 3-pt shot from 24 ft,,54-67,,
3:10.0,,,54-67,,Defensive rebound by M. Belinelli
3:07.0,,,54-69,2,Q. Acy makes 2-pt shot at rim (assist by M. Belinelli)
2:45.0,P. Millsap makes 2-pt shot from 8 ft (assist by D. Schroder),2,56-69,,
2:25.0,,,56-69,,Q. Acy misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by T. Hardaway,,56-69,,
2:12.0,Shooting foul by Q. Acy (drawn by P. Millsap),,56-69,,
2:12.0,P. Millsap makes free throw 1 of 2,1,57-69,,
2:12.0,,,57-69,,D. Collison enters the game for R. Rondo
2:12.0,A. Horford enters the game for T. Splitter,,57-69,,
2:12.0,P. Millsap makes free throw 2 of 2,1,58-69,,
1:48.0,,,58-69,,D. Cousins misses 2-pt shot from 10 ft
1:47.0,Defensive rebound by P. Millsap,,58-69,,
1:33.0,,,58-69,,Shooting block foul by D. Cousins (drawn by T. Hardaway)
1:33.0,T. Hardaway makes free throw 1 of 2,1,59-69,,
1:33.0,T. Hardaway makes free throw 2 of 2,1,60-69,,
1:18.0,,,60-69,,Turnover by D. Cousins (bad pass; steal by A. Horford)
1:14.0,T. Hardaway misses 2-pt shot from 3 ft (block by B. McLemore),,60-69,,
1:12.0,,,60-69,,Defensive rebound by D. Cousins
1:10.0,Personal foul by T. Hardaway (drawn by D. Cousins),,60-69,,
1:05.0,,,60-69,,Shooting foul by P. Millsap (drawn by B. McLemore)
1:05.0,,,60-69,,B. McLemore misses free throw 1 of 2
1:05.0,,,60-69,,Offensive rebound by Team
1:05.0,,,60-69,,K. Koufos enters the game for D. Cousins
1:05.0,M. Scott enters the game for P. Millsap,,60-69,,
1:05.0,,,60-69,,Technical foul by D. Cousins
1:05.0,D. Schroder makes technical free throw,1,61-69,,
1:05.0,,,61-70,1,B. McLemore makes free throw 2 of 2
0:59.0,Turnover by D. Schroder (step out of bounds),,61-70,,
0:47.0,,,61-70,,M. Belinelli misses 3-pt shot from 24 ft
0:47.0,,,61-70,,Offensive rebound by K. Koufos
0:32.0,,,61-70,,B. McLemore misses 2-pt shot from 20 ft
0:30.0,,,61-70,,Offensive rebound by K. Koufos
0:11.0,,,61-72,2,K. Koufos makes 2-pt shot from 9 ft (assist by M. Belinelli)
0:03.0,D. Schroder makes 2-pt shot from 2 ft,2,63-72,,
