time,Phoenix,pts.away,score,pts.home,San Antonio
3:00.0,,,77-90,,Offensive rebound by T. Duncan
3:00.0,Loose ball foul by M. Morris (drawn by T. Duncan),,77-90,,
3:00.0,T. Warren enters the game for P. Tucker,,77-90,,
2:54.0,,,77-90,,D. Green misses 2-pt shot from 15 ft
2:52.0,Defensive rebound by D. Booker,,77-90,,
2:45.0,M. Teletovic misses 3-pt shot from 25 ft,,77-90,,
2:44.0,,,77-90,,Defensive rebound by D. Green
2:38.0,,,77-93,3,P. Mills makes 3-pt shot from 24 ft (assist by T. Parker)
2:21.0,T. Warren makes 2-pt shot from 14 ft (assist by B. Knight),2,79-93,,
2:05.0,,,79-95,2,P. Mills makes 2-pt shot from 2 ft (assist by T. Parker)
1:50.0,B. Knight makes 2-pt shot at rim,2,81-95,,
1:34.0,,,81-98,3,D. Green makes 3-pt shot from 22 ft (assist by T. Parker)
1:28.0,,,81-98,,Personal take foul by P. Mills (drawn by B. Knight)
1:28.0,J. Leuer enters the game for M. Morris,,81-98,,
1:28.0,R. Price enters the game for B. Knight,,81-98,,
1:28.0,A. Goodwin enters the game for D. Booker,,81-98,,
1:28.0,,,81-98,,K. Anderson enters the game for K. Leonard
1:28.0,,,81-98,,R. McCallum enters the game for T. Duncan
1:28.0,,,81-98,,J. Simmons enters the game for D. Green
1:28.0,,,81-98,,R. Butler enters the game for T. Parker
1:28.0,,,81-98,,B. Diaw enters the game for P. Mills
1:28.0,S. Weems enters the game for M. Teletovic,,81-98,,
1:21.0,Turnover by J. Leuer (bad pass; steal by K. Anderson),,81-98,,
0:58.0,,,81-98,,Turnover by Team (shot clock)
0:40.0,S. Weems misses 3-pt shot from 24 ft,,81-98,,
0:38.0,,,81-98,,Defensive rebound by Team
0:26.0,,,81-98,,Turnover by K. Anderson (bad pass; steal by S. Weems)
0:21.0,T. Warren makes 2-pt shot from 1 ft (assist by S. Weems),2,83-98,,
