time,Golden State,pts.away,score,pts.home,Denver
1:50.0,F. Ezeli misses 2-pt shot from 3 ft,,86-73,,
1:48.0,Offensive rebound by F. Ezeli,,86-73,,
1:46.0,F. Ezeli misses 2-pt shot from 1 ft,,86-73,,
1:46.0,,,86-73,,Defensive rebound by D. Gallinari
1:43.0,,,86-73,,Shooting foul by S. Livingston (drawn by D. Gallinari)
1:43.0,,,86-74,1,D. Gallinari makes free throw 1 of 2
1:43.0,L. Barbosa enters the game for S. Curry,,86-74,,
1:43.0,,,86-75,1,D. Gallinari makes free throw 2 of 2
1:24.0,Shooting foul by D. Arthur (drawn by F. Ezeli),,86-75,,
1:24.0,F. Ezeli misses free throw 1 of 2,,86-75,,
1:24.0,Offensive rebound by Team,,86-75,,
1:24.0,,,86-75,,E. Mudiay enters the game for D. Gallinari
1:24.0,F. Ezeli makes free throw 2 of 2,1,87-75,,
1:03.0,,,87-75,,E. Mudiay misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by F. Ezeli,,87-75,,
0:54.0,F. Ezeli misses 2-pt shot at rim,,87-75,,
0:53.0,,,87-75,,Defensive rebound by J. Nelson
0:51.0,,,87-77,2,D. Arthur makes 2-pt shot at rim (assist by E. Mudiay)
0:38.0,A. Iguodala makes 3-pt shot from 24 ft (assist by L. Barbosa),3,90-77,,
0:26.0,,,90-79,2,E. Mudiay makes 2-pt shot from 2 ft (assist by J. Nelson)
0:15.0,,,90-79,,Personal take foul by J. Nelson (drawn by F. Ezeli)
0:15.0,F. Ezeli misses free throw 1 of 2,,90-79,,
0:15.0,Offensive rebound by Team,,90-79,,
0:15.0,F. Ezeli makes free throw 2 of 2,1,91-79,,
0:02.0,,,91-79,,E. Mudiay misses 3-pt shot from 25 ft (block by A. Iguodala)
0:00.0,Defensive rebound by L. Barbosa,,91-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,L. Barbosa makes 2-pt shot from 16 ft,2,93-79,,
11:22.0,,,93-79,,R. Foye misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by M. Speights,,93-79,,
11:09.0,A. Iguodala makes 2-pt shot from 10 ft,2,95-79,,
10:54.0,,,95-79,,Shooting foul by M. Speights (drawn by E. Mudiay)
10:54.0,,,95-80,1,E. Mudiay makes free throw 1 of 2
10:54.0,,,95-81,1,E. Mudiay makes free throw 2 of 2
10:38.0,L. Barbosa misses 3-pt shot from 26 ft,,95-81,,
10:38.0,Offensive rebound by I. Clark,,95-81,,
10:30.0,Turnover by I. Clark (lost ball),,95-81,,
10:15.0,,,95-83,2,W. Barton makes 2-pt shot from 3 ft
10:15.0,,,95-83,,Shooting foul by I. Clark (drawn by W. Barton)
10:15.0,,,95-84,1,W. Barton makes free throw 1 of 1
9:59.0,M. Speights misses 2-pt shot from 19 ft,,95-84,,
9:58.0,,,95-84,,Defensive rebound by W. Barton
9:46.0,,,95-84,,E. Mudiay misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by Team,,95-84,,
9:31.0,I. Clark makes 2-pt shot from 2 ft (assist by A. Iguodala),2,97-84,,
9:13.0,,,97-84,,Turnover by W. Barton (bad pass; steal by A. Iguodala)
9:09.0,I. Clark makes 2-pt shot from 1 ft (assist by L. Barbosa),2,99-84,,
9:09.0,,,99-84,,Denver full timeout
8:50.0,,,99-84,,R. Foye misses 2-pt shot from 2 ft (block by I. Clark)
8:48.0,Defensive rebound by M. Speights,,99-84,,
8:40.0,I. Clark misses 3-pt shot from 26 ft,,99-84,,
8:38.0,Offensive rebound by M. Speights,,99-84,,
8:38.0,M. Speights makes 2-pt shot from 2 ft,2,101-84,,
8:32.0,,,101-84,,Offensive foul by E. Mudiay
