time,Denver,pts.away,score,pts.home,Atlanta
3:25.0,,,68-80,,P. Millsap misses 2-pt shot from 2 ft
3:23.0,Defensive rebound by J. Nurkic,,68-80,,
3:17.0,G. Harris misses 3-pt shot from 24 ft,,68-80,,
3:16.0,Offensive rebound by G. Harris,,68-80,,
3:12.0,G. Harris makes 2-pt shot from 6 ft,2,70-80,,
2:54.0,,,70-80,,D. Schroder misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by Team,,70-80,,
2:35.0,Turnover by J. Nurkic (lost ball; steal by T. Sefolosha),,70-80,,
2:27.0,,,70-80,,D. Schroder misses 3-pt shot from 23 ft
2:26.0,,,70-80,,Offensive rebound by K. Humphries
2:26.0,Personal foul by G. Harris,,70-80,,
2:26.0,,,70-80,,K. Humphries misses free throw 1 of 2
2:26.0,,,70-80,,Offensive rebound by Team
2:26.0,,,70-80,,A. Horford enters the game for P. Millsap
2:26.0,,,70-81,1,K. Humphries makes free throw 2 of 2
2:05.0,J. Lauvergne makes 2-pt shot from 6 ft (assist by J. Nurkic),2,72-81,,
1:50.0,,,72-81,,Shooting foul by W. Barton (drawn by T. Sefolosha)
1:50.0,,,72-82,1,T. Sefolosha makes free throw 1 of 2
1:50.0,,,72-82,,M. Scott enters the game for K. Humphries
1:50.0,,,72-83,1,T. Sefolosha makes free throw 2 of 2
1:36.0,D. Augustin misses 2-pt shot from 15 ft,,72-83,,
1:34.0,,,72-83,,Defensive rebound by K. Hinrich
1:22.0,,,72-85,2,D. Schroder makes 2-pt shot from 2 ft (assist by T. Sefolosha)
1:02.0,G. Harris makes 2-pt shot at rim (assist by J. Nurkic),2,74-85,,
0:48.0,,,74-87,2,D. Schroder makes 2-pt shot from 1 ft (assist by A. Horford)
0:31.0,G. Harris makes 2-pt shot from 16 ft (assist by D. Augustin),2,76-87,,
0:14.0,,,76-87,,Turnover by K. Hinrich (step out of bounds)
0:02.0,,,76-87,,Personal foul by D. Schroder
0:00.0,W. Barton misses 2-pt shot from 19 ft,,76-87,,
0:00.0,Offensive rebound by Team,,76-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,D. Augustin misses 3-pt shot from 25 ft,,76-87,,
11:32.0,,,76-87,,Defensive rebound by K. Hinrich
11:19.0,,,76-87,,Shooting foul by J. Nurkic (drawn by D. Schroder)
11:19.0,,,76-88,1,D. Schroder makes free throw 1 of 2
11:19.0,,,76-89,1,D. Schroder makes free throw 2 of 2
11:03.0,W. Barton makes 3-pt shot from 24 ft (assist by D. Augustin),3,79-89,,
10:43.0,,,79-92,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by M. Scott)
10:26.0,D. Augustin makes 2-pt shot from 18 ft,2,81-92,,
10:09.0,,,81-92,,T. Sefolosha misses 2-pt shot at rim (block by J. Nurkic)
10:06.0,Defensive rebound by D. Augustin,,81-92,,
10:01.0,Turnover by D. Augustin (lost ball; steal by M. Scott),,81-92,,
9:56.0,,,81-92,,Turnover by M. Scott (lost ball; steal by A. Toupane)
9:47.0,Shooting foul by M. Scott (drawn by J. Lauvergne),,81-92,,
9:47.0,J. Lauvergne makes free throw 1 of 2,1,82-92,,
9:47.0,,,82-92,,K. Korver enters the game for K. Hinrich
9:47.0,J. Lauvergne makes free throw 2 of 2,1,83-92,,
9:34.0,,,83-95,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by A. Horford)
9:12.0,J. Nurkic makes 2-pt shot from 6 ft (assist by W. Barton),2,85-95,,
9:00.0,,,85-95,,T. Sefolosha misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by Team,,85-95,,
8:57.0,Official timeout,,85-95,,
8:57.0,,,85-95,,J. Teague enters the game for D. Schroder
8:57.0,,,85-95,,P. Millsap enters the game for M. Scott
8:44.0,Turnover by D. Augustin (bad pass),,85-95,,
8:26.0,,,85-95,,J. Teague misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by W. Barton,,85-95,,
8:13.0,W. Barton misses 2-pt shot from 12 ft,,85-95,,
8:11.0,Offensive rebound by J. Nurkic,,85-95,,
8:10.0,J. Nurkic misses 2-pt shot at rim,,85-95,,
8:09.0,,,85-95,,Defensive rebound by P. Millsap
8:08.0,Personal foul by A. Toupane,,85-95,,
7:51.0,,,85-97,2,J. Teague makes 2-pt shot from 18 ft
7:33.0,A. Toupane misses 3-pt shot from 23 ft,,85-97,,
7:31.0,,,85-97,,Defensive rebound by K. Korver
7:26.0,,,85-99,2,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague)
7:26.0,Denver full timeout,,85-99,,
7:26.0,,,85-99,,K. Humphries enters the game for A. Horford
7:26.0,Violation by Team (delay of game),,85-99,,
7:12.0,D. Augustin misses 3-pt shot from 25 ft,,85-99,,
7:09.0,,,85-99,,Defensive rebound by K. Humphries
7:00.0,,,85-101,2,J. Teague makes 2-pt shot from 1 ft
6:35.0,Shooting foul by K. Humphries (drawn by D. Augustin),,85-101,,
6:35.0,D. Augustin misses free throw 1 of 2,,85-101,,
6:35.0,Offensive rebound by Team,,85-101,,
6:35.0,,,85-101,,T. Hardaway enters the game for T. Sefolosha
6:35.0,G. Harris enters the game for A. Toupane,,85-101,,
6:35.0,E. Mudiay enters the game for W. Barton,,85-101,,
6:35.0,D. Augustin makes free throw 2 of 2,1,86-101,,
6:24.0,,,86-103,2,P. Millsap makes 2-pt shot from 19 ft (assist by T. Hardaway)
6:12.0,D. Augustin makes 3-pt shot from 25 ft,3,89-103,,
5:54.0,,,89-103,,P. Millsap misses 2-pt shot from 13 ft
5:49.0,,,89-103,,Offensive rebound by T. Hardaway
5:37.0,,,89-103,,Shooting foul by J. Nurkic (drawn by J. Teague)
5:37.0,,,89-103,,Atlanta full timeout
5:37.0,N. Jokic enters the game for J. Nurkic,,89-103,,
5:37.0,,,89-104,1,J. Teague makes free throw 1 of 2
5:37.0,,,89-105,1,J. Teague makes free throw 2 of 2
5:20.0,E. Mudiay misses 3-pt shot from 24 ft,,89-105,,
5:19.0,,,89-105,,Defensive rebound by P. Millsap
5:14.0,,,89-105,,Shooting foul by G. Harris (drawn by T. Hardaway)
5:14.0,,,89-106,1,T. Hardaway makes free throw 1 of 2
5:14.0,,,89-107,1,T. Hardaway makes free throw 2 of 2
4:58.0,N. Jokic makes 2-pt shot from 6 ft (assist by J. Lauvergne),2,91-107,,
4:45.0,,,91-107,,Turnover by P. Millsap (lost ball)
4:45.0,,,91-107,,M. Scott enters the game for P. Millsap
4:37.0,,,91-107,,Shooting block foul by K. Humphries (drawn by E. Mudiay)
4:37.0,E. Mudiay makes free throw 1 of 2,1,92-107,,
4:37.0,E. Mudiay makes free throw 2 of 2,1,93-107,,
4:17.0,,,93-107,,Shooting foul by D. Augustin (drawn by K. Humphries)
4:17.0,,,93-108,1,K. Humphries makes free throw 1 of 2
4:17.0,,,93-108,,T. Sefolosha enters the game for K. Korver
4:17.0,,,93-109,1,K. Humphries makes free throw 2 of 2
4:10.0,Shooting foul by J. Teague (drawn by E. Mudiay),,93-109,,
4:10.0,E. Mudiay misses free throw 1 of 2,,93-109,,
4:10.0,Offensive rebound by Team,,93-109,,
4:10.0,E. Mudiay makes free throw 2 of 2,1,94-109,,
3:48.0,,,94-109,,T. Hardaway misses 2-pt shot from 13 ft
3:46.0,,,94-109,,Offensive rebound by J. Teague
3:32.0,,,94-109,,J. Teague misses 2-pt shot from 1 ft (block by N. Jokic)
3:30.0,Defensive rebound by J. Lauvergne,,94-109,,
