time,Boston,pts.away,score,pts.home,Golden State
1:28.0,,,78-75,,Shooting foul by A. Bradley (drawn by A. Varejao)
1:28.0,,,78-75,,A. Varejao misses free throw 1 of 2
1:28.0,,,78-75,,Offensive rebound by Team
1:28.0,J. Jerebko enters the game for A. Johnson,,78-75,,
1:28.0,,,78-76,1,A. Varejao makes free throw 2 of 2
1:14.0,Turnover by K. Olynyk (lost ball; steal by D. Green),,78-76,,
1:04.0,,,78-79,3,S. Curry makes 3-pt shot from 23 ft (assist by S. Livingston)
0:47.0,,,78-79,,Personal foul by S. Livingston
0:47.0,K. Olynyk makes free throw 1 of 2,1,79-79,,
0:47.0,K. Olynyk makes free throw 2 of 2,1,80-79,,
0:33.0,,,80-79,,Turnover by S. Curry (lost ball; steal by A. Bradley)
0:27.0,Shooting foul by A. Varejao (drawn by A. Bradley),,80-79,,
0:27.0,A. Bradley makes free throw 1 of 2,1,81-79,,
0:27.0,,,81-79,,H. Barnes enters the game for A. Varejao
0:27.0,A. Bradley makes free throw 2 of 2,1,82-79,,
0:04.0,,,82-79,,H. Barnes misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by M. Smart,,82-79,,
0:00.0,M. Smart misses 3-pt shot from 55 ft,,82-79,,
0:00.0,Offensive rebound by Team,,82-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,82-81,2,H. Barnes makes 2-pt shot from 8 ft
11:26.0,T. Rozier misses 2-pt shot from 6 ft (block by M. Speights),,82-81,,
11:26.0,Offensive rebound by Team,,82-81,,
11:19.0,K. Olynyk makes 2-pt shot from 7 ft (assist by E. Turner),2,84-81,,
11:00.0,,,84-83,2,S. Livingston makes 2-pt shot from 11 ft
10:46.0,E. Turner misses 2-pt shot from 18 ft,,84-83,,
10:46.0,Offensive rebound by Team,,84-83,,
10:43.0,J. Jerebko makes 2-pt shot at rim (assist by E. Turner),2,86-83,,
10:29.0,,,86-83,,M. Speights misses 2-pt shot from 10 ft
10:28.0,Defensive rebound by Team,,86-83,,
10:06.0,E. Turner makes 2-pt shot from 11 ft,2,88-83,,
9:49.0,,,88-83,,L. Barbosa misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by M. Smart,,88-83,,
9:31.0,M. Smart makes 2-pt shot from 2 ft,2,90-83,,
9:18.0,,,90-83,,Golden State full timeout
9:18.0,,,90-83,,I. Clark enters the game for L. Barbosa
9:05.0,,,90-83,,K. Thompson misses 2-pt shot from 17 ft
9:04.0,Defensive rebound by T. Rozier,,90-83,,
8:41.0,M. Smart makes 3-pt shot from 24 ft,3,93-83,,
8:20.0,Personal block foul by K. Olynyk,,93-83,,
8:13.0,,,93-85,2,M. Speights makes 2-pt shot at rim (assist by K. Thompson)
7:52.0,E. Turner makes 2-pt shot from 18 ft,2,95-85,,
7:44.0,,,95-85,,Turnover by S. Livingston (lost ball; steal by K. Olynyk)
7:34.0,K. Olynyk misses 2-pt shot from 1 ft,,95-85,,
7:32.0,Offensive rebound by K. Olynyk,,95-85,,
7:32.0,K. Olynyk misses 2-pt shot from 1 ft,,95-85,,
7:30.0,,,95-85,,Defensive rebound by H. Barnes
7:29.0,,,95-85,,Offensive foul by H. Barnes
7:29.0,,,95-85,,Turnover by H. Barnes (offensive foul)
7:20.0,,,95-85,,Personal foul by S. Livingston
7:20.0,,,95-85,,D. Green enters the game for M. Speights
7:20.0,,,95-85,,S. Curry enters the game for S. Livingston
7:08.0,Turnover by E. Turner (lost ball; steal by D. Green),,95-85,,
7:00.0,,,95-85,,Turnover by D. Green (bad pass)
6:46.0,K. Olynyk misses 2-pt shot from 4 ft (block by I. Clark),,95-85,,
6:46.0,,,95-85,,Defensive rebound by Team
6:46.0,,,95-85,,L. Barbosa enters the game for I. Clark
6:38.0,,,95-85,,S. Curry misses 3-pt shot from 29 ft
6:37.0,Defensive rebound by T. Rozier,,95-85,,
6:30.0,K. Olynyk misses 3-pt shot from 26 ft,,95-85,,
6:29.0,,,95-85,,Defensive rebound by Team
6:29.0,Loose ball foul by J. Jerebko,,95-85,,
