time,Atlanta,pts.away,score,pts.home,Boston
8:29.0,,,49-50,1,I. Thomas makes free throw 1 of 1
8:15.0,K. Bazemore makes 2-pt shot at rim,2,51-50,,
8:06.0,,,51-52,2,I. Thomas makes 2-pt shot from 4 ft
7:51.0,A. Horford misses 3-pt shot from 23 ft,,51-52,,
7:50.0,Offensive rebound by J. Teague,,51-52,,
7:46.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,53-52,,
7:28.0,,,53-54,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Bradley)
7:14.0,K. Bazemore misses 3-pt shot from 24 ft,,53-54,,
7:14.0,,,53-54,,Defensive rebound by D. Lee
7:01.0,,,53-54,,D. Lee misses 2-pt shot from 1 ft
7:00.0,Defensive rebound by J. Teague,,53-54,,
6:54.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague),3,56-54,,
6:43.0,Personal block foul by K. Bazemore (drawn by I. Thomas),,56-54,,
6:43.0,T. Splitter enters the game for P. Millsap,,56-54,,
6:37.0,,,56-56,2,I. Thomas makes 2-pt shot from 2 ft
6:20.0,Offensive foul by A. Horford,,56-56,,
6:20.0,Turnover by A. Horford (offensive foul),,56-56,,
6:06.0,,,56-59,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
5:50.0,J. Teague misses 2-pt shot from 2 ft,,56-59,,
5:48.0,,,56-59,,Defensive rebound by J. Crowder
5:43.0,,,56-59,,Shooting foul by K. Korver (drawn by J. Sullinger)
5:43.0,,,56-59,,Boston full timeout
5:43.0,T. Sefolosha enters the game for K. Bazemore,,56-59,,
5:43.0,,,56-59,,J. Sullinger misses free throw 1 of 2
5:43.0,,,56-59,,Offensive rebound by Team
5:43.0,,,56-60,1,J. Sullinger makes free throw 2 of 2
5:31.0,K. Korver makes 2-pt shot from 18 ft,2,58-60,,
5:13.0,,,58-60,,D. Lee misses 2-pt shot from 1 ft
5:12.0,,,58-60,,Offensive rebound by D. Lee
5:12.0,,,58-60,,D. Lee misses 2-pt shot from 1 ft
5:11.0,,,58-60,,Offensive rebound by J. Sullinger
5:11.0,,,58-60,,Shooting foul by T. Splitter (drawn by J. Sullinger)
5:11.0,,,58-61,1,J. Sullinger makes free throw 1 of 2
5:11.0,,,58-61,,J. Sullinger misses free throw 2 of 2
5:10.0,Defensive rebound by T. Sefolosha,,58-61,,
5:02.0,K. Korver misses 3-pt shot from 25 ft,,58-61,,
5:01.0,,,58-61,,Defensive rebound by Team
4:43.0,,,58-61,,Turnover by I. Thomas (lost ball)
4:43.0,P. Millsap enters the game for A. Horford,,58-61,,
4:32.0,Atlanta full timeout,,58-61,,
4:32.0,D. Schroder enters the game for J. Teague,,58-61,,
4:29.0,P. Millsap misses 3-pt shot from 24 ft,,58-61,,
4:28.0,,,58-61,,Defensive rebound by J. Crowder
4:15.0,,,58-61,,D. Lee misses 2-pt shot from 2 ft
4:12.0,,,58-61,,Offensive rebound by J. Sullinger
