time,Sacramento,pts.away,score,pts.home,Minnesota
3:19.0,,,88-89,,Turnover by A. Wiggins (offensive foul)
3:19.0,,,88-89,,Offensive charge foul by A. Wiggins
3:19.0,,,88-89,,K. Towns enters the game for G. Dieng
3:05.0,R. Gay misses 2-pt shot from 1 ft,,88-89,,
3:04.0,Offensive rebound by D. Cousins,,88-89,,
3:03.0,D. Cousins makes 2-pt shot at rim,2,90-89,,
2:52.0,,,90-89,,Turnover by A. Wiggins (lost ball; steal by R. Rondo)
2:26.0,R. Rondo misses 3-pt shot from 23 ft,,90-89,,
2:25.0,,,90-89,,Defensive rebound by S. Muhammad
2:15.0,,,90-89,,K. Towns misses 2-pt shot from 2 ft
2:14.0,,,90-89,,Offensive rebound by A. Wiggins
2:11.0,Personal foul by D. Cousins (drawn by K. Towns),,90-89,,
2:11.0,Sacramento full timeout,,90-89,,
2:04.0,,,90-91,2,A. Wiggins makes 2-pt shot from 2 ft
1:48.0,R. Gay misses 3-pt shot from 25 ft,,90-91,,
1:47.0,Offensive rebound by R. Rondo,,90-91,,
1:37.0,R. Gay misses 2-pt shot from 14 ft,,90-91,,
1:36.0,,,90-91,,Defensive rebound by A. Wiggins
1:20.0,Personal foul by R. Rondo (drawn by A. Wiggins),,90-91,,
1:20.0,,,90-92,1,A. Wiggins makes free throw 1 of 2
1:20.0,,,90-93,1,A. Wiggins makes free throw 2 of 2
1:10.0,Offensive foul by R. Rondo,,90-93,,
1:10.0,Turnover by R. Rondo (offensive foul),,90-93,,
0:54.0,,,90-93,,S. Muhammad misses 3-pt shot from 24 ft
0:52.0,,,90-93,,Offensive rebound by R. Rubio
0:47.0,,,90-93,,Minnesota full timeout
0:30.0,,,90-93,,A. Wiggins misses 2-pt shot from 20 ft
0:29.0,Defensive rebound by Team,,90-93,,
