time,Philadelphia,pts.away,score,pts.home,Toronto
5:53.0,J. Grant misses 2-pt shot from 16 ft,,86-101,,
5:53.0,,,86-101,,Defensive rebound by N. Powell
5:35.0,,,86-101,,N. Powell misses 3-pt shot from 24 ft
5:35.0,,,86-101,,Offensive rebound by Team
5:35.0,Loose ball foul by J. Grant,,86-101,,
5:35.0,T. McConnell enters the game for J. Grant,,86-101,,
5:35.0,N. Noel enters the game for H. Thompson,,86-101,,
5:27.0,,,86-101,,T. Ross misses 2-pt shot from 4 ft (block by R. Covington)
5:26.0,Defensive rebound by N. Noel,,86-101,,
5:18.0,I. Smith makes 2-pt shot from 2 ft,2,88-101,,
5:03.0,Personal foul by N. Stauskas,,88-101,,
4:52.0,,,88-101,,T. Ross misses 3-pt shot from 23 ft
4:51.0,,,88-101,,Offensive rebound by J. Thompson
4:51.0,,,88-101,,Shooting foul by N. Noel (drawn by J. Thompson)
4:51.0,,,88-102,1,J. Thompson makes free throw 1 of 2
4:51.0,,,88-103,1,J. Thompson makes free throw 2 of 2
4:44.0,,,88-103,,Violation by T. Ross (kicked ball)
4:37.0,Shooting foul by B. Biyombo (drawn by R. Covington),,88-103,,
4:37.0,R. Covington makes free throw 1 of 2,1,89-103,,
4:37.0,R. Covington makes free throw 2 of 2,1,90-103,,
4:22.0,,,90-103,,D. Wright misses 2-pt shot from 18 ft
4:22.0,Defensive rebound by T. McConnell,,90-103,,
4:13.0,T. McConnell misses 2-pt shot from 11 ft,,90-103,,
4:13.0,Offensive rebound by I. Smith,,90-103,,
4:07.0,N. Stauskas misses 3-pt shot from 22 ft,,90-103,,
4:07.0,,,90-103,,Defensive rebound by J. Thompson
3:57.0,,,90-103,,Shooting foul by N. Noel (drawn by D. Wright)
3:57.0,,,90-104,1,D. Wright makes free throw 1 of 2
3:57.0,,,90-104,,L. Nogueira enters the game for B. Biyombo
3:57.0,H. Thompson enters the game for R. Covington,,90-104,,
3:57.0,,,90-105,1,D. Wright makes free throw 2 of 2
3:49.0,Turnover by I. Smith (lost ball; steal by T. Ross),,90-105,,
3:43.0,,,90-107,2,L. Nogueira makes 2-pt shot at rim (assist by T. Ross)
3:43.0,Philadelphia full timeout,,90-107,,
3:27.0,Turnover by N. Stauskas (lost ball; steal by D. Wright),,90-107,,
3:21.0,,,90-109,2,L. Nogueira makes 2-pt shot at rim (assist by D. Wright)
3:12.0,H. Thompson misses 3-pt shot from 26 ft,,90-109,,
