time,New Orleans,pts.away,score,pts.home,Milwaukee
9:45.0,,,75-79,,Turnover by J. Parker (traveling)
9:45.0,D. Cunningham enters the game for L. Babbitt,,75-79,,
9:30.0,R. Anderson misses 2-pt shot from 20 ft,,75-79,,
9:29.0,,,75-79,,Defensive rebound by J. Bayless
9:26.0,Shooting block foul by R. Anderson (drawn by J. Parker),,75-79,,
9:26.0,,,75-80,1,J. Parker makes free throw 1 of 2
9:26.0,,,75-81,1,J. Parker makes free throw 2 of 2
9:08.0,Turnover by J. Holiday (lost ball; steal by K. Middleton),,75-81,,
9:06.0,,,75-81,,Offensive foul by G. Antetokounmpo
9:06.0,,,75-81,,Turnover by G. Antetokounmpo (offensive foul)
9:06.0,A. Davis enters the game for K. Perkins,,75-81,,
8:43.0,A. Davis misses 2-pt shot from 18 ft,,75-81,,
8:42.0,,,75-81,,Defensive rebound by K. Middleton
8:35.0,,,75-83,2,K. Middleton makes 2-pt shot from 1 ft
8:32.0,New Orleans full timeout,,75-83,,
8:32.0,,,75-83,,J. O'Bryant enters the game for J. Parker
8:22.0,,,75-83,,Personal foul by J. Bayless
8:15.0,A. Davis makes 3-pt shot from 24 ft,3,78-83,,
7:58.0,,,78-83,,M. Plumlee misses 2-pt shot from 2 ft (block by J. Holiday)
7:56.0,Defensive rebound by D. Cunningham,,78-83,,
7:45.0,J. Holiday makes 2-pt shot at rim,2,80-83,,
7:24.0,,,80-83,,Shooting foul by R. Anderson (drawn by G. Antetokounmpo)
7:24.0,,,80-84,1,G. Antetokounmpo makes free throw 1 of 2
7:24.0,,,80-84,,G. Antetokounmpo misses free throw 2 of 2
7:23.0,Defensive rebound by J. Holiday,,80-84,,
7:12.0,Turnover by J. Holiday (lost ball; steal by J. O'Bryant),,80-84,,
7:09.0,Personal foul by J. Holiday,,80-84,,
7:09.0,T. Douglas enters the game for J. Holiday,,80-84,,
7:01.0,,,80-84,,Turnover by K. Middleton (lost ball; steal by A. Davis)
6:51.0,A. Davis misses 3-pt shot from 24 ft,,80-84,,
6:50.0,,,80-84,,Defensive rebound by G. Antetokounmpo
6:40.0,,,80-87,3,J. Bayless makes 3-pt shot from 24 ft
6:28.0,,,80-87,,Personal foul by K. Middleton
6:26.0,Turnover by D. Cunningham (lost ball; steal by J. Bayless),,80-87,,
6:22.0,,,80-89,2,J. Bayless makes 2-pt shot at rim
6:09.0,A. Davis makes 2-pt shot from 6 ft (assist by T. Douglas),2,82-89,,
5:47.0,,,82-89,,J. Bayless misses 2-pt shot from 12 ft
5:44.0,,,82-89,,Offensive rebound by J. Bayless
5:43.0,,,82-91,2,J. Bayless makes 2-pt shot from 1 ft
5:33.0,R. Anderson misses 3-pt shot from 27 ft,,82-91,,
5:32.0,,,82-91,,Defensive rebound by K. Middleton
5:23.0,,,82-93,2,K. Middleton makes 2-pt shot from 16 ft
5:22.0,New Orleans full timeout,,82-93,,
5:22.0,Official timeout,,82-93,,
5:22.0,J. Holiday enters the game for D. Cunningham,,82-93,,
5:22.0,L. Babbitt enters the game for T. Douglas,,82-93,,
5:22.0,,,82-93,,J. Parker enters the game for G. Antetokounmpo
5:22.0,,,82-93,,G. Monroe enters the game for M. Plumlee
5:13.0,J. Holiday misses 2-pt shot from 17 ft,,82-93,,
5:12.0,,,82-93,,Defensive rebound by K. Middleton
4:59.0,,,82-95,2,K. Middleton makes 2-pt shot from 22 ft
4:41.0,Shooting foul by J. Parker (drawn by A. Gee),,82-95,,
4:41.0,A. Gee misses free throw 1 of 2,,82-95,,
4:41.0,Offensive rebound by Team,,82-95,,
4:41.0,A. Gee misses free throw 2 of 2,,82-95,,
4:40.0,,,82-95,,Defensive rebound by G. Monroe
4:23.0,,,82-95,,K. Middleton misses 2-pt shot from 20 ft
4:22.0,Defensive rebound by R. Anderson,,82-95,,
4:15.0,Turnover by J. Holiday (lost ball; steal by J. Parker),,82-95,,
4:09.0,,,82-95,,J. Parker misses 2-pt shot from 2 ft
4:05.0,,,82-95,,Offensive rebound by J. Parker
4:05.0,,,82-97,2,J. Parker makes 2-pt shot at rim
3:55.0,Shooting foul by J. O'Bryant (drawn by A. Davis),,82-97,,
3:55.0,A. Davis makes free throw 1 of 2,1,83-97,,
3:55.0,T. Douglas enters the game for J. Holiday,,83-97,,
