time,New York,pts.away,score,pts.home,Toronto
6:03.0,,,57-60,1,K. Lowry makes free throw 2 of 3
6:03.0,,,57-60,,B. Biyombo enters the game for J. Valanciunas
6:03.0,,,57-60,,P. Patterson enters the game for L. Scola
6:03.0,D. Williams enters the game for L. Thomas,,57-60,,
6:03.0,J. Grant enters the game for K. O'Quinn,,57-60,,
6:03.0,,,57-61,1,K. Lowry makes free throw 3 of 3
5:42.0,Shooting foul by K. Lowry (drawn by R. Lopez),,57-61,,
5:42.0,R. Lopez misses free throw 1 of 2,,57-61,,
5:42.0,Offensive rebound by Team,,57-61,,
5:42.0,,,57-61,,T. Ross enters the game for J. Johnson
5:42.0,R. Lopez makes free throw 2 of 2,1,58-61,,
5:31.0,,,58-63,2,D. DeRozan makes 2-pt shot from 2 ft
5:07.0,Shooting foul by B. Biyombo (drawn by J. Grant),,58-63,,
5:07.0,J. Grant misses free throw 1 of 2,,58-63,,
5:07.0,Offensive rebound by Team,,58-63,,
5:07.0,J. Grant misses free throw 2 of 2,,58-63,,
5:07.0,,,58-63,,Defensive rebound by Team
4:52.0,,,58-65,2,D. DeRozan makes 2-pt shot from 11 ft
4:34.0,A. Afflalo misses 2-pt shot from 12 ft,,58-65,,
4:34.0,,,58-65,,Defensive rebound by P. Patterson
4:14.0,,,58-65,,K. Lowry misses 2-pt shot from 4 ft (block by L. Galloway)
4:14.0,,,58-65,,Offensive rebound by Team
4:11.0,,,58-67,2,P. Patterson makes 2-pt shot from 15 ft (assist by D. DeRozan)
3:52.0,D. Williams misses 2-pt shot from 7 ft,,58-67,,
3:51.0,Offensive rebound by R. Lopez,,58-67,,
3:49.0,R. Lopez makes 2-pt shot at rim,2,60-67,,
3:26.0,,,60-69,2,K. Lowry makes 2-pt shot from 7 ft
3:00.0,A. Afflalo misses 2-pt shot from 9 ft,,60-69,,
3:00.0,,,60-69,,Defensive rebound by K. Lowry
2:45.0,,,60-69,,B. Biyombo misses 2-pt shot from 16 ft
2:45.0,,,60-69,,Offensive rebound by K. Lowry
2:39.0,,,60-69,,Turnover by D. DeRozan (traveling)
2:39.0,New York full timeout,,60-69,,
2:39.0,,,60-69,,C. Joseph enters the game for K. Lowry
2:39.0,L. Amundson enters the game for R. Lopez,,60-69,,
2:39.0,K. Seraphin enters the game for A. Afflalo,,60-69,,
2:39.0,S. Vujacic enters the game for L. Galloway,,60-69,,
2:15.0,J. Grant misses 2-pt shot from 19 ft,,60-69,,
2:14.0,,,60-69,,Defensive rebound by B. Biyombo
1:59.0,,,60-71,2,D. DeRozan makes 2-pt shot from 14 ft
1:41.0,J. Grant misses 3-pt shot from 23 ft,,60-71,,
1:41.0,,,60-71,,Defensive rebound by P. Patterson
1:21.0,,,60-71,,Shooting foul by K. Seraphin (drawn by C. Joseph)
1:21.0,,,60-71,,C. Joseph misses free throw 1 of 2
1:21.0,,,60-71,,Offensive rebound by Team
1:21.0,,,60-72,1,C. Joseph makes free throw 2 of 2
1:06.0,Turnover by J. Grant (bad pass),,60-72,,
0:56.0,,,60-72,,Shooting foul by L. Amundson (drawn by B. Biyombo)
0:56.0,,,60-72,,B. Biyombo misses free throw 1 of 2
0:56.0,,,60-72,,Offensive rebound by Team
0:56.0,,,60-73,1,B. Biyombo makes free throw 2 of 2
0:46.0,S. Vujacic makes 3-pt shot from 27 ft (assist by J. Grant),3,63-73,,
0:33.0,,,63-73,,C. Joseph misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by S. Vujacic,,63-73,,
0:17.0,J. Grant misses 2-pt shot from 3 ft,,63-73,,
0:17.0,,,63-73,,Defensive rebound by C. Joseph
0:00.0,,,63-73,,P. Patterson misses 2-pt shot from 16 ft
0:00.0,,,63-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,63-73,,C. Joseph misses 2-pt shot from 4 ft (block by L. Amundson)
11:37.0,Defensive rebound by J. Grant,,63-73,,
11:26.0,S. Vujacic makes 3-pt shot from 25 ft (assist by K. Seraphin),3,66-73,,
11:09.0,,,66-73,,Turnover by K. Lowry (lost ball)
10:49.0,Offensive foul by L. Amundson,,66-73,,
10:49.0,Turnover by L. Amundson (offensive foul),,66-73,,
10:38.0,,,66-73,,Offensive foul by P. Patterson
10:38.0,,,66-73,,Turnover by P. Patterson (offensive foul)
10:27.0,A. Afflalo misses 2-pt shot from 3 ft (block by T. Ross),,66-73,,
10:26.0,,,66-73,,Defensive rebound by C. Joseph
10:18.0,,,66-73,,P. Patterson misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by J. Grant,,66-73,,
10:02.0,K. Seraphin misses 2-pt shot from 21 ft,,66-73,,
10:02.0,Offensive rebound by S. Vujacic,,66-73,,
9:42.0,Turnover by J. Grant (bad pass; steal by K. Lowry),,66-73,,
9:34.0,,,66-75,2,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry)
9:16.0,K. Seraphin makes 2-pt shot from 19 ft (assist by J. Grant),2,68-75,,
8:59.0,,,68-75,,Shooting foul by L. Amundson (drawn by T. Ross)
8:59.0,Official timeout,,68-75,,
8:59.0,K. O'Quinn enters the game for K. Seraphin,,68-75,,
8:59.0,L. Galloway enters the game for J. Grant,,68-75,,
8:59.0,L. Thomas enters the game for L. Amundson,,68-75,,
8:59.0,,,68-75,,T. Ross misses free throw 1 of 2
8:59.0,,,68-75,,Offensive rebound by Team
8:59.0,,,68-76,1,T. Ross makes free throw 2 of 2
8:42.0,,,68-76,,Personal foul by B. Biyombo (drawn by K. O'Quinn)
8:31.0,S. Vujacic misses 3-pt shot from 24 ft,,68-76,,
8:30.0,,,68-76,,Defensive rebound by P. Patterson
8:22.0,,,68-76,,K. Lowry misses 2-pt shot from 18 ft
8:22.0,Defensive rebound by S. Vujacic,,68-76,,
8:08.0,K. O'Quinn misses 2-pt shot from 7 ft,,68-76,,
8:08.0,,,68-76,,Defensive rebound by P. Patterson
8:00.0,,,68-78,2,C. Joseph makes 2-pt shot from 11 ft (assist by K. Lowry)
7:41.0,Shooting foul by K. Lowry (drawn by S. Vujacic),,68-78,,
7:41.0,S. Vujacic misses free throw 1 of 2,,68-78,,
7:41.0,Offensive rebound by Team,,68-78,,
7:41.0,S. Vujacic misses free throw 2 of 2,,68-78,,
7:41.0,,,68-78,,Defensive rebound by Team
7:22.0,,,68-78,,T. Ross misses 3-pt shot from 23 ft
7:21.0,Defensive rebound by S. Vujacic,,68-78,,
7:00.0,K. O'Quinn misses 2-pt shot from 5 ft (block by B. Biyombo),,68-78,,
6:59.0,Offensive rebound by K. O'Quinn,,68-78,,
6:56.0,K. O'Quinn makes 2-pt shot from 16 ft,2,70-78,,
6:38.0,,,70-80,2,C. Joseph makes 2-pt shot from 9 ft
6:21.0,S. Vujacic misses 3-pt shot from 25 ft,,70-80,,
6:20.0,,,70-80,,Defensive rebound by B. Biyombo
6:05.0,,,70-80,,K. Lowry misses 2-pt shot from 12 ft (block by L. Galloway)
6:03.0,,,70-80,,Offensive rebound by K. Lowry
6:01.0,,,70-82,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
6:01.0,New York full timeout,,70-82,,
6:01.0,,,70-82,,D. DeRozan enters the game for T. Ross
6:01.0,,,70-82,,J. Valanciunas enters the game for B. Biyombo
6:01.0,R. Lopez enters the game for L. Thomas,,70-82,,
6:01.0,D. Williams enters the game for K. O'Quinn,,70-82,,
6:01.0,J. Grant enters the game for L. Galloway,,70-82,,
5:42.0,A. Afflalo misses 2-pt shot from 4 ft (block by D. DeRozan),,70-82,,
5:41.0,Offensive rebound by R. Lopez,,70-82,,
5:36.0,S. Vujacic makes 2-pt shot from 18 ft,2,72-82,,
