time,Chicago,pts.away,score,pts.home,LA Lakers
1:51.0,P. Gasol makes 2-pt shot at rim,2,88-69,,
1:36.0,,,88-69,,L. Nance misses 2-pt shot from 17 ft
1:35.0,Defensive rebound by A. Brooks,,88-69,,
1:28.0,Shooting foul by L. Nance (drawn by J. Butler),,88-69,,
1:28.0,J. Butler makes free throw 1 of 2,1,89-69,,
1:28.0,J. Butler makes free throw 2 of 2,1,90-69,,
1:13.0,,,90-69,,D. Russell misses 2-pt shot from 18 ft
1:12.0,Defensive rebound by J. Butler,,90-69,,
0:52.0,E. Moore enters the game for J. Butler,,90-69,,
0:50.0,D. McDermott misses 2-pt shot from 13 ft,,90-69,,
0:46.0,,,90-69,,Defensive rebound by B. Bass
0:39.0,,,90-69,,N. Young misses 3-pt shot from 24 ft
0:38.0,,,90-69,,Offensive rebound by B. Bass
0:37.0,,,90-69,,Shooting foul by P. Gasol (drawn by B. Bass)
0:37.0,,,90-70,1,B. Bass makes free throw 1 of 2
0:37.0,,,90-71,1,B. Bass makes free throw 2 of 2
0:28.0,P. Gasol misses 2-pt shot from 2 ft,,90-71,,
0:25.0,Offensive rebound by E. Moore,,90-71,,
0:03.0,A. Brooks misses 3-pt shot from 25 ft,,90-71,,
0:00.0,Offensive rebound by Team,,90-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by A. Brooks (bad pass),,90-71,,
11:34.0,Personal foul by D. McDermott (drawn by A. Brown),,90-71,,
11:16.0,,,90-71,,D. Russell misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by T. Gibson,,90-71,,
11:07.0,Offensive charge foul by D. McDermott,,90-71,,
11:07.0,Turnover by D. McDermott (offensive foul),,90-71,,
10:51.0,,,90-73,2,A. Brown makes 2-pt shot from 12 ft (assist by L. Nance)
10:38.0,B. Portis misses 2-pt shot from 18 ft,,90-73,,
10:36.0,,,90-73,,Defensive rebound by L. Nance
10:27.0,,,90-75,2,L. Nance makes 2-pt shot at rim (assist by B. Bass)
10:13.0,A. Brooks misses 2-pt shot from 17 ft (block by B. Bass),,90-75,,
10:11.0,,,90-75,,Defensive rebound by B. Bass
10:09.0,,,90-75,,B. Bass misses 2-pt shot from 4 ft
10:07.0,,,90-75,,Offensive rebound by N. Young
10:06.0,,,90-75,,N. Young misses 2-pt shot from 5 ft
10:04.0,,,90-75,,Offensive rebound by L. Nance
10:02.0,,,90-75,,L. Nance misses 2-pt shot from 3 ft
10:01.0,,,90-75,,Offensive rebound by L. Nance
9:59.0,,,90-75,,N. Young misses 3-pt shot from 25 ft
9:58.0,,,90-75,,Offensive rebound by L. Nance
9:56.0,,,90-77,2,L. Nance makes 2-pt shot from 1 ft
9:55.0,Chicago full timeout,,90-77,,
9:55.0,D. Rose enters the game for A. Brooks,,90-77,,
9:31.0,D. Rose makes 2-pt shot from 11 ft,2,92-77,,
9:11.0,,,92-77,,A. Brown misses 2-pt shot from 4 ft (block by T. Gibson)
9:09.0,Defensive rebound by D. McDermott,,92-77,,
8:55.0,E. Moore misses 2-pt shot from 7 ft,,92-77,,
8:52.0,Offensive rebound by T. Gibson,,92-77,,
8:50.0,T. Gibson misses 2-pt shot from 4 ft,,92-77,,
8:47.0,Offensive rebound by T. Gibson,,92-77,,
8:47.0,T. Gibson misses 2-pt shot at rim,,92-77,,
8:45.0,Offensive rebound by B. Portis,,92-77,,
8:42.0,B. Portis makes 2-pt shot at rim,2,94-77,,
8:37.0,,,94-80,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
8:25.0,Shooting foul by B. Bass (drawn by T. Gibson),,94-80,,
8:25.0,T. Gibson misses free throw 1 of 2,,94-80,,
8:25.0,Offensive rebound by Team,,94-80,,
