time,LA Clippers,pts.away,score,pts.home,Portland
10:01.0,,,87-76,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
9:45.0,C. Aldrich makes 2-pt shot from 3 ft (assist by P. Prigioni),2,89-76,,
9:24.0,,,89-79,3,D. Lillard makes 3-pt shot from 26 ft
9:07.0,Offensive foul by C. Aldrich,,89-79,,
9:07.0,Turnover by C. Aldrich (offensive foul),,89-79,,
8:51.0,,,89-79,,M. Harkless misses 3-pt shot from 23 ft
8:49.0,,,89-79,,Offensive rebound by G. Henderson
8:48.0,Violation by C. Aldrich (def goaltending),,89-79,,
8:48.0,,,89-81,2,G. Henderson makes 2-pt shot at rim
8:48.0,LA Clippers full timeout,,89-81,,
8:48.0,C. Paul enters the game for P. Prigioni,,89-81,,
8:35.0,J. Crawford misses 3-pt shot from 24 ft,,89-81,,
8:34.0,,,89-81,,Defensive rebound by D. Lillard
8:32.0,,,89-83,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
8:32.0,,,89-83,,Shooting foul by W. Johnson (drawn by M. Harkless)
8:32.0,D. Jordan enters the game for C. Aldrich,,89-83,,
8:32.0,,,89-83,,M. Harkless misses free throw 1 of 1
8:31.0,Defensive rebound by W. Johnson,,89-83,,
8:16.0,W. Johnson makes 3-pt shot from 23 ft (assist by C. Paul),3,92-83,,
8:01.0,,,92-83,,Offensive charge foul by E. Davis
8:01.0,,,92-83,,Turnover by E. Davis (offensive foul)
7:43.0,J. Crawford misses 2-pt shot from 9 ft,,92-83,,
7:42.0,,,92-83,,Defensive rebound by D. Lillard
7:36.0,,,92-83,,M. Harkless misses 2-pt shot at rim
7:36.0,Defensive rebound by W. Johnson,,92-83,,
7:24.0,C. Paul misses 2-pt shot from 18 ft,,92-83,,
7:23.0,,,92-83,,Defensive rebound by E. Davis
7:08.0,,,92-83,,E. Davis misses 2-pt shot from 1 ft
7:07.0,,,92-83,,Offensive rebound by G. Henderson
7:07.0,,,92-83,,G. Henderson misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by W. Johnson,,92-83,,
6:59.0,J. Redick enters the game for J. Crawford,,92-83,,
