time,Portland,pts.away,score,pts.home,LA Clippers
9:11.0,A. Aminu enters the game for M. Harkless,,83-76,,
9:11.0,,,83-76,,A. Rivers enters the game for W. Johnson
9:11.0,,,83-76,,D. Jordan enters the game for C. Aldrich
9:11.0,,,83-77,1,J. Green makes free throw 2 of 2
8:58.0,C. McCollum makes 2-pt shot from 2 ft,2,85-77,,
8:45.0,,,85-77,,J. Crawford misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by G. Henderson,,85-77,,
8:39.0,Official timeout,,85-77,,
8:39.0,,,85-77,,J. Redick enters the game for P. Prigioni
8:27.0,E. Davis makes 2-pt shot from 6 ft (assist by C. McCollum),2,87-77,,
8:12.0,Personal foul by G. Henderson,,87-77,,
8:01.0,,,87-77,,A. Rivers misses 2-pt shot from 9 ft
7:58.0,Defensive rebound by E. Davis,,87-77,,
7:48.0,A. Crabbe makes 3-pt shot from 26 ft (assist by C. McCollum),3,90-77,,
7:28.0,,,90-77,,J. Crawford misses 2-pt shot from 15 ft
7:27.0,,,90-77,,Offensive rebound by D. Jordan
7:27.0,,,90-79,2,D. Jordan makes 2-pt shot from 2 ft
7:27.0,,,90-79,,Shooting foul by A. Aminu (drawn by D. Jordan)
7:27.0,,,90-80,1,D. Jordan makes free throw 1 of 1
7:10.0,A. Crabbe misses 2-pt shot from 3 ft,,90-80,,
7:10.0,Offensive rebound by Team,,90-80,,
7:10.0,,,90-80,,Loose ball foul by J. Redick
7:10.0,M. Plumlee enters the game for A. Aminu,,90-80,,
6:59.0,M. Plumlee makes 2-pt shot from 6 ft (assist by C. McCollum),2,92-80,,
6:40.0,,,92-82,2,A. Rivers makes 2-pt shot from 1 ft
6:25.0,Shooting foul by J. Green (drawn by C. McCollum),,92-82,,
6:25.0,C. McCollum makes free throw 1 of 2,1,93-82,,
6:25.0,D. Lillard enters the game for G. Henderson,,93-82,,
6:25.0,C. McCollum makes free throw 2 of 2,1,94-82,,
6:17.0,Violation by M. Plumlee (def goaltending),,94-82,,
6:17.0,,,94-84,2,J. Redick makes 2-pt shot from 2 ft (assist by D. Jordan)
5:59.0,C. McCollum misses 3-pt shot from 24 ft,,94-84,,
