time,New York,pts.away,score,pts.home,Cleveland
10:41.0,,,52-55,,Offensive rebound by T. Mozgov
10:27.0,,,52-58,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
9:59.0,R. Lopez makes 2-pt shot from 13 ft,2,54-58,,
9:37.0,,,54-58,,T. Mozgov misses 2-pt shot from 13 ft
9:36.0,Defensive rebound by K. Porzingis,,54-58,,
9:21.0,Turnover by K. Porzingis (bad pass; steal by J. Smith),,54-58,,
9:00.0,,,54-60,2,T. Mozgov makes 2-pt shot from 16 ft (assist by J. Smith)
8:36.0,K. Porzingis makes 3-pt shot from 22 ft (assist by J. Calderon),3,57-60,,
8:18.0,,,57-60,,L. James misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by A. Afflalo,,57-60,,
8:06.0,K. Porzingis misses 2-pt shot from 1 ft,,57-60,,
8:06.0,,,57-60,,Defensive rebound by L. James
8:01.0,,,57-60,,L. James misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by R. Lopez,,57-60,,
7:52.0,L. Thomas misses 2-pt shot from 1 ft,,57-60,,
7:51.0,Offensive rebound by K. Porzingis,,57-60,,
7:51.0,K. Porzingis makes 2-pt shot at rim,2,59-60,,
7:40.0,,,59-60,,K. Love misses 3-pt shot from 22 ft
7:39.0,Defensive rebound by R. Lopez,,59-60,,
7:26.0,Turnover by A. Afflalo (bad pass),,59-60,,
7:26.0,,,59-60,,Cleveland full timeout
7:26.0,,,59-60,,M. Dellavedova enters the game for K. Irving
7:00.0,,,59-62,2,T. Mozgov makes 2-pt shot from 2 ft (assist by L. James)
6:43.0,K. Porzingis makes 2-pt shot from 13 ft,2,61-62,,
6:21.0,,,61-62,,Turnover by M. Dellavedova (bad pass; steal by R. Lopez)
6:12.0,Offensive foul by R. Lopez,,61-62,,
6:12.0,Turnover by R. Lopez (offensive foul),,61-62,,
6:12.0,,,61-62,,T. Thompson enters the game for T. Mozgov
5:54.0,,,61-64,2,K. Love makes 2-pt shot from 13 ft (assist by M. Dellavedova)
5:37.0,L. Thomas makes 2-pt shot from 18 ft (assist by K. Porzingis),2,63-64,,
5:18.0,,,63-64,,K. Love misses 2-pt shot from 1 ft (block by R. Lopez)
5:17.0,Defensive rebound by R. Lopez,,63-64,,
5:03.0,K. Porzingis misses 2-pt shot from 8 ft,,63-64,,
5:00.0,Offensive rebound by R. Lopez,,63-64,,
5:00.0,R. Lopez misses 2-pt shot at rim,,63-64,,
4:57.0,,,63-64,,Defensive rebound by K. Love
4:41.0,,,63-66,2,K. Love makes 2-pt shot from 7 ft (assist by J. Smith)
4:19.0,R. Lopez makes 2-pt shot from 19 ft (assist by J. Calderon),2,65-66,,
4:05.0,,,65-68,2,M. Dellavedova makes 2-pt shot from 5 ft
3:37.0,J. Calderon makes 3-pt shot from 26 ft (assist by K. Porzingis),3,68-68,,
3:21.0,,,68-68,,M. Dellavedova misses 2-pt shot from 5 ft
3:20.0,Defensive rebound by L. Thomas,,68-68,,
2:55.0,R. Lopez misses 2-pt shot from 14 ft,,68-68,,
2:52.0,,,68-68,,Defensive rebound by K. Love
2:45.0,,,68-68,,Turnover by J. Smith (lost ball; steal by A. Afflalo)
2:43.0,,,68-68,,Personal foul by M. Dellavedova (drawn by A. Afflalo)
2:43.0,New York full timeout,,68-68,,
