time,Chicago,pts.away,score,pts.home,Denver
3:52.0,A. Brooks enters the game for D. Rose,,76-67,,
3:52.0,,,76-67,,E. Mudiay misses free throw 2 of 2
3:51.0,Defensive rebound by E. Moore,,76-67,,
3:40.0,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks),3,79-67,,
3:27.0,Violation by B. Portis (kicked ball),,79-67,,
3:23.0,,,79-67,,E. Mudiay misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by E. Moore,,79-67,,
3:11.0,T. Snell misses 2-pt shot from 2 ft (block by J. Nurkic),,79-67,,
3:10.0,,,79-67,,Defensive rebound by D. Gallinari
3:04.0,,,79-67,,J. Nurkic misses 2-pt shot from 2 ft (block by A. Brooks)
3:03.0,,,79-67,,Offensive rebound by Team
3:03.0,,,79-67,,R. Foye enters the game for E. Mudiay
2:48.0,,,79-67,,J. Nurkic misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by Team,,79-67,,
2:48.0,,,79-67,,Loose ball foul by D. Gallinari (drawn by T. Snell)
2:35.0,A. Brooks makes 2-pt shot from 2 ft,2,81-67,,
2:25.0,,,81-67,,R. Foye misses 3-pt shot from 24 ft
2:22.0,,,81-67,,Offensive rebound by Team
2:10.0,,,81-67,,D. Gallinari misses 3-pt shot from 27 ft
2:09.0,Defensive rebound by E. Moore,,81-67,,
2:01.0,D. McDermott makes 2-pt shot from 1 ft (assist by B. Portis),2,83-67,,
2:01.0,,,83-67,,Denver full timeout
1:48.0,,,83-67,,Shooting foul by T. Snell (drawn by D. Gallinari)
1:48.0,,,83-68,1,D. Gallinari makes free throw 1 of 2
1:48.0,K. Hinrich enters the game for T. Snell,,83-68,,
1:48.0,,,83-69,1,D. Gallinari makes free throw 2 of 2
1:34.0,B. Portis makes 2-pt shot from 20 ft (assist by A. Brooks),2,85-69,,
1:12.0,,,85-69,,J. Nurkic misses 2-pt shot from 4 ft
1:11.0,Defensive rebound by B. Portis,,85-69,,
