time,Golden State,pts.away,score,pts.home,Oklahoma City
7:47.0,,,83-92,,S. Adams enters the game for E. Kanter
7:47.0,H. Barnes enters the game for A. Varejao,,83-92,,
7:39.0,K. Thompson misses 3-pt shot from 24 ft,,83-92,,
7:38.0,Offensive rebound by A. Iguodala,,83-92,,
7:34.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,85-92,,
7:05.0,,,85-92,,Turnover by R. Westbrook (lost ball; steal by A. Iguodala)
7:03.0,Turnover by A. Iguodala (bad pass; steal by K. Durant),,85-92,,
6:47.0,,,85-94,2,K. Singler makes 2-pt shot from 1 ft
6:28.0,K. Thompson misses 3-pt shot from 22 ft,,85-94,,
6:28.0,,,85-94,,Defensive rebound by K. Durant
6:17.0,,,85-94,,R. Westbrook misses 2-pt shot from 11 ft (block by K. Thompson)
6:16.0,,,85-94,,Offensive rebound by R. Westbrook
6:07.0,,,85-94,,S. Adams misses 2-pt shot at rim (block by D. Green)
6:07.0,Defensive rebound by Team,,85-94,,
6:07.0,,,85-94,,S. Ibaka enters the game for K. Durant
6:07.0,,,85-94,,D. Waiters enters the game for K. Singler
6:07.0,Golden State full timeout,,85-94,,
6:07.0,S. Curry enters the game for A. Iguodala,,85-94,,
5:52.0,H. Barnes misses 2-pt shot from 14 ft,,85-94,,
5:52.0,,,85-94,,Defensive rebound by Team
5:37.0,,,85-94,,Oklahoma City full timeout
5:37.0,,,85-94,,K. Durant enters the game for A. Roberson
5:27.0,,,85-94,,R. Westbrook misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by S. Livingston,,85-94,,
5:10.0,H. Barnes misses 2-pt shot at rim,,85-94,,
5:09.0,,,85-94,,Defensive rebound by S. Ibaka
4:51.0,,,85-96,2,R. Westbrook makes 2-pt shot at rim
4:37.0,A. Iguodala enters the game for S. Livingston,,85-96,,
4:33.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,87-96,,
4:08.0,,,87-96,,S. Ibaka misses 2-pt shot from 5 ft
4:06.0,Defensive rebound by S. Curry,,87-96,,
4:00.0,K. Thompson misses 3-pt shot from 22 ft,,87-96,,
4:00.0,,,87-96,,Defensive rebound by K. Durant
3:50.0,,,87-96,,R. Westbrook misses 2-pt shot from 1 ft (block by H. Barnes)
3:49.0,,,87-96,,Offensive rebound by S. Ibaka
3:46.0,,,87-96,,S. Ibaka misses 2-pt shot from 10 ft
3:45.0,,,87-96,,Offensive rebound by R. Westbrook
3:45.0,,,87-96,,R. Westbrook misses 2-pt shot from 1 ft
