time,Portland,pts.away,score,pts.home,Phoenix
11:28.0,,,49-55,,M. Morris misses 2-pt shot from 16 ft
11:27.0,,,49-55,,Offensive rebound by T. Chandler
11:24.0,,,49-55,,Shooting foul by D. Lillard (drawn by T. Chandler)
11:24.0,,,49-56,1,T. Chandler makes free throw 1 of 2
11:24.0,,,49-57,1,T. Chandler makes free throw 2 of 2
11:14.0,Turnover by D. Lillard (bad pass; steal by B. Knight),,49-57,,
11:09.0,,,49-59,2,B. Knight makes 2-pt shot at rim
10:52.0,M. Plumlee misses 2-pt shot at rim (block by E. Bledsoe),,49-59,,
10:50.0,,,49-59,,Defensive rebound by T. Chandler
10:41.0,,,49-59,,Turnover by B. Knight (bad pass; steal by M. Plumlee)
10:37.0,Shooting foul by M. Morris (drawn by A. Aminu),,49-59,,
10:37.0,A. Aminu makes free throw 1 of 2,1,50-59,,
10:37.0,A. Aminu makes free throw 2 of 2,1,51-59,,
10:19.0,,,51-59,,Turnover by P. Tucker (bad pass)
10:15.0,Turnover by A. Aminu (offensive foul),,51-59,,
10:15.0,Offensive charge foul by A. Aminu,,51-59,,
9:57.0,,,51-61,2,P. Tucker makes 2-pt shot from 1 ft
9:30.0,M. Leonard misses 2-pt shot from 3 ft,,51-61,,
9:29.0,,,51-61,,Defensive rebound by P. Tucker
9:24.0,Shooting block foul by C. McCollum (drawn by E. Bledsoe),,51-61,,
9:24.0,,,51-62,1,E. Bledsoe makes free throw 1 of 2
9:24.0,,,51-63,1,E. Bledsoe makes free throw 2 of 2
9:08.0,,,51-63,,Personal foul by P. Tucker (drawn by M. Leonard)
8:58.0,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard),3,54-63,,
8:46.0,,,54-63,,P. Tucker misses 2-pt shot from 1 ft
8:45.0,,,54-63,,Offensive rebound by Team
8:33.0,,,54-63,,M. Morris misses 2-pt shot from 10 ft
8:32.0,Defensive rebound by M. Leonard,,54-63,,
8:22.0,D. Lillard makes 3-pt shot from 26 ft,3,57-63,,
8:08.0,,,57-65,2,E. Bledsoe makes 2-pt shot from 3 ft
8:01.0,,,57-65,,Shooting block foul by B. Knight (drawn by D. Lillard)
8:01.0,D. Lillard makes free throw 1 of 2,1,58-65,,
8:01.0,D. Lillard makes free throw 2 of 2,1,59-65,,
7:48.0,,,59-65,,Shooting foul by M. Plumlee (drawn by T. Chandler)
7:48.0,,,59-65,,T. Chandler misses free throw 1 of 2
7:48.0,,,59-65,,Offensive rebound by Team
7:48.0,,,59-66,1,T. Chandler makes free throw 2 of 2
