time,New Orleans,pts.away,score,pts.home,Portland
10:37.0,,,69-82,2,G. Henderson makes 2-pt shot from 1 ft (assist by A. Crabbe)
10:28.0,,,69-82,,Personal foul by A. Crabbe (drawn by A. Davis)
10:28.0,O. Asik enters the game for A. Davis,,69-82,,
10:28.0,T. Evans enters the game for I. Smith,,69-82,,
10:12.0,R. Anderson makes 3-pt shot from 22 ft (assist by N. Cole),3,72-82,,
9:58.0,,,72-82,,Shooting foul by O. Asik (drawn by E. Davis)
9:58.0,,,72-82,,E. Davis misses free throw 1 of 2
9:58.0,,,72-82,,Offensive rebound by Team
9:58.0,,,72-82,,E. Davis misses free throw 2 of 2
9:57.0,Defensive rebound by J. Holiday,,72-82,,
9:44.0,R. Anderson misses 3-pt shot from 25 ft,,72-82,,
9:43.0,,,72-82,,Defensive rebound by E. Davis
9:29.0,,,72-85,3,G. Henderson makes 3-pt shot from 24 ft (assist by M. Leonard)
9:09.0,R. Anderson makes 2-pt shot from 1 ft,2,74-85,,
8:53.0,Official timeout,,74-85,,
8:53.0,A. Davis enters the game for R. Anderson,,74-85,,
8:48.0,,,74-85,,Turnover by A. Crabbe (bad pass; steal by J. Holiday)
8:36.0,A. Davis misses 3-pt shot from 25 ft,,74-85,,
8:35.0,Offensive rebound by O. Asik,,74-85,,
8:35.0,Shooting foul by E. Davis (drawn by O. Asik),,74-85,,
8:35.0,O. Asik misses free throw 1 of 2,,74-85,,
8:35.0,Offensive rebound by Team,,74-85,,
8:35.0,O. Asik misses free throw 2 of 2,,74-85,,
8:33.0,,,74-85,,Defensive rebound by E. Davis
8:18.0,,,74-85,,C. McCollum misses 2-pt shot from 20 ft
8:18.0,Defensive rebound by Team,,74-85,,
8:05.0,J. Holiday makes 2-pt shot from 2 ft,2,76-85,,
7:48.0,,,76-87,2,A. Crabbe makes 2-pt shot from 16 ft (assist by C. McCollum)
7:29.0,N. Cole makes 3-pt shot from 26 ft (assist by T. Evans),3,79-87,,
7:08.0,,,79-87,,G. Henderson misses 2-pt shot from 4 ft (block by O. Asik)
7:06.0,Defensive rebound by O. Asik,,79-87,,
6:52.0,N. Cole makes 3-pt shot from 27 ft (assist by T. Evans),3,82-87,,
6:38.0,Personal foul by N. Cole (drawn by G. Henderson),,82-87,,
6:38.0,,,82-87,,M. Plumlee enters the game for M. Leonard
6:38.0,,,82-87,,D. Lillard enters the game for C. McCollum
6:33.0,,,82-87,,Shooting foul by A. Davis (drawn by M. Plumlee)
6:33.0,,,82-88,1,M. Plumlee makes free throw 1 of 2
6:33.0,,,82-89,1,M. Plumlee makes free throw 2 of 2
6:21.0,Shooting foul by E. Davis (drawn by O. Asik),,82-89,,
6:21.0,O. Asik makes free throw 1 of 2,1,83-89,,
6:21.0,O. Asik makes free throw 2 of 2,1,84-89,,
6:03.0,,,84-92,3,A. Crabbe makes 3-pt shot from 26 ft (assist by M. Plumlee)
5:49.0,A. Davis misses 2-pt shot from 6 ft,,84-92,,
5:47.0,Offensive rebound by T. Evans,,84-92,,
5:39.0,A. Davis misses 2-pt shot from 2 ft (block by M. Plumlee),,84-92,,
5:37.0,Offensive rebound by Team,,84-92,,
5:36.0,Turnover by Team (shot clock),,84-92,,
5:36.0,,,84-92,,Portland full timeout
5:36.0,R. Anderson enters the game for O. Asik,,84-92,,
5:24.0,,,84-92,,Turnover by D. Lillard (bad pass; steal by R. Anderson)
5:20.0,Turnover by T. Evans (lost ball),,84-92,,
5:02.0,,,84-92,,A. Crabbe misses 3-pt shot from 22 ft
5:02.0,,,84-92,,Offensive rebound by M. Plumlee
5:01.0,Loose ball foul by J. Holiday (drawn by M. Plumlee),,84-92,,
5:01.0,,,84-92,,A. Aminu enters the game for E. Davis
5:01.0,E. Gordon enters the game for N. Cole,,84-92,,
4:43.0,,,84-92,,M. Plumlee misses 2-pt shot from 7 ft (block by A. Davis)
4:42.0,,,84-92,,Offensive rebound by A. Aminu
4:40.0,,,84-92,,A. Aminu misses 2-pt shot from 12 ft
4:37.0,Defensive rebound by T. Evans,,84-92,,
4:19.0,J. Holiday misses 3-pt shot from 25 ft,,84-92,,
4:19.0,,,84-92,,Defensive rebound by G. Henderson
3:58.0,,,84-95,3,D. Lillard makes 3-pt shot from 27 ft (assist by A. Crabbe)
3:52.0,New Orleans full timeout,,84-95,,
3:52.0,,,84-95,,C. McCollum enters the game for G. Henderson
3:47.0,J. Holiday misses 2-pt shot from 1 ft,,84-95,,
3:46.0,,,84-95,,Defensive rebound by A. Crabbe
3:27.0,,,84-97,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
