time,Sacramento,pts.away,score,pts.home,Golden State
0:07.0,,,75-87,,Defensive rebound by A. Iguodala
0:04.0,,,75-90,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:00.0,S. Curry misses 3-pt shot from 46 ft,,75-90,,
0:00.0,Offensive rebound by Team,,75-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,75-90,,A. Iguodala misses 3-pt shot from 27 ft
11:33.0,Defensive rebound by D. Collison,,75-90,,
11:26.0,R. Gay makes 2-pt shot from 16 ft (assist by D. Collison),2,77-90,,
11:10.0,,,77-93,3,I. Clark makes 3-pt shot from 24 ft (assist by F. Ezeli)
10:44.0,J. Anderson misses 2-pt shot from 4 ft (block by J. McAdoo),,77-93,,
10:43.0,,,77-93,,Defensive rebound by J. McAdoo
10:38.0,,,77-95,2,I. Clark makes 2-pt shot from 1 ft (assist by S. Livingston)
10:18.0,S. Curry makes 2-pt shot from 16 ft (assist by D. Collison),2,79-95,,
9:58.0,,,79-95,,S. Livingston misses 2-pt shot from 10 ft (block by R. Gay)
9:56.0,,,79-95,,Offensive rebound by S. Livingston
9:56.0,,,79-95,,Turnover by S. Livingston (bad pass)
9:56.0,,,79-95,,B. Rush enters the game for F. Ezeli
9:56.0,R. Rondo enters the game for D. Collison,,79-95,,
9:45.0,S. Curry misses 3-pt shot from 25 ft,,79-95,,
9:44.0,,,79-95,,Defensive rebound by Team
9:20.0,,,79-95,,I. Clark misses 2-pt shot from 9 ft
9:19.0,Defensive rebound by R. Gay,,79-95,,
9:12.0,M. Belinelli misses 3-pt shot from 27 ft,,79-95,,
9:12.0,Offensive rebound by J. Anderson,,79-95,,
9:07.0,S. Curry misses 2-pt shot from 2 ft,,79-95,,
9:06.0,,,79-95,,Defensive rebound by S. Livingston
8:59.0,,,79-98,3,B. Rush makes 3-pt shot from 22 ft (assist by A. Iguodala)
8:47.0,,,79-98,,Personal foul by I. Clark (drawn by M. Belinelli)
8:47.0,Official timeout,,79-98,,
8:47.0,,,79-98,,K. Thompson enters the game for A. Iguodala
8:32.0,Turnover by Team (shot clock),,79-98,,
8:18.0,,,79-98,,J. McAdoo misses 2-pt shot from 9 ft
8:18.0,Defensive rebound by R. Rondo,,79-98,,
8:09.0,,,79-98,,Personal foul by B. Rush (drawn by S. Curry)
