time,Atlanta,pts.away,score,pts.home,Detroit
7:40.0,,,98-92,,T. Harris enters the game for A. Tolliver
7:40.0,,,98-93,1,K. Caldwell-Pope makes free throw 2 of 2
7:28.0,D. Schroder misses 2-pt shot from 21 ft,,98-93,,
7:26.0,,,98-93,,Defensive rebound by M. Morris
7:12.0,,,98-93,,Turnover by K. Caldwell-Pope (lost ball; steal by P. Millsap)
7:04.0,M. Scott misses 2-pt shot at rim,,98-93,,
7:04.0,,,98-93,,Defensive rebound by T. Harris
6:52.0,,,98-96,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
6:37.0,P. Millsap misses 2-pt shot from 12 ft,,98-96,,
6:36.0,,,98-96,,Defensive rebound by K. Caldwell-Pope
6:30.0,,,98-96,,K. Caldwell-Pope misses 3-pt shot from 26 ft
6:30.0,,,98-96,,Offensive rebound by M. Morris
6:26.0,Personal take foul by M. Scott,,98-96,,
6:26.0,,,98-96,,A. Drummond misses free throw 1 of 2
6:26.0,,,98-96,,Offensive rebound by Team
6:26.0,J. Teague enters the game for D. Schroder,,98-96,,
6:26.0,A. Horford enters the game for M. Scott,,98-96,,
6:26.0,,,98-97,1,A. Drummond makes free throw 2 of 2
6:08.0,J. Teague misses 2-pt shot from 9 ft,,98-97,,
6:08.0,,,98-97,,Defensive rebound by A. Drummond
5:59.0,,,98-99,2,R. Jackson makes 2-pt shot from 5 ft
5:39.0,K. Bazemore makes 3-pt shot from 27 ft (assist by A. Horford),3,101-99,,
5:27.0,Personal take foul by T. Sefolosha,,101-99,,
5:27.0,Official timeout,,101-99,,
5:27.0,,,101-100,1,A. Drummond makes free throw 1 of 2
5:27.0,,,101-100,,A. Drummond misses free throw 2 of 2
5:26.0,Defensive rebound by T. Sefolosha,,101-100,,
5:14.0,,,101-100,,Violation by A. Drummond (def goaltending)
