time,Atlanta,pts.away,score,pts.home,Houston
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,85-94,2,T. Lawson makes 2-pt shot from 18 ft (assist by D. Howard)
11:27.0,A. Horford misses 2-pt shot from 9 ft,,85-94,,
11:26.0,,,85-94,,Defensive rebound by D. Howard
11:15.0,,,85-96,2,D. Howard makes 2-pt shot at rim (assist by C. Brewer)
11:15.0,,,85-96,,Shooting foul by L. Patterson (drawn by D. Howard)
11:15.0,,,85-96,,D. Howard misses free throw 1 of 1
11:15.0,Defensive rebound by A. Horford,,85-96,,
10:56.0,,,85-96,,Def 3 sec tech foul by D. Motiejunas
10:56.0,K. Korver makes technical free throw,1,86-96,,
10:46.0,M. Scott makes 2-pt shot from 1 ft (assist by S. Mack),2,88-96,,
10:32.0,,,88-98,2,T. Lawson makes 2-pt shot from 16 ft
10:11.0,S. Mack misses 2-pt shot from 1 ft,,88-98,,
10:10.0,,,88-98,,Defensive rebound by D. Howard
9:51.0,,,88-98,,Turnover by T. Ariza (lost ball; steal by M. Scott)
9:45.0,L. Patterson makes 2-pt shot at rim (assist by K. Korver),2,90-98,,
9:45.0,Shooting foul by C. Brewer (drawn by L. Patterson),,90-98,,
9:45.0,,,90-98,,C. Capela enters the game for D. Motiejunas
9:45.0,L. Patterson makes free throw 1 of 1,1,91-98,,
9:30.0,,,91-98,,T. Ariza misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by L. Patterson,,91-98,,
9:21.0,K. Korver misses 3-pt shot from 24 ft,,91-98,,
9:20.0,,,91-98,,Defensive rebound by C. Capela
9:09.0,,,91-98,,Turnover by C. Brewer (bad pass)
9:01.0,A. Horford makes 3-pt shot from 24 ft (assist by M. Scott),3,94-98,,
8:54.0,,,94-98,,Houston full timeout
8:54.0,,,94-98,,P. Beverley enters the game for T. Lawson
8:54.0,,,94-98,,J. Harden enters the game for C. Brewer
8:40.0,,,94-98,,Shooting foul by L. Patterson (drawn by J. Harden)
8:40.0,,,94-99,1,J. Harden makes free throw 1 of 3
8:40.0,,,94-100,1,J. Harden makes free throw 2 of 3
8:40.0,K. Bazemore enters the game for L. Patterson,,94-100,,
8:40.0,,,94-101,1,J. Harden makes free throw 3 of 3
8:21.0,S. Mack misses 3-pt shot from 24 ft,,94-101,,
8:20.0,,,94-101,,Defensive rebound by J. Harden
8:12.0,,,94-101,,Shooting foul by M. Scott (drawn by D. Howard)
8:12.0,,,94-103,2,D. Howard makes 2-pt shot at rim (assist by P. Beverley)
8:12.0,J. Teague enters the game for S. Mack,,94-103,,
8:12.0,,,94-103,,D. Howard misses free throw 1 of 1
8:12.0,Defensive rebound by K. Bazemore,,94-103,,
7:57.0,A. Horford misses 2-pt shot at rim,,94-103,,
7:56.0,Offensive rebound by Team,,94-103,,
7:56.0,P. Millsap enters the game for M. Scott,,94-103,,
7:39.0,J. Teague misses 2-pt shot at rim,,94-103,,
7:38.0,Offensive rebound by P. Millsap,,94-103,,
7:36.0,P. Millsap misses 2-pt shot from 1 ft,,94-103,,
7:35.0,Offensive rebound by P. Millsap,,94-103,,
7:33.0,Turnover by P. Millsap (lost ball; steal by C. Capela),,94-103,,
7:28.0,,,94-103,,J. Harden misses 2-pt shot at rim
7:27.0,Defensive rebound by A. Horford,,94-103,,
7:20.0,J. Teague makes 3-pt shot from 23 ft (assist by A. Horford),3,97-103,,
7:09.0,,,97-103,,T. Ariza misses 3-pt shot from 23 ft
7:07.0,Defensive rebound by P. Millsap,,97-103,,
6:58.0,K. Bazemore makes 2-pt shot from 3 ft (assist by P. Millsap),2,99-103,,
6:34.0,,,99-103,,Offensive foul by D. Howard
6:34.0,,,99-103,,Turnover by D. Howard (offensive foul)
6:34.0,T. Sefolosha enters the game for K. Korver,,99-103,,
6:34.0,,,99-103,,D. Motiejunas enters the game for D. Howard
6:18.0,,,99-103,,Shooting block foul by T. Ariza (drawn by K. Bazemore)
6:18.0,K. Bazemore makes free throw 1 of 2,1,100-103,,
6:18.0,K. Bazemore misses free throw 2 of 2,,100-103,,
6:18.0,,,100-103,,Defensive rebound by C. Capela
5:55.0,,,100-103,,J. Harden misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by J. Teague,,100-103,,
5:50.0,J. Teague makes 2-pt shot from 11 ft,2,102-103,,
5:25.0,,,102-103,,T. Ariza misses 2-pt shot from 8 ft
5:24.0,Defensive rebound by A. Horford,,102-103,,
5:15.0,,,102-103,,Violation by C. Capela (kicked ball)
5:15.0,Official timeout,,102-103,,
5:15.0,,,102-103,,D. Howard enters the game for C. Capela
5:15.0,,,102-103,,T. Lawson enters the game for P. Beverley
5:15.0,K. Korver enters the game for T. Sefolosha,,102-103,,
5:09.0,P. Millsap makes 2-pt shot from 2 ft,2,104-103,,
