time,Golden State,pts.away,score,pts.home,Sacramento
11:28.0,A. Iguodala misses 2-pt shot from 12 ft,,96-86,,
11:27.0,,,96-86,,Defensive rebound by M. Belinelli
11:16.0,,,96-86,,Shooting foul by S. Livingston (drawn by D. Collison)
11:16.0,,,96-87,1,D. Collison makes free throw 1 of 2
11:16.0,,,96-88,1,D. Collison makes free throw 2 of 2
11:02.0,S. Livingston makes 2-pt shot from 9 ft,2,98-88,,
10:46.0,Personal foul by F. Ezeli (drawn by D. Cousins),,98-88,,
10:40.0,,,98-88,,D. Cousins misses 2-pt shot from 6 ft
10:39.0,Defensive rebound by H. Barnes,,98-88,,
10:27.0,A. Iguodala misses 3-pt shot from 24 ft,,98-88,,
10:26.0,,,98-88,,Defensive rebound by D. Cousins
10:20.0,,,98-88,,Turnover by D. Cousins (bad pass; steal by F. Ezeli)
9:59.0,H. Barnes makes 2-pt shot from 6 ft,2,100-88,,
9:40.0,,,100-90,2,M. Belinelli makes 2-pt shot from 22 ft (assist by D. Collison)
9:13.0,A. Iguodala makes 2-pt shot from 13 ft,2,102-90,,
9:00.0,Personal foul by H. Barnes (drawn by D. Cousins),,102-90,,
9:00.0,,,102-90,,R. Gay enters the game for B. McLemore
8:55.0,,,102-90,,D. Cousins misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by S. Livingston,,102-90,,
8:49.0,Offensive charge foul by H. Barnes,,102-90,,
8:49.0,Turnover by H. Barnes (offensive foul),,102-90,,
8:49.0,Official timeout,,102-90,,
8:33.0,,,102-90,,Shooting foul by F. Ezeli (drawn by D. Cousins)
8:33.0,,,102-91,1,D. Cousins makes free throw 1 of 2
8:33.0,,,102-91,,D. Cousins misses free throw 2 of 2
8:33.0,Defensive rebound by F. Ezeli,,102-91,,
8:18.0,A. Iguodala makes 2-pt shot at rim,2,104-91,,
7:57.0,,,104-94,3,D. Cousins makes 3-pt shot from 24 ft (assist by M. Belinelli)
7:33.0,A. Iguodala misses 3-pt shot from 24 ft,,104-94,,
7:33.0,,,104-94,,Defensive rebound by D. Collison
7:25.0,,,104-94,,D. Cousins misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by A. Iguodala,,104-94,,
7:20.0,B. Rush enters the game for H. Barnes,,104-94,,
7:05.0,S. Livingston makes 2-pt shot from 14 ft,2,106-94,,
6:57.0,Violation by F. Ezeli (def goaltending),,106-94,,
6:57.0,,,106-96,2,D. Collison makes 2-pt shot from 1 ft
6:57.0,,,106-96,,Shooting foul by I. Clark (drawn by D. Collison)
6:57.0,,,106-96,,R. Rondo enters the game for S. Curry
6:57.0,S. Curry enters the game for I. Clark,,106-96,,
6:57.0,K. Thompson enters the game for A. Iguodala,,106-96,,
6:57.0,,,106-97,1,D. Collison makes free throw 1 of 1
6:38.0,S. Curry makes 2-pt shot from 7 ft (assist by S. Livingston),2,108-97,,
6:18.0,,,108-97,,R. Gay misses 2-pt shot from 13 ft
6:17.0,Defensive rebound by F. Ezeli,,108-97,,
