time,Oklahoma City,pts.away,score,pts.home,Minnesota
0:51.0,,,62-62,,Shooting foul by R. Westbrook (drawn by Z. LaVine)
0:51.0,,,62-62,,Z. LaVine misses free throw 1 of 1
0:51.0,Defensive rebound by K. Singler,,62-62,,
0:38.0,D. Waiters misses 2-pt shot from 1 ft,,62-62,,
0:37.0,,,62-62,,Defensive rebound by K. Towns
0:25.0,,,62-62,,A. Wiggins misses 2-pt shot at rim (block by N. Collison)
0:23.0,,,62-62,,Offensive rebound by N. Bjelica
0:22.0,,,62-62,,Shooting foul by N. Collison (drawn by N. Bjelica)
0:22.0,,,62-63,1,N. Bjelica makes free throw 1 of 2
0:22.0,,,62-63,,T. Prince enters the game for Z. LaVine
0:22.0,,,62-64,1,N. Bjelica makes free throw 2 of 2
0:03.0,K. Durant misses 2-pt shot from 9 ft,,62-64,,
0:02.0,,,62-64,,Defensive rebound by K. Towns
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,64-64,,
11:33.0,,,64-66,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
11:16.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,66-66,,
11:01.0,,,66-66,,K. Towns misses 2-pt shot from 20 ft
10:59.0,Defensive rebound by R. Westbrook,,66-66,,
10:53.0,D. Waiters makes 3-pt shot from 24 ft (assist by S. Ibaka),3,69-66,,
10:25.0,,,69-66,,T. Prince misses 2-pt shot from 19 ft
10:24.0,Defensive rebound by K. Durant,,69-66,,
10:16.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,71-66,,
10:16.0,,,71-66,,Minnesota full timeout
9:59.0,,,71-66,,A. Wiggins misses 2-pt shot from 15 ft (block by K. Durant)
9:57.0,,,71-66,,Offensive rebound by G. Dieng
9:55.0,,,71-66,,G. Dieng misses 2-pt shot from 9 ft
9:52.0,Defensive rebound by S. Adams,,71-66,,
9:37.0,S. Ibaka misses 2-pt shot from 12 ft,,71-66,,
9:35.0,,,71-66,,Defensive rebound by G. Dieng
9:20.0,,,71-66,,R. Rubio misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by K. Durant,,71-66,,
9:00.0,S. Ibaka makes 2-pt shot from 12 ft (assist by R. Westbrook),2,73-66,,
8:39.0,Violation by S. Ibaka (def goaltending),,73-66,,
8:39.0,,,73-68,2,G. Dieng makes 2-pt shot at rim
8:17.0,S. Adams makes 2-pt shot from 7 ft (assist by K. Durant),2,75-68,,
7:53.0,,,75-70,2,K. Towns makes 2-pt shot from 15 ft (assist by T. Prince)
7:37.0,S. Ibaka misses 2-pt shot from 19 ft,,75-70,,
7:35.0,,,75-70,,Defensive rebound by K. Towns
7:19.0,,,75-72,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
6:56.0,D. Waiters misses 2-pt shot at rim,,75-72,,
6:55.0,,,75-72,,Defensive rebound by G. Dieng
6:50.0,,,75-74,2,R. Rubio makes 2-pt shot at rim
6:48.0,Oklahoma City full timeout,,75-74,,
6:48.0,,,75-74,,S. Muhammad enters the game for T. Prince
6:34.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,75-74,,
6:19.0,,,75-74,,R. Rubio misses 2-pt shot from 2 ft
6:18.0,Defensive rebound by S. Ibaka,,75-74,,
6:10.0,K. Durant misses 2-pt shot from 1 ft (block by G. Dieng),,75-74,,
6:08.0,,,75-74,,Defensive rebound by A. Wiggins
6:07.0,,,75-76,2,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Wiggins)
6:07.0,,,75-76,,Shooting foul by D. Waiters (drawn by S. Muhammad)
6:07.0,,,75-76,,S. Muhammad misses free throw 1 of 1
6:04.0,,,75-76,,Offensive rebound by G. Dieng
6:02.0,,,75-78,2,G. Dieng makes 2-pt shot at rim
5:50.0,R. Westbrook misses 2-pt shot from 16 ft,,75-78,,
5:49.0,,,75-78,,Defensive rebound by K. Towns
5:28.0,,,75-80,2,A. Wiggins makes 2-pt shot from 14 ft
5:08.0,R. Westbrook makes 2-pt shot at rim,2,77-80,,
4:41.0,,,77-80,,A. Wiggins misses 3-pt shot from 24 ft
4:40.0,,,77-80,,Offensive rebound by S. Muhammad
4:29.0,,,77-80,,Turnover by R. Rubio (bad pass)
4:29.0,N. Collison enters the game for S. Ibaka,,77-80,,
4:16.0,D. Waiters makes 3-pt shot from 23 ft (assist by K. Durant),3,80-80,,
3:55.0,,,80-82,2,G. Dieng makes 2-pt shot from 15 ft
3:41.0,S. Adams misses 2-pt shot from 2 ft (block by K. Towns),,80-82,,
3:40.0,,,80-82,,Defensive rebound by K. Towns
3:36.0,,,80-84,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:23.0,R. Westbrook makes 3-pt shot from 24 ft,3,83-84,,
3:06.0,Def 3 sec tech foul by N. Collison,,83-84,,
3:06.0,,,83-85,1,R. Rubio makes technical free throw
3:06.0,,,83-85,,Z. LaVine enters the game for R. Rubio
3:06.0,,,83-85,,N. Bjelica enters the game for K. Towns
2:51.0,,,83-87,2,Z. LaVine makes 2-pt shot from 20 ft
2:36.0,Turnover by N. Collison (traveling),,83-87,,
2:36.0,K. Singler enters the game for S. Adams,,83-87,,
2:19.0,,,83-89,2,S. Muhammad makes 2-pt shot from 12 ft (assist by A. Wiggins)
2:04.0,D. Waiters makes 3-pt shot from 22 ft (assist by R. Westbrook),3,86-89,,
1:46.0,,,86-89,,Turnover by S. Muhammad (bad pass)
1:46.0,,,86-89,,T. Prince enters the game for A. Wiggins
1:46.0,D. Augustin enters the game for R. Westbrook,,86-89,,
1:27.0,Turnover by K. Durant (bad pass; steal by N. Bjelica),,86-89,,
1:21.0,,,86-92,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Bjelica)
0:57.0,K. Durant misses 2-pt shot at rim,,86-92,,
0:57.0,Offensive rebound by N. Collison,,86-92,,
0:57.0,N. Collison makes 2-pt shot at rim,2,88-92,,
0:39.0,Personal foul by D. Waiters (drawn by S. Muhammad),,88-92,,
