time,LA Clippers,pts.away,score,pts.home,Denver
1:07.0,,,47-45,,Defensive rebound by N. Jokic
0:58.0,,,47-45,,N. Jokic misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by D. Jordan,,47-45,,
0:56.0,J. Smith enters the game for D. Jordan,,47-45,,
0:56.0,,,47-45,,W. Barton enters the game for N. Jokic
0:48.0,,,47-45,,Personal foul by G. Harris (drawn by C. Paul)
0:48.0,C. Paul makes free throw 1 of 2,1,48-45,,
0:48.0,J. Crawford enters the game for J. Smith,,48-45,,
0:48.0,C. Paul makes free throw 2 of 2,1,49-45,,
0:29.0,,,49-45,,Turnover by E. Mudiay (bad pass; steal by B. Griffin)
0:07.0,C. Paul makes 2-pt shot from 1 ft,2,51-45,,
0:03.0,Personal foul by W. Johnson (drawn by E. Mudiay),,51-45,,
0:03.0,,,51-45,,Denver full timeout
0:03.0,A. Rivers enters the game for W. Johnson,,51-45,,
0:03.0,L. Mbah a Moute enters the game for J. Crawford,,51-45,,
0:00.0,,,51-45,,D. Gallinari misses 3-pt shot from 30 ft
0:00.0,,,51-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by D. Arthur (drawn by B. Griffin),,51-45,,
11:48.0,B. Griffin makes free throw 1 of 2,1,52-45,,
11:48.0,B. Griffin makes free throw 2 of 2,1,53-45,,
11:26.0,,,53-47,2,N. Jokic makes 2-pt shot from 12 ft
11:14.0,B. Griffin misses 2-pt shot from 19 ft,,53-47,,
11:13.0,,,53-47,,Defensive rebound by N. Jokic
10:58.0,,,53-49,2,N. Jokic makes 2-pt shot from 6 ft
10:44.0,J. Redick misses 2-pt shot from 20 ft,,53-49,,
10:43.0,,,53-49,,Defensive rebound by D. Arthur
10:36.0,,,53-51,2,D. Arthur makes 2-pt shot from 18 ft (assist by E. Mudiay)
10:36.0,LA Clippers full timeout,,53-51,,
10:19.0,C. Paul misses 2-pt shot from 16 ft,,53-51,,
10:18.0,,,53-51,,Defensive rebound by D. Gallinari
10:11.0,,,53-51,,G. Harris misses 2-pt shot from 2 ft (block by D. Jordan)
10:10.0,Defensive rebound by J. Redick,,53-51,,
10:05.0,J. Redick makes 2-pt shot from 21 ft,2,55-51,,
10:05.0,Shooting foul by D. Arthur (drawn by J. Redick),,55-51,,
10:05.0,J. Redick misses free throw 1 of 1,,55-51,,
10:03.0,,,55-51,,Defensive rebound by D. Gallinari
9:45.0,,,55-51,,Turnover by D. Gallinari (bad pass; steal by C. Paul)
9:30.0,B. Griffin misses 2-pt shot from 3 ft,,55-51,,
9:29.0,Offensive rebound by B. Griffin,,55-51,,
9:29.0,B. Griffin misses 2-pt shot from 3 ft,,55-51,,
9:28.0,,,55-51,,Defensive rebound by E. Mudiay
9:24.0,,,55-53,2,E. Mudiay makes 2-pt shot from 1 ft
9:08.0,B. Griffin misses 2-pt shot from 19 ft,,55-53,,
9:04.0,,,55-53,,Defensive rebound by E. Mudiay
8:55.0,,,55-55,2,D. Arthur makes 2-pt shot from 10 ft (assist by E. Mudiay)
8:35.0,B. Griffin misses 2-pt shot from 19 ft,,55-55,,
8:34.0,Offensive rebound by D. Jordan,,55-55,,
8:28.0,W. Johnson makes 3-pt shot from 24 ft (assist by D. Jordan),3,58-55,,
7:58.0,,,58-55,,E. Mudiay misses 3-pt shot from 27 ft
7:57.0,Defensive rebound by D. Jordan,,58-55,,
7:53.0,C. Paul makes 2-pt shot from 1 ft (assist by D. Jordan),2,60-55,,
7:53.0,,,60-55,,Denver full timeout
