time,LA Lakers,pts.away,score,pts.home,Brooklyn
0:21.0,,,77-72,,J. Jack misses 3-pt shot from 23 ft (block by M. World Peace)
0:20.0,,,77-72,,Offensive rebound by Team
0:20.0,,,77-72,,W. Ellington enters the game for J. Johnson
0:17.0,,,77-72,,J. Jack misses 2-pt shot from 13 ft
0:15.0,Defensive rebound by M. World Peace,,77-72,,
0:13.0,,,77-72,,Personal foul by J. Jack (drawn by L. Nance)
0:13.0,L. Nance misses free throw 1 of 2,,77-72,,
0:13.0,Offensive rebound by Team,,77-72,,
0:13.0,,,77-72,,S. Larkin enters the game for J. Jack
0:13.0,L. Nance makes free throw 2 of 2,1,78-72,,
0:05.0,Personal foul by L. Williams,,78-72,,
0:03.0,,,78-72,,W. Ellington misses 2-pt shot from 17 ft
0:02.0,Defensive rebound by Team,,78-72,,
0:02.0,,,78-72,,Loose ball foul by T. Robinson (drawn by T. Black)
0:02.0,T. Black misses free throw 1 of 2,,78-72,,
0:02.0,Offensive rebound by Team,,78-72,,
0:02.0,T. Black makes free throw 2 of 2,1,79-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,79-72,,B. Lopez misses 2-pt shot from 20 ft
11:37.0,Defensive rebound by L. Williams,,79-72,,
11:27.0,L. Williams misses 2-pt shot from 17 ft,,79-72,,
11:25.0,,,79-72,,Defensive rebound by T. Robinson
11:19.0,Personal foul by K. Bryant (drawn by W. Ellington),,79-72,,
11:11.0,,,79-72,,Shooting foul by T. Black (drawn by B. Lopez)
11:11.0,,,79-73,1,B. Lopez makes free throw 1 of 2
11:11.0,,,79-74,1,B. Lopez makes free throw 2 of 2
10:58.0,L. Nance makes 2-pt shot from 16 ft (assist by K. Bryant),2,81-74,,
10:39.0,,,81-74,,S. Larkin misses 2-pt shot from 21 ft
10:38.0,Defensive rebound by K. Bryant,,81-74,,
10:31.0,K. Bryant misses 3-pt shot from 24 ft,,81-74,,
10:30.0,,,81-74,,Defensive rebound by B. Bogdanovic
10:25.0,,,81-74,,Turnover by B. Bogdanovic (offensive foul)
10:25.0,,,81-74,,Offensive foul by B. Bogdanovic
10:06.0,K. Bryant makes 2-pt shot from 3 ft,2,83-74,,
9:54.0,,,83-77,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Lopez)
9:42.0,L. Williams misses 3-pt shot from 23 ft,,83-77,,
9:41.0,,,83-77,,Defensive rebound by T. Robinson
9:40.0,Personal foul by K. Bryant (drawn by T. Robinson),,83-77,,
9:30.0,,,83-77,,S. Larkin misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by T. Black,,83-77,,
9:11.0,N. Young misses 3-pt shot from 24 ft,,83-77,,
9:10.0,,,83-77,,Defensive rebound by Team
8:58.0,,,83-77,,Shooting foul by T. Black (drawn by B. Lopez)
8:58.0,Official timeout,,83-77,,
8:58.0,R. Hibbert enters the game for T. Black,,83-77,,
8:58.0,,,83-77,,A. Bargnani enters the game for T. Robinson
8:58.0,,,83-77,,R. Hollis-Jefferson enters the game for W. Ellington
8:58.0,,,83-78,1,B. Lopez makes free throw 1 of 2
8:58.0,,,83-79,1,B. Lopez makes free throw 2 of 2
8:41.0,Shooting foul by A. Bargnani (drawn by L. Nance),,83-79,,
8:41.0,L. Nance misses free throw 1 of 2,,83-79,,
8:41.0,Offensive rebound by Team,,83-79,,
8:41.0,M. World Peace enters the game for K. Bryant,,83-79,,
8:41.0,,,83-79,,J. Johnson enters the game for A. Bargnani
8:41.0,L. Nance makes free throw 2 of 2,1,84-79,,
8:27.0,,,84-79,,B. Bogdanovic misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by M. World Peace,,84-79,,
