time,Indiana,pts.away,score,pts.home,Minnesota
6:56.0,,,54-54,,Shooting foul by G. Hill (drawn by R. Rubio)
6:56.0,,,54-55,1,R. Rubio makes free throw 1 of 2
6:56.0,,,54-56,1,R. Rubio makes free throw 2 of 2
6:36.0,Turnover by G. Hill (lost ball),,54-56,,
6:36.0,,,54-56,,G. Dieng enters the game for K. Garnett
6:25.0,,,54-58,2,R. Rubio makes 2-pt shot at rim
6:13.0,P. George misses 3-pt shot from 24 ft,,54-58,,
6:12.0,,,54-58,,Defensive rebound by K. Towns
5:53.0,,,54-58,,G. Dieng misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by M. Ellis,,54-58,,
5:43.0,C. Miles misses 3-pt shot from 23 ft,,54-58,,
5:42.0,Offensive rebound by I. Mahinmi,,54-58,,
5:39.0,Turnover by I. Mahinmi (lost ball; steal by T. Prince),,54-58,,
5:33.0,Personal foul by C. Miles (drawn by G. Dieng),,54-58,,
5:33.0,L. Allen enters the game for C. Miles,,54-58,,
5:21.0,,,54-58,,A. Wiggins misses 2-pt shot at rim
5:20.0,,,54-58,,Offensive rebound by K. Towns
5:19.0,,,54-60,2,K. Towns makes 2-pt shot from 1 ft
5:18.0,Indiana full timeout,,54-60,,
5:18.0,J. Hill enters the game for I. Mahinmi,,54-60,,
5:06.0,Shooting foul by K. Towns (drawn by J. Hill),,54-60,,
5:06.0,J. Hill makes free throw 1 of 2,1,55-60,,
5:06.0,J. Hill makes free throw 2 of 2,1,56-60,,
4:45.0,,,56-60,,A. Wiggins misses 2-pt shot from 22 ft
4:44.0,,,56-60,,Offensive rebound by T. Prince
4:43.0,,,56-62,2,T. Prince makes 2-pt shot from 1 ft
4:29.0,Turnover by L. Allen (bad pass; steal by G. Dieng),,56-62,,
4:26.0,,,56-62,,Turnover by R. Rubio (bad pass; steal by G. Hill)
4:13.0,J. Hill misses 2-pt shot from 16 ft,,56-62,,
4:11.0,Offensive rebound by L. Allen,,56-62,,
3:55.0,M. Ellis misses 3-pt shot from 24 ft,,56-62,,
3:54.0,Offensive rebound by Team,,56-62,,
3:51.0,P. George makes 3-pt shot from 22 ft (assist by M. Ellis),3,59-62,,
3:30.0,,,59-62,,Turnover by G. Dieng (lost ball; steal by P. George)
3:23.0,Turnover by P. George (bad pass; steal by A. Wiggins),,59-62,,
3:18.0,,,59-62,,Turnover by K. Towns (bad pass)
3:18.0,,,59-62,,Z. LaVine enters the game for T. Prince
3:18.0,R. Stuckey enters the game for G. Hill,,59-62,,
3:04.0,L. Allen makes 2-pt shot at rim (assist by P. George),2,61-62,,
2:47.0,,,61-64,2,Z. LaVine makes 2-pt shot from 19 ft (assist by R. Rubio)
2:30.0,Turnover by R. Stuckey (lost ball; steal by R. Rubio),,61-64,,
2:24.0,,,61-64,,Z. LaVine misses 3-pt shot from 24 ft
2:23.0,,,61-64,,Offensive rebound by G. Dieng
2:23.0,,,61-64,,G. Dieng misses 2-pt shot from 1 ft
2:22.0,,,61-64,,Offensive rebound by G. Dieng
2:22.0,,,61-64,,Shooting foul by L. Allen (drawn by G. Dieng)
2:22.0,,,61-65,1,G. Dieng makes free throw 1 of 2
2:22.0,,,61-66,1,G. Dieng makes free throw 2 of 2
2:09.0,P. George misses 3-pt shot from 25 ft,,61-66,,
2:08.0,,,61-66,,Defensive rebound by G. Dieng
1:53.0,,,61-66,,Turnover by K. Towns (lost ball)
1:31.0,M. Ellis misses 2-pt shot from 1 ft,,61-66,,
1:29.0,Offensive rebound by J. Hill,,61-66,,
1:29.0,J. Hill misses 2-pt shot at rim (block by K. Towns),,61-66,,
1:29.0,Offensive rebound by Team,,61-66,,
1:29.0,,,61-66,,A. Payne enters the game for K. Towns
1:29.0,Jump ball: G. Dieng vs. J. Hill (M. Ellis gains possession),,,,Jump ball: G. Dieng vs. J. Hill (M. Ellis gains possession)
1:15.0,Turnover by P. George (lost ball; steal by Z. LaVine),,61-66,,
1:10.0,,,61-68,2,R. Rubio makes 2-pt shot at rim (assist by A. Wiggins)
0:53.0,R. Stuckey misses 2-pt shot from 12 ft,,61-68,,
0:50.0,Offensive rebound by P. George,,61-68,,
0:44.0,M. Ellis makes 2-pt shot from 2 ft,2,63-68,,
0:44.0,Shooting foul by A. Payne (drawn by M. Ellis),,63-68,,
0:44.0,,,63-68,,T. Jones enters the game for R. Rubio
0:44.0,C. Budinger enters the game for P. George,,63-68,,
0:44.0,M. Ellis makes free throw 1 of 1,1,64-68,,
0:34.0,,,64-68,,Turnover by G. Dieng (bad pass; steal by C. Budinger)
0:26.0,Shooting foul by T. Jones (drawn by M. Ellis),,64-68,,
0:26.0,M. Ellis makes free throw 1 of 2,1,65-68,,
0:26.0,M. Ellis makes free throw 2 of 2,1,66-68,,
0:04.0,,,66-68,,A. Wiggins misses 2-pt shot from 1 ft (block by L. Allen)
0:03.0,,,66-68,,Offensive rebound by Team
0:02.0,,,66-68,,Turnover by Team (shot clock)
0:01.0,C. Budinger misses 2-pt shot from 9 ft,,66-68,,
0:00.0,Offensive rebound by Team,,66-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,66-68,,Turnover by K. Towns (bad pass; steal by R. Stuckey)
11:44.0,R. Stuckey makes 2-pt shot from 2 ft,2,68-68,,
11:24.0,,,68-68,,K. Towns misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by L. Allen,,68-68,,
11:06.0,Turnover by R. Stuckey (bad pass; steal by S. Muhammad),,68-68,,
11:04.0,,,68-68,,Shooting foul by C. Budinger (drawn by S. Muhammad)
11:04.0,,,68-69,1,S. Muhammad makes free throw 1 of 2
