time,Chicago,pts.away,score,pts.home,Brooklyn
7:31.0,,,68-60,,B. Lopez misses 2-pt shot from 7 ft
7:30.0,Defensive rebound by N. Mirotic,,68-60,,
7:25.0,Shooting foul by D. Sloan (drawn by D. Rose),,68-60,,
7:25.0,D. Rose makes free throw 1 of 2,1,69-60,,
7:25.0,D. Rose makes free throw 2 of 2,1,70-60,,
7:11.0,,,70-60,,W. Ellington misses 2-pt shot from 1 ft
7:10.0,Defensive rebound by P. Gasol,,70-60,,
6:57.0,J. Butler misses 2-pt shot from 11 ft,,70-60,,
6:55.0,,,70-60,,Defensive rebound by T. Young
6:47.0,,,70-60,,B. Lopez misses 2-pt shot from 11 ft
6:46.0,Defensive rebound by T. Snell,,70-60,,
6:38.0,N. Mirotic misses 3-pt shot from 24 ft,,70-60,,
6:36.0,,,70-60,,Defensive rebound by J. Johnson
6:27.0,,,70-60,,Shooting foul by N. Mirotic (drawn by J. Johnson)
6:27.0,,,70-61,1,J. Johnson makes free throw 1 of 2
6:27.0,,,70-61,,B. Bogdanovic enters the game for W. Ellington
6:27.0,,,70-61,,J. Johnson misses free throw 2 of 2
6:26.0,Defensive rebound by N. Mirotic,,70-61,,
6:07.0,Shooting foul by B. Lopez (drawn by P. Gasol),,70-61,,
6:07.0,P. Gasol makes free throw 1 of 2,1,71-61,,
6:07.0,P. Gasol makes free throw 2 of 2,1,72-61,,
5:50.0,,,72-61,,J. Johnson misses 2-pt shot from 4 ft
5:49.0,,,72-61,,Offensive rebound by J. Johnson
5:48.0,,,72-61,,J. Johnson misses 2-pt shot from 2 ft
5:47.0,,,72-61,,Offensive rebound by J. Johnson
5:46.0,,,72-63,2,J. Johnson makes 2-pt shot at rim
5:32.0,Turnover by P. Gasol (lost ball),,72-63,,
5:21.0,,,72-63,,T. Young misses 2-pt shot from 19 ft
5:20.0,Defensive rebound by D. Rose,,72-63,,
5:14.0,D. Rose misses 2-pt shot from 2 ft,,72-63,,
5:12.0,,,72-63,,Defensive rebound by D. Sloan
5:05.0,,,72-63,,B. Lopez misses 2-pt shot from 4 ft
5:04.0,,,72-63,,Offensive rebound by T. Young
5:03.0,,,72-63,,T. Young misses 2-pt shot from 2 ft
5:02.0,,,72-63,,Offensive rebound by B. Lopez
5:01.0,,,72-63,,B. Lopez misses 2-pt shot from 2 ft (block by P. Gasol)
5:00.0,Defensive rebound by T. Snell,,72-63,,
